layer,score,score_error,architecture,task,kind,source
c2,0.005803654623147043,0.000592938456831217,AtlasNet,Eig_seed=0,a_-0.2,pcs_50
c2,0.0058513016573568735,0.0005875951721861204,AtlasNet,Eig_seed=0,a_-0.3,pcs_50
c2,0.0058822910221491866,0.0005760869706277581,AtlasNet,Eig_seed=0,a_-0.4,pcs_50
c2,0.005785589615474891,0.0005568664587418436,AtlasNet,Eig_seed=0,a_-0.5,pcs_50
c2,0.005589645378185267,0.0005310315474654809,AtlasNet,Eig_seed=0,a_-0.6,pcs_50
c2,0.005216762745742838,0.0004957955710532476,AtlasNet,Eig_seed=0,a_-0.7,pcs_50
c2,0.004626974570464709,0.00045260316377097794,AtlasNet,Eig_seed=0,a_-0.8,pcs_50
c2,0.003960531451689033,0.00040658508949171655,AtlasNet,Eig_seed=0,a_-0.9,pcs_50
c2,0.003309715790476186,0.00036591210146997113,AtlasNet,Eig_seed=0,a_-1.0,pcs_50
c2,0.002329036330320287,0.00030181381713231576,AtlasNet,Eig_seed=0,a_-1.2,pcs_50
c2,0.0017869043389653289,0.0002698290628512486,AtlasNet,Eig_seed=0,a_-1.4,pcs_50
c2,0.0014937724440149682,0.00024675390625587037,AtlasNet,Eig_seed=0,a_-1.6,pcs_50
c2,0.0013335911585875225,0.00023301270391160655,AtlasNet,Eig_seed=0,a_-1.8,pcs_50
c2,0.0012432984741659978,0.00022388586252980659,AtlasNet,Eig_seed=0,a_-2,pcs_50
c2,0.001171106222259664,0.00021802808897082874,AtlasNet,Eig_seed=0,a_-2.2,pcs_50
c2,0.001128873437162194,0.00021209880793544272,AtlasNet,Eig_seed=0,a_-2.4,pcs_50
c2,0.0010953049938847914,0.00020651891614107337,AtlasNet,Eig_seed=0,a_-2.6,pcs_50
c2,0.0010761094635216304,0.00020262709803881132,AtlasNet,Eig_seed=0,a_-2.8,pcs_50
c2,0.0010619672493168825,0.00020037698516658055,AtlasNet,Eig_seed=0,a_-3,pcs_50
