layer,score,score_error,architecture,task,kind,source
c2,0.008777185396936553,0.00028025203946106103,AtlasNet,Eig_seed=0,a_-0.2,pcs_50
c2,0.00826866232384705,0.0002748461402311526,AtlasNet,Eig_seed=0,a_-0.3,pcs_50
c2,0.00836626132624966,0.0002639782360226879,AtlasNet,Eig_seed=0,a_-0.4,pcs_50
c2,0.007785689015819189,0.0002512007586056653,AtlasNet,Eig_seed=0,a_-0.5,pcs_50
c2,0.008059467055310576,0.0002475267176104106,AtlasNet,Eig_seed=0,a_-0.6,pcs_50
c2,0.007420281264547499,0.00023696937630193619,AtlasNet,Eig_seed=0,a_-0.7,pcs_50
c2,0.006722029780111253,0.00023237378146565704,AtlasNet,Eig_seed=0,a_-0.8,pcs_50
c2,0.006321513953559175,0.0002170097916672263,AtlasNet,Eig_seed=0,a_-0.9,pcs_50
c2,0.005981453762685591,0.00018647932978236415,AtlasNet,Eig_seed=0,a_-1.0,pcs_50
c2,0.004514438486027196,0.00016121684808682673,AtlasNet,Eig_seed=0,a_-1.2,pcs_50
c2,0.003702417429834811,0.00017386072759710859,AtlasNet,Eig_seed=0,a_-1.4,pcs_50
c2,0.003290497047912936,0.00016869154075066061,AtlasNet,Eig_seed=0,a_-1.6,pcs_50
c2,0.0029980511610546235,0.00015576070286068313,AtlasNet,Eig_seed=0,a_-1.8,pcs_50
c2,0.0029081690462992387,0.0001550079968743223,AtlasNet,Eig_seed=0,a_-2,pcs_50
c2,0.002814494936272152,0.00015567658806169406,AtlasNet,Eig_seed=0,a_-2.2,pcs_50
c2,0.002723707361306883,0.00014779170766522477,AtlasNet,Eig_seed=0,a_-2.4,pcs_50
c2,0.0027678873900295834,0.00015284712604410442,AtlasNet,Eig_seed=0,a_-2.6,pcs_50
c2,0.002699314655944666,0.00015080101039996626,AtlasNet,Eig_seed=0,a_-2.8,pcs_50
c2,0.0026715967323572964,0.00015219682661593418,AtlasNet,Eig_seed=0,a_-3,pcs_50
