layer,score,score_error,architecture,task,kind,source
c2,0.0073202962832476385,0.0001478319186965844,AtlasNet,Eig-RSA-0.2,-0.2,PyTorch
mp2,0.00821540768966669,0.00019237693693896903,AtlasNet,Eig-RSA-0.2,-0.2,PyTorch
c2,0.007576291072950629,0.00014315315883969783,AtlasNet,Eig-RSA-0.3,-0.3,PyTorch
mp2,0.008408798104740723,0.00019070788561247756,AtlasNet,Eig-RSA-0.3,-0.3,PyTorch
c2,0.007518957088645883,0.00013792836902332597,AtlasNet,Eig-RSA-0.4,-0.4,PyTorch
mp2,0.008545093819286297,0.00019015158648747241,AtlasNet,Eig-RSA-0.4,-0.4,PyTorch
c2,0.007657336078434543,0.00013881405859463757,AtlasNet,Eig-RSA-0.5,-0.5,PyTorch
mp2,0.008500340526229465,0.00020206514104138872,AtlasNet,Eig-RSA-0.5,-0.5,PyTorch
c2,0.007531605047789773,0.0001362616200014205,AtlasNet,Eig-RSA-0.6,-0.6,PyTorch
mp2,0.008862402956479585,0.0001952704259790124,AtlasNet,Eig-RSA-0.6,-0.6,PyTorch
c2,0.007347196016889565,0.0001403097555909431,AtlasNet,Eig-RSA-0.7,-0.7,PyTorch
mp2,0.008697932275201681,0.00021485424836977803,AtlasNet,Eig-RSA-0.7,-0.7,PyTorch
c2,0.0067676893928772484,0.0001412196811543049,AtlasNet,Eig-RSA-0.8,-0.8,PyTorch
mp2,0.00830210695980679,0.0002091596702662747,AtlasNet,Eig-RSA-0.8,-0.8,PyTorch
c2,0.006217955647726548,0.0001505790725262761,AtlasNet,Eig-RSA-0.9,-0.9,PyTorch
mp2,0.007918639713907097,0.00022003897769564518,AtlasNet,Eig-RSA-0.9,-0.9,PyTorch
c2,0.005711642895317666,0.00015514081108109154,AtlasNet,Eig-RSA-1.0,-1.0,PyTorch
mp2,0.007397901617021083,0.0002262515707754159,AtlasNet,Eig-RSA-1.0,-1.0,PyTorch
c2,0.004265805120102693,0.00016325250015025497,AtlasNet,Eig-RSA-1.2,-1.2,PyTorch
mp2,0.00586234984906676,0.00021726288074580752,AtlasNet,Eig-RSA-1.2,-1.2,PyTorch
c2,0.0035426454235592078,0.00016543286927041175,AtlasNet,Eig-RSA-1.4,-1.4,PyTorch
mp2,0.005035469020845571,0.00020670611837339957,AtlasNet,Eig-RSA-1.4,-1.4,PyTorch
c2,0.003137336452209071,0.0001712054053314376,AtlasNet,Eig-RSA-1.6,-1.6,PyTorch
mp2,0.004652347328468999,0.00020273718778511686,AtlasNet,Eig-RSA-1.6,-1.6,PyTorch
c2,0.002908233824220546,0.0001701246849932242,AtlasNet,Eig-RSA-1.8,-1.8,PyTorch
mp2,0.004294300488425793,0.00019614679732427804,AtlasNet,Eig-RSA-1.8,-1.8,PyTorch
c2,0.0027329033707746892,0.0001697156233232351,AtlasNet,Eig-RSA-2,-2,PyTorch
mp2,0.004154135158173377,0.0001947394240283557,AtlasNet,Eig-RSA-2,-2,PyTorch
c2,0.002722998572471044,0.000169331651375526,AtlasNet,Eig-RSA-2.2,-2.2,PyTorch
mp2,0.004073155742230055,0.00019273294150102887,AtlasNet,Eig-RSA-2.2,-2.2,PyTorch
c2,0.0026749446696563164,0.00016981663402328915,AtlasNet,Eig-RSA-2.4,-2.4,PyTorch
mp2,0.003968428599728741,0.00019150411877180316,AtlasNet,Eig-RSA-2.4,-2.4,PyTorch
c2,0.002665161107358008,0.00016970038603957968,AtlasNet,Eig-RSA-2.6,-2.6,PyTorch
mp2,0.0039636333346269115,0.0001876067250135663,AtlasNet,Eig-RSA-2.6,-2.6,PyTorch
c2,0.0026659594592404238,0.00017089763345872063,AtlasNet,Eig-RSA-2.8,-2.8,PyTorch
mp2,0.0039020414613965796,0.00019249447600061612,AtlasNet,Eig-RSA-2.8,-2.8,PyTorch
c2,0.0026580490177165405,0.00017020961489689246,AtlasNet,Eig-RSA-3,-3,PyTorch
mp2,0.003899518590827409,0.00019022255561459585,AtlasNet,Eig-RSA-3,-3,PyTorch
