,layer,score,score_error,architecture,task,kind,source
0,c2,0.1716256091635778,0.0044559398529198,AtlasNet,Eig,a_-0.2,pcs_500
1,c2,0.1676017870714402,0.0050909350662092,AtlasNet,Eig,a_-0.3,pcs_500
2,c2,0.159580142730591,0.0053004599292216,AtlasNet,Eig,a_-0.4,pcs_500
3,c2,0.1511229021582567,0.005421662127652,AtlasNet,Eig,a_-0.5,pcs_500
4,c2,0.1424533340229976,0.0058323538933152,AtlasNet,Eig,a_-0.6,pcs_500
5,c2,0.1334431627678281,0.0057837070543909,AtlasNet,Eig,a_-0.7,pcs_500
6,c2,0.1273490195836133,0.0060767827003293,AtlasNet,Eig,a_-0.8,pcs_500
7,c2,0.119546399304232,0.0059226787799928,AtlasNet,Eig,a_-0.9,pcs_500
8,c2,0.1147223495553419,0.0059009614981336,AtlasNet,Eig,a_-1.0,pcs_500
9,c2,0.1027248751120908,0.0064472650855372,AtlasNet,Eig,a_-1.2,pcs_500
10,c2,0.089871714722275,0.0062743703410207,AtlasNet,Eig,a_-1.4,pcs_500
11,c2,0.0740631565122442,0.0073611814220526,AtlasNet,Eig,a_-1.6,pcs_500
12,c2,0.0582630679125074,0.0078571782419394,AtlasNet,Eig,a_-1.8,pcs_500
13,c2,0.04876485507276,0.0073877779035892,AtlasNet,Eig,a_-2,pcs_500
14,c2,0.0426244833635555,0.0070885269031268,AtlasNet,Eig,a_-2.2,pcs_500
15,c2,0.0417320135562441,0.0071163222331575,AtlasNet,Eig,a_-2.4,pcs_500
16,c2,0.0415779682642036,0.0070919497177575,AtlasNet,Eig,a_-2.6,pcs_500
17,c2,0.0420861297443151,0.0071291133987322,AtlasNet,Eig,a_-2.8,pcs_500
18,c2,0.0417719433010277,0.0072599107010093,AtlasNet,Eig,a_-3,pcs_500
