,Unnamed: 0,layer,score,score_error,architecture,task,kind,source
0,0,c2,0.0044416337435353,0.0002970449668195,AtlasNet,Eig,a_-0.2,pcs_10
1,1,c2,0.0040166910064464,0.0002816151920397,AtlasNet,Eig,a_-0.3,pcs_10
2,2,c2,0.003513237845925,0.0002664927706051,AtlasNet,Eig,a_-0.4,pcs_10
3,3,c2,0.0043609267341429,0.0002810139585573,AtlasNet,Eig,a_-0.5,pcs_10
4,4,c2,0.0038873554533322,0.0002678474234927,AtlasNet,Eig,a_-0.6,pcs_10
5,5,c2,0.0036204518818072,0.0002594308366378,AtlasNet,Eig,a_-0.7,pcs_10
6,6,c2,0.0035316407158606,0.0002632394303003,AtlasNet,Eig,a_-0.8,pcs_10
7,7,c2,0.00280048870449,0.0002525174079861,AtlasNet,Eig,a_-0.9,pcs_10
8,8,c2,0.0023413223197969,0.0002413756811643,AtlasNet,Eig,a_-1.0,pcs_10
9,9,c2,0.0016863142215604,0.000221798635215,AtlasNet,Eig,a_-1.2,pcs_10
10,10,c2,0.0014771590581064,0.0002251442254205,AtlasNet,Eig,a_-1.4,pcs_10
11,11,c2,0.0012580887495544,0.0002216848668341,AtlasNet,Eig,a_-1.6,pcs_10
12,12,c2,0.001205886191298,0.0002221334387358,AtlasNet,Eig,a_-1.8,pcs_10
13,13,c2,0.001113380534427,0.0002195075018187,AtlasNet,Eig,a_-2,pcs_10
14,14,c2,0.0011206016143127,0.0002192396760957,AtlasNet,Eig,a_-2.2,pcs_10
15,15,c2,0.001106449935504,0.000220795808649,AtlasNet,Eig,a_-2.4,pcs_10
16,16,c2,0.0011084040818923,0.0002215169860878,AtlasNet,Eig,a_-2.6,pcs_10
17,17,c2,0.0011376340810654,0.0002254837307001,AtlasNet,Eig,a_-2.8,pcs_10
18,18,c2,0.0011173677589351,0.0002240585685136,AtlasNet,Eig,a_-3,pcs_10
0,0,c2,0.0065796780019782,0.0002182956893304,AtlasNet,Eig,a_-0.2,pcs_50
1,1,c2,0.0065621642565267,0.0002249973419926,AtlasNet,Eig,a_-0.3,pcs_50
2,2,c2,0.0068932310768601,0.0002176053208662,AtlasNet,Eig,a_-0.4,pcs_50
3,3,c2,0.0072945924492896,0.0002225368599449,AtlasNet,Eig,a_-0.5,pcs_50
4,4,c2,0.0074813655625994,0.0002275972164245,AtlasNet,Eig,a_-0.6,pcs_50
5,5,c2,0.0073844060460372,0.0002384020310175,AtlasNet,Eig,a_-0.7,pcs_50
6,6,c2,0.0074035505136461,0.0002229732934624,AtlasNet,Eig,a_-0.8,pcs_50
7,7,c2,0.0071941574240016,0.0002430875896704,AtlasNet,Eig,a_-0.9,pcs_50
8,8,c2,0.0068765169162176,0.0002491785171513,AtlasNet,Eig,a_-1.0,pcs_50
9,9,c2,0.0053557981610964,0.0002510837125806,AtlasNet,Eig,a_-1.2,pcs_50
10,10,c2,0.0044622268271522,0.0002434462242576,AtlasNet,Eig,a_-1.4,pcs_50
11,11,c2,0.0039305478308664,0.0002381924686786,AtlasNet,Eig,a_-1.6,pcs_50
12,12,c2,0.0036482400622584,0.0002296940229353,AtlasNet,Eig,a_-1.8,pcs_50
13,13,c2,0.0034452867609233,0.0002280949763668,AtlasNet,Eig,a_-2,pcs_50
14,14,c2,0.0036122927161416,0.0002357219151971,AtlasNet,Eig,a_-2.2,pcs_50
15,15,c2,0.0036050738673055,0.0002403753115079,AtlasNet,Eig,a_-2.4,pcs_50
16,16,c2,0.0035431134900662,0.0002373982915116,AtlasNet,Eig,a_-2.6,pcs_50
17,17,c2,0.0036701186576586,0.0002446067606081,AtlasNet,Eig,a_-2.8,pcs_50
