,layer,score,score_error,architecture,task,kind,source
0,c2,0.0065796780019782,0.0002182956893304,AtlasNet,Eig,a_-0.2,pcs_50
1,c2,0.0065621642565267,0.0002249973419926,AtlasNet,Eig,a_-0.3,pcs_50
2,c2,0.0068932310768601,0.0002176053208662,AtlasNet,Eig,a_-0.4,pcs_50
3,c2,0.0072945924492896,0.0002225368599449,AtlasNet,Eig,a_-0.5,pcs_50
4,c2,0.0074813655625994,0.0002275972164245,AtlasNet,Eig,a_-0.6,pcs_50
5,c2,0.0073844060460372,0.0002384020310175,AtlasNet,Eig,a_-0.7,pcs_50
6,c2,0.0074035505136461,0.0002229732934624,AtlasNet,Eig,a_-0.8,pcs_50
7,c2,0.0071941574240016,0.0002430875896704,AtlasNet,Eig,a_-0.9,pcs_50
8,c2,0.0068765169162176,0.0002491785171513,AtlasNet,Eig,a_-1.0,pcs_50
9,c2,0.0053557981610964,0.0002510837125806,AtlasNet,Eig,a_-1.2,pcs_50
10,c2,0.0044622268271522,0.0002434462242576,AtlasNet,Eig,a_-1.4,pcs_50
11,c2,0.0039305478308664,0.0002381924686786,AtlasNet,Eig,a_-1.6,pcs_50
12,c2,0.0036482400622584,0.0002296940229353,AtlasNet,Eig,a_-1.8,pcs_50
13,c2,0.0034452867609233,0.0002280949763668,AtlasNet,Eig,a_-2,pcs_50
14,c2,0.0036122927161416,0.0002357219151971,AtlasNet,Eig,a_-2.2,pcs_50
15,c2,0.0036050738673055,0.0002403753115079,AtlasNet,Eig,a_-2.4,pcs_50
16,c2,0.0035431134900662,0.0002373982915116,AtlasNet,Eig,a_-2.6,pcs_50
17,c2,0.0036701186576586,0.0002446067606081,AtlasNet,Eig,a_-2.8,pcs_50
18,c2,0.0036215814383844,0.0002427458632653,AtlasNet,Eig,a_-3,pcs_50
