layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
c2,101.48377183878567,321.0,0.7875228284369499,AtlasNet,Eig,a_-0.2,pcs_none
c2,118.1712959075585,317.0,0.7827489124619301,AtlasNet,Eig,a_-0.3,pcs_none
c2,118.62683735293534,306.0,0.7950698652132256,AtlasNet,Eig,a_-0.4,pcs_none
c2,116.03182104558769,293.0,0.8130520119761169,AtlasNet,Eig,a_-0.5,pcs_none
c2,109.01977263804199,275.0,0.837527938293301,AtlasNet,Eig,a_-0.6,pcs_none
c2,97.31890953010709,254.0,0.8692124000775733,AtlasNet,Eig,a_-0.7,pcs_none
c2,82.60770384123447,228.0,0.9078811812585754,AtlasNet,Eig,a_-0.8,pcs_none
c2,67.76336804356048,199.0,0.9513609529012983,AtlasNet,Eig,a_-0.9,pcs_none
c2,55.03884640161556,169.0,1.0003032479726182,AtlasNet,Eig,a_-1.0,pcs_none
c2,38.124784924308344,120.0,1.1066952536806345,AtlasNet,Eig,a_-1.2,pcs_none
c2,29.55888243794522,95.0,1.2108193239891887,AtlasNet,Eig,a_-1.4,pcs_none
c2,25.276564768341046,83.0,1.3057252934337,AtlasNet,Eig,a_-1.6,pcs_none
c2,23.04490680346541,77.0,1.390815050577722,AtlasNet,Eig,a_-1.8,pcs_none
c2,21.82758421973429,74.0,1.4659413140428126,AtlasNet,Eig,a_-2,pcs_none
c2,21.137122420777942,72.0,1.531947064410084,AtlasNet,Eig,a_-2.2,pcs_none
c2,20.73289402064958,71.0,1.5919117761836346,AtlasNet,Eig,a_-2.4,pcs_none
c2,20.490953637353595,71.0,1.647546674197807,AtlasNet,Eig,a_-2.6,pcs_none
c2,20.342565771355215,70.0,1.6997975474756895,AtlasNet,Eig,a_-2.8,pcs_none
c2,20.250216846628206,70.0,1.7512132452808629,AtlasNet,Eig,a_-3,pcs_none
