layer,score,score_error,architecture,task,kind,source
c2,0.0799099092732658,0.0056573265035795,AtlasNet,SVD,a_-0.2,pcs_25
c2,0.0801816074572249,0.0057905144210201,AtlasNet,SVD,a_-0.3,pcs_25
c2,0.0813498125031023,0.0061969240665316,AtlasNet,SVD,a_-0.4,pcs_25
c2,0.0813588047678071,0.0063227479930117,AtlasNet,SVD,a_-0.5,pcs_25
c2,0.0810982536220397,0.0060506965174894,AtlasNet,SVD,a_-0.6,pcs_25
c2,0.0819637461383043,0.0061883254364508,AtlasNet,SVD,a_-0.7,pcs_25
c2,0.0773734183714624,0.0055287777480986,AtlasNet,SVD,a_-0.8,pcs_25
c2,0.0804313953041957,0.005731716916808,AtlasNet,SVD,a_-0.9,pcs_25
c2,0.0802599774508399,0.0055168450450217,AtlasNet,SVD,a_-1.0,pcs_25
c2,0.0790087066720444,0.0047793602074994,AtlasNet,SVD,a_-1.2,pcs_25
c2,0.0786666277777102,0.0046011759757054,AtlasNet,SVD,a_-1.4,pcs_25
c2,0.0652634682972243,0.0051961867700356,AtlasNet,SVD,a_-1.6,pcs_25
c2,0.0668851625588961,0.0060102856585549,AtlasNet,SVD,a_-1.8,pcs_25
c2,0.0832001406396147,0.0032550271149407,AtlasNet,SVD,a_-2,pcs_25
c2,0.0554593831561526,0.0053509329975004,AtlasNet,SVD,a_-2.2,pcs_25
c2,0.0631013049352833,0.0040816311539304,AtlasNet,SVD,a_-2.4,pcs_25
c2,0.0488617559440447,0.0031625391528906,AtlasNet,SVD,a_-2.6,pcs_25
c2,0.0467878379454225,0.0050468552200821,AtlasNet,SVD,a_-2.8,pcs_25
c2,0.0684636651044649,0.0035378813870042,AtlasNet,SVD,a_-3,pcs_25
c2,0.111709333680363,0.005114146141752,AtlasNet,SVD,a_-0.2,pcs_50
c2,0.1110528685585404,0.0051474854591215,AtlasNet,SVD,a_-0.3,pcs_50
c2,0.1119696114596638,0.0050968584087655,AtlasNet,SVD,a_-0.4,pcs_50
c2,0.1106512080695441,0.0051019500880678,AtlasNet,SVD,a_-0.5,pcs_50
c2,0.109856640902129,0.0049735513185912,AtlasNet,SVD,a_-0.6,pcs_50
c2,0.1118967535815172,0.0051253902462534,AtlasNet,SVD,a_-0.7,pcs_50
c2,0.108091333098891,0.004763675097313,AtlasNet,SVD,a_-0.8,pcs_50
c2,0.1083887095120689,0.0056274012654014,AtlasNet,SVD,a_-0.9,pcs_50
c2,0.1097811949614868,0.0047501675371271,AtlasNet,SVD,a_-1.0,pcs_50
c2,0.1078347117161688,0.0039098612341649,AtlasNet,SVD,a_-1.2,pcs_50
c2,0.1092955061049577,0.003540150449441,AtlasNet,SVD,a_-1.4,pcs_50
c2,0.0891095555581949,0.0051510485490931,AtlasNet,SVD,a_-1.6,pcs_50
c2,0.0929655142962505,0.0059918823561421,AtlasNet,SVD,a_-1.8,pcs_50
c2,0.1107534112591336,0.0033467684824899,AtlasNet,SVD,a_-2,pcs_50
c2,0.075562046568895,0.0040719069808403,AtlasNet,SVD,a_-2.2,pcs_50
c2,0.0827966735132151,0.005080068237789,AtlasNet,SVD,a_-2.4,pcs_50
c2,0.0657222961490192,0.0024758663515549,AtlasNet,SVD,a_-2.6,pcs_50
c2,0.0638546781864729,0.0037979714567841,AtlasNet,SVD,a_-2.8,pcs_50
c2,0.0846440769431945,0.0035784616386469,AtlasNet,SVD,a_-3,pcs_50
c2,0.1286651395214587,0.0043799334127262,AtlasNet,SVD,a_-0.2,pcs_100
c2,0.1278527362468181,0.0042838696152633,AtlasNet,SVD,a_-0.3,pcs_100
c2,0.1285025800863173,0.0039826942824284,AtlasNet,SVD,a_-0.4,pcs_100
c2,0.1277068537943948,0.0042261779925378,AtlasNet,SVD,a_-0.5,pcs_100
c2,0.1281381298971016,0.0042905191049142,AtlasNet,SVD,a_-0.6,pcs_100
c2,0.1288664859889464,0.0047522284865563,AtlasNet,SVD,a_-0.7,pcs_100
c2,0.1269280592760632,0.0041664580808568,AtlasNet,SVD,a_-0.8,pcs_100
c2,0.1247692463418813,0.0048156603164338,AtlasNet,SVD,a_-0.9,pcs_100
c2,0.1230088340602368,0.0042009162025428,AtlasNet,SVD,a_-1.0,pcs_100
c2,0.1277117852870385,0.0034168723854629,AtlasNet,SVD,a_-1.2,pcs_100
c2,0.1260762231951789,0.0039025753521051,AtlasNet,SVD,a_-1.4,pcs_100
c2,0.1064815361832819,0.0059566552604179,AtlasNet,SVD,a_-1.6,pcs_100
c2,0.109210477022906,0.0056140203473341,AtlasNet,SVD,a_-1.8,pcs_100
c2,0.1292333547186867,0.0039255318466337,AtlasNet,SVD,a_-2,pcs_100
c2,0.0871841775313854,0.0026358150216387,AtlasNet,SVD,a_-2.2,pcs_100
c2,0.1058109612215292,0.0052785400859587,AtlasNet,SVD,a_-2.4,pcs_100
c2,0.0833526368875593,0.0049315127711515,AtlasNet,SVD,a_-2.6,pcs_100
c2,0.0772622307428101,0.0027272623890996,AtlasNet,SVD,a_-2.8,pcs_100
c2,0.0964957175559761,0.0035354216691922,AtlasNet,SVD,a_-3,pcs_100
c2,0.1794791416172666,0.0044732701760188,AtlasNet,SVD,a_-0.2,pcs_500
c2,0.179304154531239,0.0040513138777532,AtlasNet,SVD,a_-0.3,pcs_500
c2,0.179640154073155,0.0040731873068152,AtlasNet,SVD,a_-0.4,pcs_500
c2,0.1764571529741795,0.0044448173726054,AtlasNet,SVD,a_-0.5,pcs_500
c2,0.1792175430763574,0.0036590105696671,AtlasNet,SVD,a_-0.6,pcs_500
c2,0.1771586432809457,0.0040793592209879,AtlasNet,SVD,a_-0.7,pcs_500
c2,0.1780997182991896,0.003585719311598,AtlasNet,SVD,a_-0.8,pcs_500
c2,0.1715570254241329,0.0046905440637331,AtlasNet,SVD,a_-0.9,pcs_500
c2,0.1751965374173519,0.0043824052482488,AtlasNet,SVD,a_-1.0,pcs_500
c2,0.1809511003785714,0.0048303056593583,AtlasNet,SVD,a_-1.2,pcs_500
c2,0.1590787994196835,0.0036104538545274,AtlasNet,SVD,a_-1.4,pcs_500
c2,0.1464299820505263,0.0058269958634616,AtlasNet,SVD,a_-1.6,pcs_500
c2,0.142273287596862,0.0057392127373421,AtlasNet,SVD,a_-1.8,pcs_500
c2,0.1496185167598286,0.0046536965172089,AtlasNet,SVD,a_-2,pcs_500
c2,0.1223443080623161,0.0037359853826563,AtlasNet,SVD,a_-2.2,pcs_500
c2,0.1380486818248988,0.0032953775427999,AtlasNet,SVD,a_-2.4,pcs_500
c2,0.1297505796573144,0.0053819865288617,AtlasNet,SVD,a_-2.6,pcs_500
c2,0.1024650058125596,0.0052088861811273,AtlasNet,SVD,a_-2.8,pcs_500
c2,0.1225439280299869,0.0052377122669901,AtlasNet,SVD,a_-3,pcs_500
c2,0.1891987006920021,0.0047891105697373,AtlasNet,SVD,a_-0.2,pcs_1000
c2,0.1878037366833315,0.0043353413218623,AtlasNet,SVD,a_-0.3,pcs_1000
c2,0.1895193619232555,0.0041272002986645,AtlasNet,SVD,a_-0.4,pcs_1000
c2,0.1874534476818818,0.0045033437269174,AtlasNet,SVD,a_-0.5,pcs_1000
c2,0.1905930859355269,0.0044754758100015,AtlasNet,SVD,a_-0.6,pcs_1000
c2,0.1896026311794861,0.0038649571291949,AtlasNet,SVD,a_-0.7,pcs_1000
c2,0.1868568947609009,0.0051744262057774,AtlasNet,SVD,a_-0.8,pcs_1000
c2,0.1857195307989039,0.0035594833028109,AtlasNet,SVD,a_-0.9,pcs_1000
c2,0.1853633874259606,0.0042882731292898,AtlasNet,SVD,a_-1.0,pcs_1000
c2,0.1861452064745167,0.0051933540853753,AtlasNet,SVD,a_-1.2,pcs_1000
c2,0.1674770367733739,0.0033093343165044,AtlasNet,SVD,a_-1.4,pcs_1000
c2,0.1592439427963186,0.0049435557035697,AtlasNet,SVD,a_-1.6,pcs_1000
c2,0.1526078352093509,0.0062187090242524,AtlasNet,SVD,a_-1.8,pcs_1000
c2,0.1544802474704946,0.0050509802030429,AtlasNet,SVD,a_-2,pcs_1000
c2,0.1401008261754163,0.0059794904721778,AtlasNet,SVD,a_-2.2,pcs_1000
c2,0.1469586751052821,0.0032349053988289,AtlasNet,SVD,a_-2.4,pcs_1000
c2,0.1356662398666907,0.005585561462805,AtlasNet,SVD,a_-2.6,pcs_1000
c2,0.115078839349087,0.0047597535269217,AtlasNet,SVD,a_-2.8,pcs_1000
c2,0.1275913769194749,0.0056124002885511,AtlasNet,SVD,a_-3,pcs_1000
