layer,score,score_error,architecture,task,kind,source
c2,0.11170933368036304,0.005114146141752064,AtlasNet,SVD,a_-0.2,pcs_50
c2,0.11105286855854045,0.005147485459121583,AtlasNet,SVD,a_-0.3,pcs_50
c2,0.11196961145966389,0.005096858408765556,AtlasNet,SVD,a_-0.4,pcs_50
c2,0.11065120806954412,0.0051019500880678135,AtlasNet,SVD,a_-0.5,pcs_50
c2,0.109856640902129,0.004973551318591207,AtlasNet,SVD,a_-0.6,pcs_50
c2,0.1118967535815172,0.005125390246253438,AtlasNet,SVD,a_-0.7,pcs_50
c2,0.10809133309889102,0.004763675097313015,AtlasNet,SVD,a_-0.8,pcs_50
c2,0.10838870951206893,0.00562740126540147,AtlasNet,SVD,a_-0.9,pcs_50
c2,0.10978119496148687,0.004750167537127101,AtlasNet,SVD,a_-1.0,pcs_50
c2,0.10783471171616887,0.0039098612341649025,AtlasNet,SVD,a_-1.2,pcs_50
c2,0.10929550610495779,0.003540150449441089,AtlasNet,SVD,a_-1.4,pcs_50
c2,0.08910955555819498,0.005151048549093145,AtlasNet,SVD,a_-1.6,pcs_50
c2,0.09296551429625055,0.005991882356142174,AtlasNet,SVD,a_-1.8,pcs_50
c2,0.1107534112591336,0.0033467684824899117,AtlasNet,SVD,a_-2,pcs_50
c2,0.07556204656889502,0.004071906980840379,AtlasNet,SVD,a_-2.2,pcs_50
c2,0.08279667351321518,0.0050800682377890715,AtlasNet,SVD,a_-2.4,pcs_50
c2,0.0657222961490192,0.002475866351554941,AtlasNet,SVD,a_-2.6,pcs_50
c2,0.06385467818647297,0.003797971456784132,AtlasNet,SVD,a_-2.8,pcs_50
c2,0.08464407694319455,0.003578461638646907,AtlasNet,SVD,a_-3,pcs_50
