layer,score,score_error,architecture,task,kind,source
c2,0.079818583062665,0.0065181692145677,AtlasNet,Eig_seed=142,a_-0.2,pcs_25
c2,0.0770526356554149,0.0060124197298915,AtlasNet,Eig_seed=142,a_-0.3,pcs_25
c2,0.075242159012019,0.0056600566337499,AtlasNet,Eig_seed=142,a_-0.4,pcs_25
c2,0.0713487399724072,0.0054131798367086,AtlasNet,Eig_seed=142,a_-0.5,pcs_25
c2,0.0689005276111498,0.0050884245676212,AtlasNet,Eig_seed=142,a_-0.6,pcs_25
c2,0.0639955665954104,0.0048748488239331,AtlasNet,Eig_seed=142,a_-0.7,pcs_25
c2,0.0595288419790557,0.0048789340341306,AtlasNet,Eig_seed=142,a_-0.8,pcs_25
c2,0.0530733414159361,0.0042004045190495,AtlasNet,Eig_seed=142,a_-0.9,pcs_25
c2,0.0476279659515948,0.003980981438306,AtlasNet,Eig_seed=142,a_-1.0,pcs_25
c2,0.0393161782839128,0.004327589725609,AtlasNet,Eig_seed=142,a_-1.2,pcs_25
c2,0.0345837841353264,0.0048792436091257,AtlasNet,Eig_seed=142,a_-1.4,pcs_25
c2,0.0336991043196823,0.004770878622803,AtlasNet,Eig_seed=142,a_-1.6,pcs_25
c2,0.0333825753391341,0.0051192642995248,AtlasNet,Eig_seed=142,a_-1.8,pcs_25
c2,0.0325889225100574,0.0052579532439405,AtlasNet,Eig_seed=142,a_-2,pcs_25
c2,0.032148941376078,0.0051695712958329,AtlasNet,Eig_seed=142,a_-2.2,pcs_25
c2,0.0319251726620705,0.0052021460388546,AtlasNet,Eig_seed=142,a_-2.4,pcs_25
c2,0.0315555954108543,0.005241735365494,AtlasNet,Eig_seed=142,a_-2.6,pcs_25
c2,0.0316135656706248,0.0049047686029686,AtlasNet,Eig_seed=142,a_-2.8,pcs_25
c2,0.0313696232113557,0.0049696656116297,AtlasNet,Eig_seed=142,a_-3,pcs_25
c2,0.1068131409570025,0.0051918058722105,AtlasNet,Eig_seed=142,a_-0.2,pcs_50
c2,0.1051433707532146,0.0054297800038628,AtlasNet,Eig_seed=142,a_-0.3,pcs_50
c2,0.1016632158805368,0.0054222846950093,AtlasNet,Eig_seed=142,a_-0.4,pcs_50
c2,0.0972849167673815,0.0055262439862862,AtlasNet,Eig_seed=142,a_-0.5,pcs_50
c2,0.0926314776178304,0.0054415564938003,AtlasNet,Eig_seed=142,a_-0.6,pcs_50
c2,0.0874174254305774,0.0051707224490731,AtlasNet,Eig_seed=142,a_-0.7,pcs_50
c2,0.0812450114272897,0.0052129350815205,AtlasNet,Eig_seed=142,a_-0.8,pcs_50
c2,0.0750367052490119,0.0054716437015857,AtlasNet,Eig_seed=142,a_-0.9,pcs_50
c2,0.0685447708120919,0.0052683478548477,AtlasNet,Eig_seed=142,a_-1.0,pcs_50
c2,0.0553149620420765,0.0054448236102526,AtlasNet,Eig_seed=142,a_-1.2,pcs_50
c2,0.0461596576355131,0.0057047564422868,AtlasNet,Eig_seed=142,a_-1.4,pcs_50
c2,0.0411565138844154,0.0060618066656424,AtlasNet,Eig_seed=142,a_-1.6,pcs_50
c2,0.0390077300674353,0.0059082654497541,AtlasNet,Eig_seed=142,a_-1.8,pcs_50
c2,0.0385868380771776,0.0059717135222005,AtlasNet,Eig_seed=142,a_-2,pcs_50
c2,0.0386045652637621,0.0059681114804608,AtlasNet,Eig_seed=142,a_-2.2,pcs_50
c2,0.0387120116712886,0.0058937844520463,AtlasNet,Eig_seed=142,a_-2.4,pcs_50
c2,0.0387199490331804,0.0058706420104423,AtlasNet,Eig_seed=142,a_-2.6,pcs_50
c2,0.0386737574741016,0.0058505779823541,AtlasNet,Eig_seed=142,a_-2.8,pcs_50
c2,0.0386274550314672,0.0058787379342763,AtlasNet,Eig_seed=142,a_-3,pcs_50
c2,0.1241838441659358,0.0048792896936041,AtlasNet,Eig_seed=142,a_-0.2,pcs_100
c2,0.1199695608871843,0.0050250351417396,AtlasNet,Eig_seed=142,a_-0.3,pcs_100
c2,0.1159914406616261,0.0051981044596277,AtlasNet,Eig_seed=142,a_-0.4,pcs_100
c2,0.1120872916222548,0.0055751118854289,AtlasNet,Eig_seed=142,a_-0.5,pcs_100
c2,0.1077186900599909,0.0053374425248095,AtlasNet,Eig_seed=142,a_-0.6,pcs_100
c2,0.1021769899811391,0.0055182222682048,AtlasNet,Eig_seed=142,a_-0.7,pcs_100
c2,0.094449093371435,0.0057746760922446,AtlasNet,Eig_seed=142,a_-0.8,pcs_100
c2,0.0868920129974285,0.0057092378226809,AtlasNet,Eig_seed=142,a_-0.9,pcs_100
c2,0.0796757605956999,0.0055510604725265,AtlasNet,Eig_seed=142,a_-1.0,pcs_100
c2,0.0635184891346722,0.005477187607848,AtlasNet,Eig_seed=142,a_-1.2,pcs_100
c2,0.0517231558499447,0.0063034376279016,AtlasNet,Eig_seed=142,a_-1.4,pcs_100
c2,0.0457972418222262,0.0057771409707533,AtlasNet,Eig_seed=142,a_-1.6,pcs_100
c2,0.0429355750484365,0.0057125695382219,AtlasNet,Eig_seed=142,a_-1.8,pcs_100
c2,0.0423105453148596,0.005960200219904,AtlasNet,Eig_seed=142,a_-2,pcs_100
c2,0.0421417896328501,0.0060906766682615,AtlasNet,Eig_seed=142,a_-2.2,pcs_100
c2,0.0420262794087141,0.0061864285278368,AtlasNet,Eig_seed=142,a_-2.4,pcs_100
c2,0.0419574896617751,0.00619166352054,AtlasNet,Eig_seed=142,a_-2.6,pcs_100
c2,0.0419947348643637,0.0061434907923769,AtlasNet,Eig_seed=142,a_-2.8,pcs_100
c2,0.0419942489013104,0.0060562918383438,AtlasNet,Eig_seed=142,a_-3,pcs_100
c2,0.1726431304010346,0.0046140860336246,AtlasNet,Eig_seed=142,a_-0.2,pcs_500
c2,0.1677524122461174,0.0049469966063403,AtlasNet,Eig_seed=142,a_-0.3,pcs_500
c2,0.1581354724334746,0.0055392894535855,AtlasNet,Eig_seed=142,a_-0.4,pcs_500
c2,0.1510868642357887,0.0055063842358884,AtlasNet,Eig_seed=142,a_-0.5,pcs_500
c2,0.1424240833010856,0.0059317066576505,AtlasNet,Eig_seed=142,a_-0.6,pcs_500
c2,0.1352716629164481,0.0057360624379061,AtlasNet,Eig_seed=142,a_-0.7,pcs_500
c2,0.1294935540670782,0.0057549845923271,AtlasNet,Eig_seed=142,a_-0.8,pcs_500
c2,0.1215165680430332,0.0057879674222196,AtlasNet,Eig_seed=142,a_-0.9,pcs_500
c2,0.115364694595795,0.0056818816124705,AtlasNet,Eig_seed=142,a_-1.0,pcs_500
c2,0.1046489744896475,0.0066604383525894,AtlasNet,Eig_seed=142,a_-1.2,pcs_500
c2,0.0912831580376687,0.0067509012109937,AtlasNet,Eig_seed=142,a_-1.4,pcs_500
