layer,score,score_error,architecture,task,kind,source
c2,0.10681314095700256,0.005191805872210543,AtlasNet,Eig_seed=142,a_-0.2,pcs_50
c2,0.10514337075321468,0.005429780003862844,AtlasNet,Eig_seed=142,a_-0.3,pcs_50
c2,0.1016632158805368,0.005422284695009374,AtlasNet,Eig_seed=142,a_-0.4,pcs_50
c2,0.09728491676738153,0.0055262439862862394,AtlasNet,Eig_seed=142,a_-0.5,pcs_50
c2,0.09263147761783044,0.0054415564938003974,AtlasNet,Eig_seed=142,a_-0.6,pcs_50
c2,0.08741742543057747,0.005170722449073123,AtlasNet,Eig_seed=142,a_-0.7,pcs_50
c2,0.08124501142728976,0.005212935081520564,AtlasNet,Eig_seed=142,a_-0.8,pcs_50
c2,0.07503670524901197,0.0054716437015857,AtlasNet,Eig_seed=142,a_-0.9,pcs_50
c2,0.06854477081209194,0.005268347854847749,AtlasNet,Eig_seed=142,a_-1.0,pcs_50
c2,0.05531496204207652,0.005444823610252684,AtlasNet,Eig_seed=142,a_-1.2,pcs_50
c2,0.0461596576355131,0.005704756442286837,AtlasNet,Eig_seed=142,a_-1.4,pcs_50
c2,0.0411565138844154,0.006061806665642434,AtlasNet,Eig_seed=142,a_-1.6,pcs_50
c2,0.03900773006743532,0.005908265449754182,AtlasNet,Eig_seed=142,a_-1.8,pcs_50
c2,0.038586838077177686,0.005971713522200529,AtlasNet,Eig_seed=142,a_-2,pcs_50
c2,0.03860456526376219,0.005968111480460887,AtlasNet,Eig_seed=142,a_-2.2,pcs_50
c2,0.03871201167128868,0.005893784452046355,AtlasNet,Eig_seed=142,a_-2.4,pcs_50
c2,0.03871994903318049,0.005870642010442301,AtlasNet,Eig_seed=142,a_-2.6,pcs_50
c2,0.03867375747410169,0.005850577982354182,AtlasNet,Eig_seed=142,a_-2.8,pcs_50
c2,0.03862745503146728,0.005878737934276317,AtlasNet,Eig_seed=142,a_-3,pcs_50
