layer,score,score_error,architecture,task,kind,source
c2,0.0044416337435353,0.0002970449668195,AtlasNet,Eig_seed=0,a_-0.2,pcs_10
c2,0.004324553585586,0.0002907396367658,AtlasNet,Eig_seed=0,a_-0.3,pcs_10
c2,0.0040322563066147,0.000280442686907,AtlasNet,Eig_seed=0,a_-0.4,pcs_10
c2,0.0042157289229945,0.0002730208715059,AtlasNet,Eig_seed=0,a_-0.5,pcs_10
c2,0.0040159232788042,0.0002677658828761,AtlasNet,Eig_seed=0,a_-0.6,pcs_10
c2,0.0037128835591335,0.000260790286919,AtlasNet,Eig_seed=0,a_-0.7,pcs_10
c2,0.0033199994535397,0.0002546317740439,AtlasNet,Eig_seed=0,a_-0.8,pcs_10
c2,0.0027841727734979,0.0002480054518106,AtlasNet,Eig_seed=0,a_-0.9,pcs_10
c2,0.0023802413572754,0.0002477707670092,AtlasNet,Eig_seed=0,a_-1.0,pcs_10
c2,0.00174913435236,0.0002269302738937,AtlasNet,Eig_seed=0,a_-1.2,pcs_10
c2,0.0014230602962203,0.0002242298665501,AtlasNet,Eig_seed=0,a_-1.4,pcs_10
c2,0.0012721218908336,0.0002225295920633,AtlasNet,Eig_seed=0,a_-1.6,pcs_10
c2,0.0012010560183564,0.0002215532448262,AtlasNet,Eig_seed=0,a_-1.8,pcs_10
c2,0.0011640450883335,0.0002211815135859,AtlasNet,Eig_seed=0,a_-2,pcs_10
c2,0.001142890115333,0.0002212935587809,AtlasNet,Eig_seed=0,a_-2.2,pcs_10
c2,0.0011299732801419,0.0002216420791864,AtlasNet,Eig_seed=0,a_-2.4,pcs_10
c2,0.0011218281941831,0.0002220997793658,AtlasNet,Eig_seed=0,a_-2.6,pcs_10
c2,0.0011164522683561,0.0002225772159508,AtlasNet,Eig_seed=0,a_-2.8,pcs_10
c2,0.0011129633557564,0.0002230262303751,AtlasNet,Eig_seed=0,a_-3,pcs_10
c2,0.0065796780019782,0.0002182956893304,AtlasNet,Eig_seed=0,a_-0.2,pcs_50
c2,0.0065085111713058,0.0002144709573772,AtlasNet,Eig_seed=0,a_-0.3,pcs_50
c2,0.0067236155585844,0.0002132497437371,AtlasNet,Eig_seed=0,a_-0.4,pcs_50
c2,0.0072873436451643,0.0002266541813341,AtlasNet,Eig_seed=0,a_-0.5,pcs_50
c2,0.0069252043610567,0.0002205067861072,AtlasNet,Eig_seed=0,a_-0.6,pcs_50
c2,0.0072108118540677,0.0002266773323886,AtlasNet,Eig_seed=0,a_-0.7,pcs_50
c2,0.007179444137532,0.0002248013631111,AtlasNet,Eig_seed=0,a_-0.8,pcs_50
c2,0.0072151850754608,0.0002278196403288,AtlasNet,Eig_seed=0,a_-0.9,pcs_50
c2,0.0066608882913024,0.0002303417249812,AtlasNet,Eig_seed=0,a_-1.0,pcs_50
c2,0.0056029852480929,0.0002477854380372,AtlasNet,Eig_seed=0,a_-1.2,pcs_50
c2,0.004582474893611,0.0002440277529722,AtlasNet,Eig_seed=0,a_-1.4,pcs_50
c2,0.0039329915159259,0.0002381832884079,AtlasNet,Eig_seed=0,a_-1.6,pcs_50
c2,0.003585925384824,0.0002299836436451,AtlasNet,Eig_seed=0,a_-1.8,pcs_50
c2,0.0036780949784728,0.0002336662444506,AtlasNet,Eig_seed=0,a_-2,pcs_50
c2,0.0036002816424194,0.0002305995373083,AtlasNet,Eig_seed=0,a_-2.2,pcs_50
c2,0.0035880135404805,0.0002370693460086,AtlasNet,Eig_seed=0,a_-2.4,pcs_50
c2,0.0036097596370839,0.0002401021535822,AtlasNet,Eig_seed=0,a_-2.6,pcs_50
c2,0.0035573260269765,0.0002351498996335,AtlasNet,Eig_seed=0,a_-2.8,pcs_50
c2,0.003543098598174,0.0002351408527025,AtlasNet,Eig_seed=0,a_-3,pcs_50
c2,0.0060144628749745,0.0001868556989846,AtlasNet,Eig_seed=0,a_-0.2,pcs_100
c2,0.0063128266940531,0.0001779003866863,AtlasNet,Eig_seed=0,a_-0.3,pcs_100
c2,0.006511276120644,0.0001824538998585,AtlasNet,Eig_seed=0,a_-0.4,pcs_100
c2,0.0067086843494416,0.0001795107929606,AtlasNet,Eig_seed=0,a_-0.5,pcs_100
c2,0.0069600745172617,0.0001784136629978,AtlasNet,Eig_seed=0,a_-0.6,pcs_100
c2,0.0072857678065172,0.0001718248599212,AtlasNet,Eig_seed=0,a_-0.7,pcs_100
c2,0.0074260526178456,0.000175444749889,AtlasNet,Eig_seed=0,a_-0.8,pcs_100
c2,0.0068583306041774,0.0001834855519756,AtlasNet,Eig_seed=0,a_-0.9,pcs_100
c2,0.0064938801301189,0.000183714193299,AtlasNet,Eig_seed=0,a_-1.0,pcs_100
c2,0.0054223627883856,0.0001887935040671,AtlasNet,Eig_seed=0,a_-1.2,pcs_100
c2,0.0046620517762469,0.0001902574689314,AtlasNet,Eig_seed=0,a_-1.4,pcs_100
c2,0.0041873219314657,0.0001907692734363,AtlasNet,Eig_seed=0,a_-1.6,pcs_100
c2,0.0039407217208067,0.0001957810040959,AtlasNet,Eig_seed=0,a_-1.8,pcs_100
c2,0.0038681231277393,0.000194201425553,AtlasNet,Eig_seed=0,a_-2,pcs_100
c2,0.0038228123501693,0.0001985289720487,AtlasNet,Eig_seed=0,a_-2.2,pcs_100
c2,0.003783153401076,0.0001937484904835,AtlasNet,Eig_seed=0,a_-2.4,pcs_100
c2,0.0037662589742208,0.0001973649942242,AtlasNet,Eig_seed=0,a_-2.6,pcs_100
c2,0.0037518197107468,0.0001951154431722,AtlasNet,Eig_seed=0,a_-2.8,pcs_100
c2,0.0037236031220817,0.0001893125422227,AtlasNet,Eig_seed=0,a_-3,pcs_100
c2,0.0071143677016093,0.0001646818734571,AtlasNet,Eig_seed=0,a_-0.2,pcs_500
c2,0.0072542094498087,0.000161142563036,AtlasNet,Eig_seed=0,a_-0.3,pcs_500
c2,0.0073973994812778,0.0001564430509842,AtlasNet,Eig_seed=0,a_-0.4,pcs_500
c2,0.007583144885158,0.0001534010104078,AtlasNet,Eig_seed=0,a_-0.5,pcs_500
c2,0.0076503123824657,0.0001526374373893,AtlasNet,Eig_seed=0,a_-0.6,pcs_500
c2,0.0075969108490972,0.0001542189466983,AtlasNet,Eig_seed=0,a_-0.7,pcs_500
c2,0.0073162422276048,0.000160392104194,AtlasNet,Eig_seed=0,a_-0.8,pcs_500
c2,0.0068606956339173,0.0001626047115084,AtlasNet,Eig_seed=0,a_-0.9,pcs_500
c2,0.0062836029719402,0.00016809952177,AtlasNet,Eig_seed=0,a_-1.0,pcs_500
c2,0.0050919407280713,0.0001781606319457,AtlasNet,Eig_seed=0,a_-1.2,pcs_500
c2,0.0042778058416302,0.0001802330032599,AtlasNet,Eig_seed=0,a_-1.4,pcs_500
c2,0.0038456116376385,0.0001791636923162,AtlasNet,Eig_seed=0,a_-1.6,pcs_500
c2,0.0036184083735273,0.0001787539862411,AtlasNet,Eig_seed=0,a_-1.8,pcs_500
c2,0.0034972729755024,0.0001802791599886,AtlasNet,Eig_seed=0,a_-2,pcs_500
c2,0.0034235825069373,0.0001791104280529,AtlasNet,Eig_seed=0,a_-2.2,pcs_500
c2,0.0033796981561614,0.0001792173493799,AtlasNet,Eig_seed=0,a_-2.4,pcs_500
c2,0.0033546557421336,0.0001786018605467,AtlasNet,Eig_seed=0,a_-2.6,pcs_500
c2,0.0033480356855286,0.0001786343807017,AtlasNet,Eig_seed=0,a_-2.8,pcs_500
c2,0.0033434501929225,0.0001770058049435,AtlasNet,Eig_seed=0,a_-3,pcs_500
c2,0.0073202962832476,0.0001478319186965,AtlasNet,Eig_seed=0,a_-0.2,pcs_1000
c2,0.0073676541139953,0.0001441262712545,AtlasNet,Eig_seed=0,a_-0.3,pcs_1000
c2,0.0074219435983974,0.0001392028049226,AtlasNet,Eig_seed=0,a_-0.4,pcs_1000
c2,0.0074401429951353,0.0001370982897381,AtlasNet,Eig_seed=0,a_-0.5,pcs_1000
c2,0.0073564382048836,0.0001353575206291,AtlasNet,Eig_seed=0,a_-0.6,pcs_1000
c2,0.0071211384350756,0.0001364746340697,AtlasNet,Eig_seed=0,a_-0.7,pcs_1000
c2,0.0067005244304579,0.0001403159169232,AtlasNet,Eig_seed=0,a_-0.8,pcs_1000
c2,0.0061308898704879,0.0001454294884289,AtlasNet,Eig_seed=0,a_-0.9,pcs_1000
c2,0.0054735262645979,0.0001513721125844,AtlasNet,Eig_seed=0,a_-1.0,pcs_1000
c2,0.0042905599882905,0.0001614611279455,AtlasNet,Eig_seed=0,a_-1.2,pcs_1000
c2,0.0035319469640771,0.0001665181507347,AtlasNet,Eig_seed=0,a_-1.4,pcs_1000
c2,0.0031278882282814,0.0001683718885261,AtlasNet,Eig_seed=0,a_-1.6,pcs_1000
c2,0.0029140084021807,0.0001688237968714,AtlasNet,Eig_seed=0,a_-1.8,pcs_1000
c2,0.0027978575963662,0.0001692996250807,AtlasNet,Eig_seed=0,a_-2,pcs_1000
c2,0.0027333479172466,0.0001689741622414,AtlasNet,Eig_seed=0,a_-2.2,pcs_1000
c2,0.0027014737450498,0.0001697923307632,AtlasNet,Eig_seed=0,a_-2.4,pcs_1000
c2,0.0026818428613173,0.0001693349558232,AtlasNet,Eig_seed=0,a_-2.6,pcs_1000
c2,0.0026662073558423,0.0001694500222952,AtlasNet,Eig_seed=0,a_-2.8,pcs_1000
c2,0.0026605732420125,0.0001693882068521,AtlasNet,Eig_seed=0,a_-3,pcs_1000
