layer,score,score_error,architecture,task,kind,source
c2,0.004441633743535355,0.0002970449668195354,AtlasNet,Eig_seed=0,a_-0.2,pcs_10
c2,0.004324553585586017,0.0002907396367658651,AtlasNet,Eig_seed=0,a_-0.3,pcs_10
c2,0.004032256306614779,0.00028044268690704773,AtlasNet,Eig_seed=0,a_-0.4,pcs_10
c2,0.004215728922994548,0.00027302087150593953,AtlasNet,Eig_seed=0,a_-0.5,pcs_10
c2,0.004015923278804295,0.0002677658828761397,AtlasNet,Eig_seed=0,a_-0.6,pcs_10
c2,0.003712883559133593,0.0002607902869190195,AtlasNet,Eig_seed=0,a_-0.7,pcs_10
c2,0.003319999453539751,0.0002546317740439399,AtlasNet,Eig_seed=0,a_-0.8,pcs_10
c2,0.002784172773497937,0.0002480054518106989,AtlasNet,Eig_seed=0,a_-0.9,pcs_10
c2,0.0023802413572754934,0.00024777076700920275,AtlasNet,Eig_seed=0,a_-1.0,pcs_10
c2,0.0017491343523600568,0.00022693027389373167,AtlasNet,Eig_seed=0,a_-1.2,pcs_10
c2,0.0014230602962203133,0.00022422986655014422,AtlasNet,Eig_seed=0,a_-1.4,pcs_10
c2,0.0012721218908336958,0.00022252959206331874,AtlasNet,Eig_seed=0,a_-1.6,pcs_10
c2,0.001201056018356448,0.0002215532448262325,AtlasNet,Eig_seed=0,a_-1.8,pcs_10
c2,0.0011640450883335044,0.00022118151358592618,AtlasNet,Eig_seed=0,a_-2,pcs_10
c2,0.0011428901153330234,0.00022129355878097007,AtlasNet,Eig_seed=0,a_-2.2,pcs_10
c2,0.0011299732801419765,0.00022164207918649233,AtlasNet,Eig_seed=0,a_-2.4,pcs_10
c2,0.0011218281941831729,0.000222099779365863,AtlasNet,Eig_seed=0,a_-2.6,pcs_10
c2,0.001116452268356169,0.00022257721595087836,AtlasNet,Eig_seed=0,a_-2.8,pcs_10
c2,0.00111296335575645,0.00022302623037511458,AtlasNet,Eig_seed=0,a_-3,pcs_10
