layer,score,score_error,architecture,task,kind,source
c2,0.006448984964927373,0.00021379295067404266,AtlasNet,SVD,a_-0.2,pcs_50
c2,0.006580138358202366,0.0002207622374210235,AtlasNet,SVD,a_-0.3,pcs_50
c2,0.00664732489262043,0.0002187662631572773,AtlasNet,SVD,a_-0.4,pcs_50
c2,0.006294246910950572,0.00021487870718549335,AtlasNet,SVD,a_-0.5,pcs_50
c2,0.006138867326702878,0.00022445352125867164,AtlasNet,SVD,a_-0.6,pcs_50
c2,0.0064541753033969,0.00021618814304935648,AtlasNet,SVD,a_-0.7,pcs_50
c2,0.006086446484577026,0.00022440136710699142,AtlasNet,SVD,a_-0.8,pcs_50
c2,0.00631272817075179,0.0002127247568315465,AtlasNet,SVD,a_-0.9,pcs_50
c2,0.00800682442407156,0.00022148895349838292,AtlasNet,SVD,a_-1.0,pcs_50
c2,0.007425291397651008,0.00019470225457343532,AtlasNet,SVD,a_-1.2,pcs_50
c2,0.007431927614693953,0.0002350461761751783,AtlasNet,SVD,a_-1.4,pcs_50
c2,0.005957559721379311,0.00027767759851045674,AtlasNet,SVD,a_-1.6,pcs_50
c2,0.004871562786077944,0.0002567837208930992,AtlasNet,SVD,a_-1.8,pcs_50
c2,0.003511565674246634,0.00024363799153526473,AtlasNet,SVD,a_-2,pcs_50
c2,0.008532026673454584,0.00029259330257839524,AtlasNet,SVD,a_-2.2,pcs_50
c2,0.005930638631169078,0.00025271367523946385,AtlasNet,SVD,a_-2.4,pcs_50
c2,0.0040207334854133765,0.0002653725274342493,AtlasNet,SVD,a_-2.6,pcs_50
c2,0.008554322009437048,0.0003132742688741205,AtlasNet,SVD,a_-2.8,pcs_50
c2,0.009368175925180121,0.00027170300687189074,AtlasNet,SVD,a_-3,pcs_50
