layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,21.199248554866557,179.0,1.0589485324517323,ResNet18,None,Untrained,PyTorch
layer1.1.relu,26.489021782034413,235.0,1.0191563832570218,ResNet18,None,Untrained,PyTorch
layer2.0.relu,26.30624491828691,265.0,0.9978526376588804,ResNet18,None,Untrained,PyTorch
layer2.1.relu,18.893433617994454,234.0,1.0267965251405493,ResNet18,None,Untrained,PyTorch
layer3.0.relu,18.935822473154087,242.0,1.0274796975316973,ResNet18,None,Untrained,PyTorch
layer3.1.relu,16.376110896457636,232.0,1.0440355360118465,ResNet18,None,Untrained,PyTorch
layer4.0.relu,13.57161517641677,226.0,1.0526126790376829,ResNet18,None,Untrained,PyTorch
layer4.1.relu,10.044192935065482,206.0,1.0657387461318322,ResNet18,None,Untrained,PyTorch
layer1.0.relu,19.667801645789886,180.0,1.0601543294274371,ResNet50,None,Untrained,PyTorch
layer1.1.relu,17.073850261672593,145.0,1.0951227241680557,ResNet50,None,Untrained,PyTorch
layer1.2.relu,16.8439528629524,145.0,1.095637210796884,ResNet50,None,Untrained,PyTorch
layer2.0.relu,17.202339909638525,171.0,1.069472139883301,ResNet50,None,Untrained,PyTorch
layer2.1.relu,11.566086277757352,108.0,1.1352258301800062,ResNet50,None,Untrained,PyTorch
layer2.2.relu,11.65403740576657,109.0,1.1356302355781134,ResNet50,None,Untrained,PyTorch
layer2.3.relu,9.589098259723917,74.0,1.181708605760747,ResNet50,None,Untrained,PyTorch
layer3.0.relu,8.272406902246246,53.0,1.215570662364859,ResNet50,None,Untrained,PyTorch
layer3.1.relu,7.150832897779072,36.0,1.255992100029014,ResNet50,None,Untrained,PyTorch
layer3.2.relu,5.707865028988168,21.0,1.3094278132773813,ResNet50,None,Untrained,PyTorch
layer3.3.relu,4.567791272017216,13.0,1.3546160211027518,ResNet50,None,Untrained,PyTorch
layer3.4.relu,4.238979833435629,10.0,1.3818534084075873,ResNet50,None,Untrained,PyTorch
layer3.5.relu,3.7865938721810792,8.0,1.393882296732763,ResNet50,None,Untrained,PyTorch
layer4.0.relu,3.815432602132128,8.0,1.3890629788717797,ResNet50,None,Untrained,PyTorch
layer4.1.relu,3.3271926760716783,6.0,1.397723091301372,ResNet50,None,Untrained,PyTorch
layer4.2.relu,2.980045581289783,5.0,1.4161701578342158,ResNet50,None,Untrained,PyTorch
layer1.0.relu,245.7488954883752,569.0,0.6525706334464136,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,630.4731892407715,640.0,0.44645216166463325,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,504.2779757387453,616.0,0.5074476669728245,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,616.0088019046535,631.0,0.44952364610519724,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,330.8496203467683,544.0,0.604338173552578,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,332.62419976805006,564.0,0.5817540942241742,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,441.3249944923011,558.0,0.5405110454967869,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,259.6677697054126,371.0,0.6666247488912393,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,157.79969961743754,531.0,0.7281943729809848,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,256.01851812779717,582.0,0.6489005438470007,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,334.52362495523806,615.0,0.5997301000114741,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,174.0216734380155,562.0,0.7074363366416105,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,416.8103898915975,609.0,0.5467946951517444,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,563.2968665355802,630.0,0.48036042333024426,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,636.838549311749,643.0,0.4449837048422626,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,372.3125164482968,595.0,0.5758974725725262,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,456.172045599489,604.0,0.5377014734331614,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,513.5861949649494,613.0,0.5090837739057618,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,484.71424214549677,617.0,0.5196224138894235,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,487.584972959067,624.0,0.5150517513450573,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,502.51934314522225,637.0,0.4913128379816959,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,445.9742192038568,588.0,0.5454822477099749,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,354.4589338787231,536.0,0.5924023898262848,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,319.694839822009,447.0,0.6092469820732126,ResNet50,Object Classification,Supervised,PyTorch
encode_2,268.4083735877538,574.0,0.6242670958762889,ResNet18,Object Classification,Supervised,VVS
encode_3,625.5503409506124,641.0,0.4396879316692703,ResNet18,Object Classification,Supervised,VVS
encode_4,510.37468967876754,619.0,0.5053699318160004,ResNet18,Object Classification,Supervised,VVS
encode_5,660.8394074003386,641.0,0.4273532961393784,ResNet18,Object Classification,Supervised,VVS
encode_6,362.86499273847147,541.0,0.5813778706458871,ResNet18,Object Classification,Supervised,VVS
encode_7,429.8228293549697,566.0,0.5477497738473598,ResNet18,Object Classification,Supervised,VVS
encode_8,418.11421008917546,559.0,0.556414414581024,ResNet18,Object Classification,Supervised,VVS
encode_9,315.785557014742,455.0,0.6167932198038754,ResNet18,Object Classification,Supervised,VVS
encode_2,203.65769828044412,584.0,0.6183442774282675,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,620.5852030214188,642.0,0.448182478738897,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,442.5767459143071,601.0,0.5404782715950132,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,548.7128591656337,617.0,0.4812092836094657,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,232.13951676909102,496.0,0.6696496195469486,ResNet18,Local Aggregation,Self-Supervised,VVS
