layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,3.040533082674918,8.0,1.3433022485198611,ResNet18,None,Untrained,PyTorch
layer1.1.relu,2.5725743498596687,7.0,1.3697672852872935,ResNet18,None,Untrained,PyTorch
layer2.0.relu,3.43670541010531,17.0,1.3359362107543575,ResNet18,None,Untrained,PyTorch
layer2.1.relu,2.5830737566631563,10.0,1.4071934996207671,ResNet18,None,Untrained,PyTorch
layer3.0.relu,2.876954195125549,18.0,1.8180749744538842,ResNet18,None,Untrained,PyTorch
layer3.1.relu,2.4416011089913265,11.0,1.2248408875902976,ResNet18,None,Untrained,PyTorch
layer4.0.relu,2.5404326083290116,25.0,1.5409119246696052,ResNet18,None,Untrained,PyTorch
layer4.1.relu,2.003347765348008,8.0,1.2107271560107362,ResNet18,None,Untrained,PyTorch
layer1.0.relu,3.1430159654343774,12.0,1.3832385402533218,ResNet50,None,Untrained,PyTorch
layer1.1.relu,2.7861808005317075,11.0,1.2795249314396084,ResNet50,None,Untrained,PyTorch
layer1.2.relu,2.5188702143795436,10.0,1.3419372409327914,ResNet50,None,Untrained,PyTorch
layer2.0.relu,2.8082492388788567,24.0,1.807773364840537,ResNet50,None,Untrained,PyTorch
layer2.1.relu,2.5609627127126027,18.0,1.347608089333816,ResNet50,None,Untrained,PyTorch
layer2.2.relu,2.3443509379283136,11.0,1.3748330827279158,ResNet50,None,Untrained,PyTorch
layer2.3.relu,2.196179341742472,7.0,1.3858197628979363,ResNet50,None,Untrained,PyTorch
layer3.0.relu,2.3859259187264312,15.0,1.6822842370674267,ResNet50,None,Untrained,PyTorch
layer3.1.relu,2.132267699899908,7.0,1.75417382825879,ResNet50,None,Untrained,PyTorch
layer3.2.relu,2.015239297690442,5.0,1.798031258307593,ResNet50,None,Untrained,PyTorch
layer3.3.relu,1.8463540990646234,4.0,1.7027279862474853,ResNet50,None,Untrained,PyTorch
layer3.4.relu,1.6971484268135266,3.0,1.8407763357117999,ResNet50,None,Untrained,PyTorch
layer3.5.relu,1.5933504258271793,2.0,1.84569201047589,ResNet50,None,Untrained,PyTorch
layer4.0.relu,1.6551871534201479,2.0,1.5832105984123503,ResNet50,None,Untrained,PyTorch
layer4.1.relu,1.563732963196453,2.0,1.7402449756536993,ResNet50,None,Untrained,PyTorch
layer4.2.relu,1.4913305057768347,1.0,1.7758666546460604,ResNet50,None,Untrained,PyTorch
layer1.0.relu,5.896696161372919,15.0,1.2751642859241332,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,7.0759027310900064,22.0,1.1397395823090382,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,16.72629506588991,41.0,1.013079982714596,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,20.812772439393456,47.0,0.9340026781584422,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,28.664493485466927,71.0,1.0095021698671496,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,29.971853683545877,82.0,0.9664085789299086,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,70.31868694258549,184.0,0.8618975776268755,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,126.93298214931154,156.0,0.7413425307278634,ResNet18,Object Classification,Supervised,PyTorch
