layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.8596346605064453,3.0,2.772030622703824,ResNet18,None,Untrained,PyTorch
layer1.1.relu,2.670510524699692,2.0,2.854566487953719,ResNet18,None,Untrained,PyTorch
layer2.0.relu,2.1221560214009565,2.0,3.110169329394835,ResNet18,None,Untrained,PyTorch
layer2.1.relu,1.8133819046600257,2.0,2.852744323449777,ResNet18,None,Untrained,PyTorch
layer3.0.relu,1.6706320794375376,2.0,2.6213583278780384,ResNet18,None,Untrained,PyTorch
layer3.1.relu,1.410257994652354,1.0,2.282902162852578,ResNet18,None,Untrained,PyTorch
layer4.0.relu,1.4264380450063183,1.0,2.1368849789116724,ResNet18,None,Untrained,PyTorch
layer4.1.relu,1.2912629299503275,1.0,1.782006939135454,ResNet18,None,Untrained,PyTorch
layer1.0.relu,1.9670420360181504,2.0,3.0226244941483573,ResNet50,None,Untrained,PyTorch
layer1.1.relu,1.7505191389759438,2.0,2.833944672515738,ResNet50,None,Untrained,PyTorch
layer1.2.relu,1.7042538511544074,2.0,2.8235169092556682,ResNet50,None,Untrained,PyTorch
layer2.0.relu,1.566814419091115,2.0,2.8820020111294635,ResNet50,None,Untrained,PyTorch
layer2.1.relu,1.3620467492116106,1.0,2.649613180058786,ResNet50,None,Untrained,PyTorch
layer2.2.relu,1.3190286844281707,1.0,2.639922748596759,ResNet50,None,Untrained,PyTorch
layer2.3.relu,1.2179050885222165,1.0,2.783723629475446,ResNet50,None,Untrained,PyTorch
layer3.0.relu,1.1906230078444517,1.0,2.520438209108915,ResNet50,None,Untrained,PyTorch
layer3.1.relu,1.121405345758181,1.0,2.388649764235441,ResNet50,None,Untrained,PyTorch
layer3.2.relu,1.1088623731046563,1.0,2.628220163085655,ResNet50,None,Untrained,PyTorch
layer3.3.relu,1.0729433556611798,1.0,2.529703252198593,ResNet50,None,Untrained,PyTorch
layer3.4.relu,1.0488073815189094,1.0,2.347442108479313,ResNet50,None,Untrained,PyTorch
layer3.5.relu,1.0434196551696022,1.0,2.339365213419685,ResNet50,None,Untrained,PyTorch
layer4.0.relu,1.0498764288791822,1.0,2.231965704149246,ResNet50,None,Untrained,PyTorch
layer4.1.relu,1.0515239204644504,1.0,2.202636902314486,ResNet50,None,Untrained,PyTorch
layer4.2.relu,1.0481810792215749,1.0,2.2472414177739624,ResNet50,None,Untrained,PyTorch
layer1.0.relu,7.195830321711453,6.0,1.9609245349295035,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,9.282108814722797,9.0,1.5690621565255887,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,12.530834354613713,14.0,1.5134539199652723,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,14.801262146175276,21.0,1.2754968577106163,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,21.36151745849596,31.0,1.2526907452181326,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,33.50998390546888,50.0,1.0539872759707352,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,56.750610391170135,117.0,0.9437969394707569,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,113.02438329694616,135.0,0.8118940559494542,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,8.04567237365831,7.0,2.7477523036710063,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,9.359147148063789,9.0,2.5332122025914137,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,9.948289191472812,9.0,1.8754622983400009,ResNet50,Object Classification,Supervised,PyTorch
