layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.13358355962619572,0.0029116060730032325,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.13447771196587124,0.0028775830006834936,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.15145152930431194,0.004876684137243684,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.15303207731515836,0.0028791206416472442,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.1546037208758486,0.0020655018483619688,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.16504803104062316,0.003977217953430366,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.16721687009859448,0.004467679574136022,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.16576043404966276,0.004622335860121487,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.16198364022728776,0.003597602572413419,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.14877772646086304,0.004667813145724569,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.14276745688365486,0.0052972678900640715,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.1371649099812125,0.004910242983012839,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.12480041725522004,0.004166220148398567,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.11163570859223519,0.0064316067144481485,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.09906023576213555,0.007290566819325787,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.08514369243453901,0.00534800778699681,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.07765806415680866,0.006931744830019903,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.08380107756303035,0.005533654038474084,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.0863374435181517,0.006070287947806281,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.087601971567195,0.006292505643613197,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.08901317865631903,0.006188621311489136,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.08028742108417014,0.005985586978352231,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.10893798115046995,0.0065044967551088585,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.10851999854405156,0.005141309183500374,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.1804317405489321,0.0030526524885027763,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.1728799204711373,0.0038805762010022094,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.23699797417003063,0.004659077584563878,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.25297228177681713,0.0030147469029232696,ResNet18,Object Classification,Supervised,PyTorch
