layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.12496272555402346,0.003311019071390386,ResNet18,None,Untrained,PyTorch
layer1.1.relu,0.11489949998236879,0.0041984865674943896,ResNet18,None,Untrained,PyTorch
layer2.0.relu,0.1327805843609384,0.0040492802552525575,ResNet18,None,Untrained,PyTorch
layer2.1.relu,0.155046260098947,0.005202054191658678,ResNet18,None,Untrained,PyTorch
layer3.0.relu,0.1472118163981342,0.0044393216143352,ResNet18,None,Untrained,PyTorch
layer3.1.relu,0.1833623022645008,0.0052403774917251745,ResNet18,None,Untrained,PyTorch
layer4.0.relu,0.18356370631052563,0.005626645108273898,ResNet18,None,Untrained,PyTorch
layer4.1.relu,0.19688267185001623,0.004401468518831372,ResNet18,None,Untrained,PyTorch
layer1.0.relu,0.15683006415847184,0.0033615266508449622,ResNet50,None,Untrained,PyTorch
layer1.1.relu,0.155664625367541,0.0036019082372015813,ResNet50,None,Untrained,PyTorch
layer1.2.relu,0.1581147671619389,0.0032093898526988703,ResNet50,None,Untrained,PyTorch
layer2.0.relu,0.14924300686931374,0.004241406858390866,ResNet50,None,Untrained,PyTorch
layer2.1.relu,0.15938834890185924,0.004370817068099104,ResNet50,None,Untrained,PyTorch
layer2.2.relu,0.1591285291171035,0.004880651220485895,ResNet50,None,Untrained,PyTorch
layer2.3.relu,0.15571517638315518,0.0037832779709360653,ResNet50,None,Untrained,PyTorch
layer3.0.relu,0.14176652549269703,0.0032701471390286217,ResNet50,None,Untrained,PyTorch
layer3.1.relu,0.1621399058957469,0.004501836615301706,ResNet50,None,Untrained,PyTorch
layer3.2.relu,0.1722214141688468,0.006436772843038299,ResNet50,None,Untrained,PyTorch
layer3.3.relu,0.17727121561290118,0.004476326173590636,ResNet50,None,Untrained,PyTorch
layer3.4.relu,0.1795457705350805,0.006655100696483194,ResNet50,None,Untrained,PyTorch
layer3.5.relu,0.18176877118178986,0.005246843578685473,ResNet50,None,Untrained,PyTorch
layer4.0.relu,0.15903006548566578,0.00503470087679242,ResNet50,None,Untrained,PyTorch
layer4.1.relu,0.18463517113733938,0.004813880415229651,ResNet50,None,Untrained,PyTorch
layer4.2.relu,0.18064332995743315,0.004879295906901435,ResNet50,None,Untrained,PyTorch
layer1.0.relu,0.1656469147591421,0.004140057172823187,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.16570720326033356,0.0042861019135563986,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.20938470168291956,0.005303765658623151,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.25553951865624236,0.003169097837572078,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.3183963779828108,0.003707782195307072,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.37568288315529846,0.0042846923267595505,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.44026359860763253,0.0036760493262998793,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.38809131924928425,0.004196619144480214,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.17759112013736356,0.0034278073567474083,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.19398460694911315,0.004694638572310645,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.2036155272804079,0.003503363546051801,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.231357530247252,0.0029142463899019784,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.24040985806687734,0.0030765035631857953,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.2631123989135575,0.0037705768190382967,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.27839801310728535,0.0034425100512640904,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.3020338182006994,0.004245792984049875,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.33491152664181634,0.0029877637068136814,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.3806770864265638,0.004389961071246346,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.40822833263515773,0.003964481494534855,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.4274385688446031,0.004422613195259373,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.44544501793194463,0.0041035336681287515,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.4343501361470908,0.003949524799552648,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.4212251539023889,0.00429736086788964,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.3881247285464657,0.005270711166409,ResNet50,Object Classification,Supervised,PyTorch
encode_2,0.16116491851527195,0.00285151038499037,ResNet18,Object Classification,Supervised,VVS
encode_3,0.17785054135070882,0.004299935413787885,ResNet18,Object Classification,Supervised,VVS
encode_4,0.2205440230252845,0.004066603633588848,ResNet18,Object Classification,Supervised,VVS
encode_5,0.25607471228497813,0.004622760917781767,ResNet18,Object Classification,Supervised,VVS
encode_6,0.3304545185748753,0.003947734181543344,ResNet18,Object Classification,Supervised,VVS
encode_7,0.36714180184667833,0.0047238016285208045,ResNet18,Object Classification,Supervised,VVS
encode_8,0.4461606349610623,0.004031951412170862,ResNet18,Object Classification,Supervised,VVS
encode_9,0.40302712771779514,0.00374224538362324,ResNet18,Object Classification,Supervised,VVS
encode_2,0.14842842996757713,0.003078817575512044,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,0.16351263546006004,0.003732724552604041,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,0.19832243181404133,0.0031296202508422975,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,0.2345943255641042,0.0034562997675266684,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,0.3145424219831718,0.0032276172997201666,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,0.4014048907771285,0.003491201213868422,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,0.4527944167877615,0.0032882960174651014,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_9,0.43854452360747503,0.002395374817810576,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_2,0.15115668025489887,0.003214631279159092,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_3,0.1598264172723613,0.002643699707167432,ResNet18,Instance Recognition,Self-Supervised,VVS
