accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.052,0.1868,0.14317450635704432,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.256,0.18702188128648045,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0932,0.2856,0.2066858231532066,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0968,0.3032,0.21177588574528328,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1688,0.13407577074451657,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.086,0.2552,0.18740543455636363,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.104,0.3016,0.21905487085417422,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.102,0.312,0.2205770406740658,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.152,0.12419400595275988,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.078,0.2496,0.1837545088617659,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.2828,0.21342109109182114,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1064,0.316,0.22139458536048187,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.1884,0.14713936043566683,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0932,0.2592,0.1922115458435202,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1016,0.292,0.20986654274209637,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1032,0.3048,0.21568135215009435,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.04,0.1756,0.13399123762314077,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0716,0.2344,0.173575446619124,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0932,0.2904,0.20757749510214213,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0936,0.3112,0.2135404485910854,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.172,0.1338588215053167,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.2492,0.18365567331613092,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0912,0.2648,0.19710125955915078,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1012,0.2984,0.21390996468706389,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.1748,0.13803789039419248,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.254,0.18779832051804035,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.09,0.304,0.20733171596307903,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.3148,0.2133565374642481,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1868,0.13925540930785904,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.2576,0.18375768380963403,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0952,0.2936,0.20609877052436482,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.3044,0.21705635167199588,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1716,0.12992048124022404,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0764,0.27,0.18622534020005288,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1,0.3008,0.21262225955497688,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1044,0.3068,0.2186768304133068,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1844,0.13846818079735418,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.078,0.2604,0.18458900916071058,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.2876,0.20563134114077333,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.2924,0.21220862103620483,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1708,0.13705421452153843,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
