accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0688,0.2068,0.16120953766196655,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0768,0.2692,0.18840074844902946,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0952,0.3088,0.2164380852501671,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.312,0.21943334356284994,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0592,0.206,0.15289209780950727,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0824,0.28,0.19508645808280664,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.316,0.22254322219950246,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1052,0.3276,0.22796174659728444,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.046,0.182,0.13577578320011074,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0936,0.292,0.20685619873940964,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1024,0.3156,0.22233720033530252,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.112,0.3296,0.2334405625953367,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1968,0.1449204825413458,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0716,0.2644,0.1860388848805823,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0936,0.304,0.21229155624915594,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0984,0.3168,0.22153891972953088,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.184,0.14043628167577493,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0736,0.2792,0.1909527569388125,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.3104,0.20907011700991507,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.104,0.3272,0.22660809065852977,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.1824,0.1359572309650806,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.082,0.2536,0.18971961592290715,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0984,0.3128,0.21923926343227562,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.104,0.32,0.22371942433484923,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.198,0.15095210416709384,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0836,0.2764,0.19626445860929795,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.3092,0.21783198869613835,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1048,0.3224,0.22865082260347866,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0604,0.2136,0.15590523815418905,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0908,0.2864,0.20316367206423186,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1008,0.3072,0.21795049722803583,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1036,0.3132,0.2249597292582583,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1796,0.13887646870755554,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0952,0.2884,0.20816870151090275,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.104,0.3132,0.22192740020845816,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1148,0.3356,0.23425092789465238,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0672,0.2048,0.16144472881970928,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1004,0.302,0.215263944990666,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.3076,0.22335705357806587,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1036,0.3228,0.22450821844662883,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0672,0.2064,0.15822926893104858,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0756,0.254,0.1814438533292775,5,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.094,0.3072,0.21284852875274204,20,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.088,0.304,0.21217732231318223,50,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.1904,0.14478339618412092,1,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.086,0.2624,0.19308397422739657,5,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.096,0.306,0.21533319830230208,20,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1004,0.3172,0.22118954295070134,50,1,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1692,0.1302997182651355,1,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0836,0.2716,0.19603103637224611,5,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0964,0.2932,0.2124500118381827,20,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1024,0.3196,0.22338824757184808,50,2,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.048,0.1832,0.14074604800620363,1,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.258,0.18353139824865872,5,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.2908,0.20237437562322572,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0904,0.3092,0.2114852637880338,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.052,0.178,0.13776801107048553,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0704,0.2596,0.1831430812635624,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.2984,0.203997042351878,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.3124,0.21477924173545848,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0376,0.176,0.13097735845051264,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2468,0.18486221047089405,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.3048,0.21062212853148052,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1008,0.3036,0.21739824762821003,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1952,0.1451531501973262,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0748,0.2672,0.18469333431273163,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.2936,0.21091338997165418,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.3064,0.21557228638433176,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2052,0.14952090767617823,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.2724,0.19654515049247537,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.294,0.20650606647640174,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0996,0.2988,0.21624025002117556,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
