layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
encode_2,179.2087558543453,559.0,0.6511937783022059,ResNet18,SimCLR,Self-Supervised,VVS
encode_3,455.5749818531685,626.0,0.5312061618865014,ResNet18,SimCLR,Self-Supervised,VVS
encode_4,580.5793115775076,623.0,0.47585053298189367,ResNet18,SimCLR,Self-Supervised,VVS
encode_5,589.6153447222374,626.0,0.46604084496148757,ResNet18,SimCLR,Self-Supervised,VVS
encode_6,345.61261314265334,546.0,0.5953789904747536,ResNet18,SimCLR,Self-Supervised,VVS
encode_7,299.7405356803844,540.0,0.6227051545015932,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position0x0,33.716628097261605,83.0,1.6457884892112042,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position0x1,55.0511802883063,115.0,1.5708083126957268,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position0x2,58.191677582871904,118.0,1.5578206467154339,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position0x3,49.702041212356704,115.0,1.5981198039111033,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position0x4,56.27256369893305,119.0,1.547641817343798,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position0x5,57.84440010411739,119.0,1.5875254263493217,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position0x6,38.547758850786366,86.0,1.6577820553196934,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position1x0,54.73830173858535,115.0,1.5512906347624715,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position1x1,74.93286464785207,144.0,1.4540259733633338,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position1x2,71.42143974357727,145.0,1.5300939414112869,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position1x3,58.10672007914213,133.0,1.547774513348435,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position1x4,73.18632432870554,145.0,1.468936680130867,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position1x5,76.47171030351075,146.0,1.3868902977394113,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position1x6,59.0752949338411,118.0,1.6181873676628389,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position2x0,61.71420908020775,124.0,1.5392471109400374,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position2x1,81.30622671845529,156.0,1.4418689403320435,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position2x2,79.06427197649025,149.0,1.5774294051054494,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position2x3,63.83367074740178,135.0,1.4827094995234136,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position2x4,76.52799278054201,145.0,1.4263538691395172,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position2x5,82.55022459805365,154.0,1.4304432782186847,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position2x6,62.890585986980696,125.0,1.5524231082719138,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position3x0,63.27359799400822,128.0,1.5421262617931453,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position3x1,84.80823896081979,161.0,1.451550417781055,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position3x2,81.56993023223859,152.0,1.4557708487228027,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position3x3,66.21549517464994,133.0,1.4850220739965303,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position3x4,77.29534025797481,147.0,1.4894311446535902,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position3x5,86.58850533800397,158.0,1.447716126727895,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position3x6,64.4263897399814,129.0,1.528010254611846,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position4x0,62.91474921591741,128.0,1.5154558938837757,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position4x1,84.94237618665481,159.0,1.4314051600701803,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position4x2,81.72013765753759,152.0,1.4379476646287712,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position4x3,72.70319073762796,141.0,1.4759526939679208,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position4x4,80.15285012561257,152.0,1.4753534553413352,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position4x5,87.30428547734651,158.0,1.4044615247346366,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position4x6,65.25471530988598,130.0,1.5097604333350996,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position5x0,61.728516580537615,125.0,1.5378045751449119,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position5x1,85.01549946394071,156.0,1.4723926281147666,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position5x2,87.30080269398023,156.0,1.4573950181818702,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position5x3,83.13962213496869,153.0,1.4380135789730406,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position5x4,88.48876742183526,157.0,1.4124913732598567,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position5x5,84.65456317625757,155.0,1.5128741304172453,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position5x6,65.0257816901149,128.0,1.5158251939856002,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position6x0,37.100406985320724,91.0,1.6574901423009951,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position6x1,57.59514764903927,124.0,1.5315678145998708,ResNet18,SimCLR,Self-Supervised,VVS
encode_8.position6x2,62.94863640420076,130.0,1.5636124414009394,ResNet18,SimCLR,Self-Supervised,VVS
