layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,245.73090426055685,569.0,0.652580129835965,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,630.4806591837004,640.0,0.44644982433158864,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,504.28258507233903,616.0,0.5074444287894045,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,616.0093056378445,631.0,0.44952256091332593,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,330.8602904754563,544.0,0.604332648158234,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,332.68196639933814,564.0,0.5817342832843163,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position0x0,44.896907415572734,123.0,1.0114111044835872,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position0x1,103.17617390326525,195.0,0.826798558596636,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position0x2,113.12132722189318,202.0,0.7748458613791227,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position0x3,110.70942286765222,202.0,0.779676099804733,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position0x4,113.5531713576888,203.0,0.7703482489309283,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position0x5,106.26754324392304,200.0,0.8075248696087358,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position0x6,55.36964997678011,135.0,0.9629881763650076,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position1x0,99.24496431299686,192.0,0.8019241336473575,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position1x1,114.96104253246838,220.0,0.7622624951134961,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position1x2,101.95880950926185,218.0,0.7692502601177899,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position1x3,90.6449671504628,211.0,0.7890740648513136,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position1x4,103.22797522604479,220.0,0.7589369906799219,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position1x5,114.28790860588337,221.0,0.7678624206327206,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position1x6,102.71670122901591,194.0,0.8142423608938959,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position2x0,112.55304517818753,203.0,0.7605626230817716,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position2x1,120.17762715503808,229.0,0.740109122019361,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position2x2,107.1383360428364,220.0,0.7545087551534623,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position2x3,93.52703141768757,208.0,0.7870284581296235,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position2x4,100.52278830028537,217.0,0.76254724216944,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position2x5,118.42443027363299,228.0,0.7442571611735592,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position2x6,118.77319837543655,208.0,0.7510946282218154,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position3x0,117.9892882352822,207.0,0.7480725542346627,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position3x1,141.46067207149665,241.0,0.7066733725533507,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position3x2,128.70049760597482,232.0,0.7352231873766362,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position3x3,98.18455928074616,212.0,0.7925951381224835,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position3x4,117.57083832505538,225.0,0.7540979767840217,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position3x5,131.66658795156525,238.0,0.7199125659407373,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position3x6,121.97578359964629,213.0,0.7432899139148229,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position4x0,114.96527424542712,207.0,0.7530209807462793,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position4x1,140.2651664761437,241.0,0.7098883960340425,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position4x2,139.21275168455264,235.0,0.7229295767186403,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position4x3,125.8446878501294,225.0,0.7446165184240751,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position4x4,137.92599040268553,234.0,0.719734530673138,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position4x5,139.29154172769438,241.0,0.7060793736422538,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position4x6,122.027141783283,213.0,0.744569054568281,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position5x0,108.82092043820252,204.0,0.7709514997486938,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position5x1,133.5603832450017,234.0,0.7187572653187381,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position5x2,136.01179412754007,234.0,0.7301753706795516,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position5x3,132.68940438070888,231.0,0.7308633158122367,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position5x4,138.9165818022714,235.0,0.724679958237966,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position5x5,133.48961066030967,235.0,0.7172369951432203,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position5x6,115.29065414226106,208.0,0.7610490032128455,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position6x0,66.1040532544789,144.0,0.9584500199091736,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position6x1,110.16848867507133,199.0,0.8058614779274319,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position6x2,119.99692020382301,209.0,0.7731305752518073,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position6x3,120.42747097623781,210.0,0.7724285615667973,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position6x4,122.41378221053843,211.0,0.7678231964690974,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position6x5,116.51719616174323,206.0,0.7855105843426966,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu.position6x6,71.31002554156836,148.0,0.9227670016839574,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position0x0,52.350765092186236,138.0,0.9125152482322562,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position0x1,66.00612062858976,153.0,0.833830844026279,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position0x2,65.88958180694452,156.0,0.8064242503341262,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position0x3,68.63752603982236,156.0,0.799914551117418,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position0x4,68.1419974935299,157.0,0.8041004531734985,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position0x5,67.62889165788835,153.0,0.832678938830601,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position0x6,54.459653728880795,138.0,0.9102765307736354,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position1x0,66.19913117065641,154.0,0.8371386072538911,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position1x1,96.2716985287763,163.0,0.7634722406893795,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position1x2,104.63375253912011,162.0,0.7422987579005719,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position1x3,109.73883889890644,160.0,0.7399729414210067,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position1x4,109.2733005842558,163.0,0.7379071039809754,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position1x5,100.96773786094263,163.0,0.7590221424896441,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position1x6,72.64003757338223,155.0,0.8313466697709536,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position2x0,74.74584292597103,160.0,0.7994523378928466,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position2x1,118.19326858794633,165.0,0.7280171524946615,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position2x2,123.2934199090893,159.0,0.7238688558996028,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position2x3,124.46349683045206,157.0,0.7263843441030655,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position2x4,127.13406160134527,160.0,0.7182065854585366,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position2x5,123.37418509394904,165.0,0.7223929422581138,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position2x6,84.75151062215986,161.0,0.7876152521343684,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position3x0,84.44022811410194,161.0,0.7847879065475064,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position3x1,132.87421052194068,166.0,0.712116481049624,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position3x2,135.51741221501558,160.0,0.7094599378923356,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position3x3,133.8394880900732,157.0,0.7140626871572979,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position3x4,137.64005527590268,160.0,0.7060444443050823,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position3x5,134.6630518215066,165.0,0.7103909253729828,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position3x6,92.50973344372123,162.0,0.7742422236519314,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position4x0,83.64214129224929,161.0,0.7927805399483185,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position4x1,129.01597083894382,167.0,0.7201302322608151,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position4x2,134.24293979639216,162.0,0.7118145999176468,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position4x3,132.61456359726793,159.0,0.715770587373571,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position4x4,136.64838343393103,162.0,0.7072589228349381,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position4x5,131.06092484018941,166.0,0.7177575338277343,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position4x6,89.97219516287312,162.0,0.7829328686799337,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position5x0,73.26253416839914,156.0,0.8226297711816651,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position5x1,104.70562158918972,164.0,0.755014805012939,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position5x2,119.62226800495688,165.0,0.7306143498092345,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position5x3,122.61407921960128,163.0,0.728876544001787,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position5x4,121.94026434926762,165.0,0.7289085657231114,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position5x5,108.66338154840071,164.0,0.7512553074443022,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu.position5x6,78.5139873262074,157.0,0.8131372022788772,ResNet18,Object Classification,Supervised,PyTorch
