layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,22.4348268446434,181.0,1.0617262342636806,ResNet18,None,Untrained,PyTorch
layer1.1.relu,28.33884123634946,227.0,1.0179708256457827,ResNet18,None,Untrained,PyTorch
layer2.0.relu,26.63483045677061,238.0,1.0162200373370938,ResNet18,None,Untrained,PyTorch
layer2.1.relu,21.190131019694302,239.0,1.0169197409311481,ResNet18,None,Untrained,PyTorch
layer3.0.relu,23.402414629406536,284.0,0.9797789132806332,ResNet18,None,Untrained,PyTorch
layer3.1.relu,17.37541915832888,272.0,0.9962750746184071,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position0x0,3.4718782776940165,14.0,1.9476540425664008,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position0x1,4.149605049871279,26.0,1.9121831327531589,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position0x2,4.684273442147556,35.0,1.8754778217554717,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position0x3,4.944425021700019,39.0,1.8660478070926205,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position0x4,4.936387539403063,39.0,1.8705607009197527,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position0x5,4.665878222895165,34.0,1.8837032866028884,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position0x6,3.996280096183198,21.0,1.9418489389287668,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position1x0,4.519443730160409,29.0,1.8850842717716787,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position1x1,4.80167811368602,38.0,1.867605031179948,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position1x2,5.961960269152197,51.0,1.8042021848950738,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position1x3,6.704056058204641,57.0,1.8460002487189129,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position1x4,6.700532017703073,57.0,1.8007818919559402,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position1x5,6.035569144607099,51.0,1.8247521039817671,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position1x6,4.9241452768420615,36.0,1.8612558149745715,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position2x0,5.226256609339718,39.0,1.8549923388920417,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position2x1,5.875253560380493,51.0,1.8130016091992158,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position2x2,7.540335286477564,66.0,1.7577802651407302,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position2x3,8.487446508240907,72.0,1.743185411005618,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position2x4,8.569805629852498,72.0,1.7671657899075293,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position2x5,7.606611812140659,65.0,1.7861893918921512,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position2x6,5.731382773964526,48.0,1.825240380294305,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position3x0,5.645462174277258,45.0,1.8184859410192664,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position3x1,6.475493625503667,58.0,1.7897050400026857,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position3x2,8.329485349820121,73.0,1.7291454035869533,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position3x3,9.39966584241636,79.0,1.715499617144992,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position3x4,9.439039078385,79.0,1.7140795708264582,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position3x5,8.456306243137131,73.0,1.743842985781741,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position3x6,6.292757078724225,55.0,1.7991842443614607,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position4x0,5.736965343294423,46.0,1.8175761540888367,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position4x1,6.563301276313273,59.0,1.7798495404046506,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position4x2,8.259127251748724,74.0,1.7234847130542217,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position4x3,9.141744059957475,79.0,1.714563851276183,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position4x4,9.315874922968828,79.0,1.727981281015345,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position4x5,8.398205877629174,73.0,1.737605288704229,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position4x6,6.338267758075536,55.0,1.7931659156857953,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position5x0,5.207827674241306,40.0,1.8479212329803711,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position5x1,5.879544779817517,51.0,1.8150504482900258,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position5x2,7.171949305404467,65.0,1.7682441458347742,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position5x3,7.939541971989302,71.0,1.755913565286574,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position5x4,8.04980898639335,71.0,1.7508935676352266,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position5x5,7.341894533779811,65.0,1.7679481422897247,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position5x6,5.737562392794496,49.0,1.8215833959496712,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position6x0,4.798797460217567,28.0,1.8919511795471822,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position6x1,5.277952307730472,40.0,1.8294005856901416,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position6x2,5.883077197498631,52.0,1.7871813568960693,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position6x3,6.32199985908785,56.0,1.78510870579522,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position6x4,6.382614955635531,56.0,1.7793912481482046,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position6x5,6.108752431534749,52.0,1.8110921303062633,ResNet18,None,Untrained,PyTorch
layer4.0.relu.position6x6,4.903450121998713,37.0,1.8453240383506353,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position0x0,4.046617727313079,33.0,1.7546768393260785,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position0x1,4.473039973478048,47.0,1.6998508786105682,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position0x2,4.992293865939767,59.0,1.6760513707652116,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position0x3,5.339559368246085,65.0,1.6687134760050244,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position0x4,5.315292018557718,65.0,1.6725308114224255,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position0x5,4.796152277818721,55.0,1.696188980643332,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position0x6,4.072870011018676,36.0,1.76614354453374,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position1x0,4.319539324608056,46.0,1.7044445747738146,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position1x1,4.924195976016364,56.0,1.6827068349587218,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position1x2,5.7992198320748845,72.0,1.6372856086033218,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position1x3,6.291574687323171,78.0,1.629606191998918,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position1x4,6.190942378436049,77.0,1.6330079129182167,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position1x5,5.678271881670447,69.0,1.651557721354851,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position1x6,4.6435206290856135,51.0,1.7076306736978888,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position2x0,4.8403684418931325,57.0,1.740319407742273,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position2x1,5.455480421166886,70.0,1.6496742644793974,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position2x2,6.60523847805608,86.0,1.603486573348745,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position2x3,7.1391051602521856,91.0,1.5990950956662588,ResNet18,None,Untrained,PyTorch
layer4.1.relu.position2x4,7.0241879461525105,90.0,1.60019678996218,ResNet18,None,Untrained,PyTorch
