layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,3.5862378980149066,5.0,1.605869456805036,ResNet18,None,Untrained,PyTorch
layer1.1.relu,3.755331613138359,5.0,1.6745344742331072,ResNet18,None,Untrained,PyTorch
layer2.0.relu,4.773831503469394,9.0,2.189162478094316,ResNet18,None,Untrained,PyTorch
layer2.1.relu,4.691497592442645,12.0,1.6147180396165706,ResNet18,None,Untrained,PyTorch
layer3.0.relu,5.978652259358417,16.0,1.9725077010436742,ResNet18,None,Untrained,PyTorch
layer3.1.relu,6.974630552738757,22.0,1.9245951564411643,ResNet18,None,Untrained,PyTorch
layer4.0.relu,6.327774480422998,25.0,1.832852708721704,ResNet18,None,Untrained,PyTorch
layer4.1.relu,7.375022298991992,29.0,1.4206096279496836,ResNet18,None,Untrained,PyTorch
layer1.0.relu,3.5196890303977946,6.0,2.233113899106179,ResNet50,None,Untrained,PyTorch
layer1.1.relu,3.430862218691847,6.0,2.131818711570825,ResNet50,None,Untrained,PyTorch
layer1.2.relu,3.120758294585677,5.0,2.3446590916167915,ResNet50,None,Untrained,PyTorch
layer2.0.relu,2.964107609874709,6.0,2.1363062139727442,ResNet50,None,Untrained,PyTorch
layer2.1.relu,2.818057346042743,8.0,2.0804705570963917,ResNet50,None,Untrained,PyTorch
layer2.2.relu,2.5082455428014097,6.0,2.010811823172095,ResNet50,None,Untrained,PyTorch
layer2.3.relu,2.2650834039461007,5.0,2.123779947923842,ResNet50,None,Untrained,PyTorch
layer3.0.relu,2.3488489969815514,4.0,2.061862837473307,ResNet50,None,Untrained,PyTorch
layer3.1.relu,2.9562503854604025,5.0,2.074954781667729,ResNet50,None,Untrained,PyTorch
layer3.2.relu,3.048275283340448,5.0,2.0778101318933953,ResNet50,None,Untrained,PyTorch
layer3.3.relu,3.1191583496703537,6.0,2.115497202003213,ResNet50,None,Untrained,PyTorch
layer3.4.relu,3.044058745267195,5.0,2.1482116027906817,ResNet50,None,Untrained,PyTorch
layer3.5.relu,2.927805950977578,4.0,2.157418281873261,ResNet50,None,Untrained,PyTorch
layer4.0.relu,2.7968308932414785,4.0,2.01919590245823,ResNet50,None,Untrained,PyTorch
layer4.1.relu,3.4719101545752573,5.0,2.0432413899005697,ResNet50,None,Untrained,PyTorch
layer4.2.relu,3.5717353837774932,5.0,2.100575057791882,ResNet50,None,Untrained,PyTorch
layer1.0.relu,23.47865662181676,22.0,0.9304137306954333,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,31.889501390890867,28.0,0.7213722381174787,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,46.26666726550598,52.0,0.7613993019605125,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,57.69377459643858,63.0,0.6609582735694481,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,75.26820019381972,101.0,0.7538120553683035,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,82.59953784934339,125.0,0.681452932377933,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,145.95945474566295,242.0,0.6863473396508614,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,63.78833603610606,163.0,0.7677451732639107,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,22.940767498789505,24.0,1.9968309341220756,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,34.92778410648454,35.0,1.7847688363878929,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,49.262876242799436,51.0,1.002126159970671,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,34.31399884815198,49.0,2.035619646367713,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,60.34087435699528,80.0,1.6961561046102485,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,87.15602619641919,115.0,0.8787553686252032,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,110.95092913747902,148.0,0.7836727949799095,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,74.44986337448981,129.0,1.5326430185234912,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,118.56840080760968,209.0,1.4247029045233401,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,151.3334485771336,275.0,1.2723152435619312,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,167.32104111816798,329.0,1.2849420914861582,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,185.72160196608812,385.0,0.7530320424781115,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,251.0281040103517,443.0,0.6884673980387884,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,180.21562367038945,346.0,0.8783811817668747,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,178.80468710438572,333.0,0.8765902337601865,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,84.33184247850465,201.0,0.9646768509427096,ResNet50,Object Classification,Supervised,PyTorch
encode_2,13.325674649429171,17.0,2.014962651630593,ResNet18,SimCLR,Self-Supervised,VVS
encode_3,25.178518222996054,26.0,0.9522014861377782,ResNet18,SimCLR,Self-Supervised,VVS
encode_4,41.78517338075166,46.0,0.8627489440703247,ResNet18,SimCLR,Self-Supervised,VVS
encode_5,48.45319513845956,56.0,0.8077525912285662,ResNet18,SimCLR,Self-Supervised,VVS
encode_6,73.46518488476474,95.0,0.851510820652871,ResNet18,SimCLR,Self-Supervised,VVS
encode_7,89.51135806848556,116.0,0.7303718288617695,ResNet18,SimCLR,Self-Supervised,VVS
encode_8,96.79489057036166,179.0,1.428716813633304,ResNet18,SimCLR,Self-Supervised,VVS
encode_9,85.0497433559583,182.0,0.8316236384655981,ResNet18,SimCLR,Self-Supervised,VVS
encode_2,21.211831464022623,21.0,0.9667857997916192,ResNet18,Object Classification,Supervised,VVS
encode_3,30.873298225822296,28.0,0.7383497410406555,ResNet18,Object Classification,Supervised,VVS
encode_4,43.47913728874701,51.0,0.7894570437710701,ResNet18,Object Classification,Supervised,VVS
encode_5,61.628121242841,65.0,0.6335358972219483,ResNet18,Object Classification,Supervised,VVS
encode_6,85.49360453887289,100.0,0.7119687231657582,ResNet18,Object Classification,Supervised,VVS
encode_7,114.7648257571303,127.0,0.6051649678260295,ResNet18,Object Classification,Supervised,VVS
encode_8,141.6503403761956,233.0,0.6851635369101232,ResNet18,Object Classification,Supervised,VVS
encode_9,81.67686443136938,222.0,0.7197849434380809,ResNet18,Object Classification,Supervised,VVS
encode_2,16.33169682526935,24.0,1.061684633844883,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_3,29.224424285329793,27.0,0.8140556799262796,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_4,38.07644405318984,46.0,0.8803513910133623,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_5,53.474887040334636,58.0,0.7119631481262663,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_6,70.48896190944306,87.0,0.8074539270244813,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_7,74.5250615750778,109.0,0.7376708404656255,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_8,38.337018596872305,122.0,0.978347633936395,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_9,64.71732454340177,187.0,0.8305021667633827,ResNet18,Local Aggregation,Self-Supervised,VVS
encode_2,17.947002528016636,21.0,1.1681250690130072,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_3,27.040395158594112,25.0,0.8865160854427507,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_4,36.54311927427201,44.0,0.906031231713077,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_5,50.96752528137678,56.0,0.7406156192899308,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_6,72.71977896529609,85.0,0.8000271709575312,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_7,87.32331177471532,110.0,0.7283243860728597,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_8,38.79935510099668,110.0,1.0188706213726915,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_9,52.3614507876996,176.0,0.8976640858057992,ResNet18,Instance Recognition,Self-Supervised,VVS
encode_2,4.481959769410385,8.0,1.6355716615471085,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_3,6.099270105943661,12.0,1.4268502011695214,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_4,9.416136950351362,22.0,1.2769303253443058,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_5,8.776577363888862,22.0,1.2664692925076135,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_6,8.5942374678379,28.0,1.2691204618733833,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_7,9.938371257099636,21.0,1.3465924958941664,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_8,9.087263758546158,15.0,1.437975804716422,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_9,14.333364455727908,29.0,1.3324155388589414,ResNet18,Auto-Encoder,Self-Supervised,VVS
encode_2,18.887035177706917,20.0,1.0536115494209708,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_3,22.507789369755596,24.0,0.9322650136795941,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_4,24.616389835514255,40.0,0.9780196244552154,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_5,26.407981297337063,47.0,0.9230901348690262,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_6,53.757356104190315,77.0,0.8725038600149297,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_7,59.799619123536566,83.0,0.8204857349407133,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_8,2.887694784460711,12.0,1.362658379323765,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_9,1.72536272270544,2.0,2.517757666328974,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS
encode_2,14.579879693454785,20.0,1.1133512633524543,ResNet18,Colorization,Self-Supervised,VVS
encode_3,19.123941390131602,23.0,0.9815302707272571,ResNet18,Colorization,Self-Supervised,VVS
encode_4,30.97159605084635,44.0,0.9437920205165643,ResNet18,Colorization,Self-Supervised,VVS
encode_5,26.888407060252586,49.0,0.8966469991556669,ResNet18,Colorization,Self-Supervised,VVS
encode_6,2.748290810071689,26.0,1.1373191381779695,ResNet18,Colorization,Self-Supervised,VVS
encode_7,3.374608378495805,21.0,1.246015929324625,ResNet18,Colorization,Self-Supervised,VVS
