layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,1.3783152388527349,1.0,9.637746780313625,ResNet18,D,Untrained,PyTorch
layer1.1.relu,1.378314656712166,1.0,9.63774688204669,ResNet18,D,Untrained,PyTorch
layer2.0.relu,1.3843491549649891,1.0,7.590041647047243,ResNet18,D,Untrained,PyTorch
layer2.1.relu,1.3843493683647101,1.0,7.590041675833028,ResNet18,D,Untrained,PyTorch
layer3.0.relu,1.393346904134946,1.0,6.30567039386118,ResNet18,D,Untrained,PyTorch
layer3.1.relu,1.3933462227596511,1.0,6.305670008367189,ResNet18,D,Untrained,PyTorch
layer4.0.relu,1.398971472796153,1.0,4.986266935517214,ResNet18,D,Untrained,PyTorch
layer4.1.relu,1.3989710920223535,1.0,4.986266707911491,ResNet18,D,Untrained,PyTorch
layer1.0.relu,1.3783151197326062,1.0,6.297699415707781,ResNet50,D,Untrained,PyTorch
layer1.1.relu,1.3783146870305247,1.0,6.297699444572288,ResNet50,D,Untrained,PyTorch
layer1.2.relu,1.3783143554985093,1.0,6.29769929442643,ResNet50,D,Untrained,PyTorch
layer2.0.relu,1.3843484900525196,1.0,4.978436264788909,ResNet50,D,Untrained,PyTorch
layer2.1.relu,1.3843488056687605,1.0,4.978436242565256,ResNet50,D,Untrained,PyTorch
layer2.2.relu,1.384348338654938,1.0,4.978436274341801,ResNet50,D,Untrained,PyTorch
layer2.3.relu,1.3843481506683828,1.0,4.978435861415376,ResNet50,D,Untrained,PyTorch
layer3.0.relu,1.3933460811787053,1.0,4.0960542178524815,ResNet50,D,Untrained,PyTorch
layer3.1.relu,1.3933464307467942,1.0,4.096054175776311,ResNet50,D,Untrained,PyTorch
layer3.2.relu,1.393345858057501,1.0,4.0960539183099245,ResNet50,D,Untrained,PyTorch
layer3.3.relu,1.3933458981056257,1.0,4.096053830534097,ResNet50,D,Untrained,PyTorch
layer3.4.relu,1.3933454116275112,1.0,4.0960537773142445,ResNet50,D,Untrained,PyTorch
layer3.5.relu,1.3933467410958635,1.0,4.096054067807992,ResNet50,D,Untrained,PyTorch
layer4.0.relu,1.3989710306408418,1.0,3.7159836055701705,ResNet50,D,Untrained,PyTorch
layer4.1.relu,1.3989705245848358,1.0,3.715983480517341,ResNet50,D,Untrained,PyTorch
layer4.2.relu,1.3989706322389293,1.0,3.715983570394706,ResNet50,D,Untrained,PyTorch
features.1,1.3843510311348801,1.0,9.641908559912272,AlexNet,D,Untrained,PyTorch
features.4,1.3842718821443565,1.0,6.673203485717633,AlexNet,D,Untrained,PyTorch
features.7,1.3841283140571101,1.0,5.539037381640257,AlexNet,D,Untrained,PyTorch
features.9,1.3840540252696467,1.0,6.331631053218419,AlexNet,D,Untrained,PyTorch
features.11,1.384040984293372,1.0,6.324786608701239,AlexNet,D,Untrained,PyTorch
layers.8.0.layers.5,0.999999960558396,1.0,4.314971200514839,MNASNet13,D,Untrained,PyTorch
layers.8.1.layers.5,0.9999999946432301,1.0,4.035614325828991,MNASNet13,D,Untrained,PyTorch
layers.8.2.layers.5,1.0000000296761997,1.0,4.0356142592405675,MNASNet13,D,Untrained,PyTorch
layers.9.0.layers.5,1.000000033934799,1.0,4.035614425711629,MNASNet13,D,Untrained,PyTorch
layers.9.1.layers.5,1.0000000209275854,1.0,2.9655073432280807,MNASNet13,D,Untrained,PyTorch
layers.9.2.layers.5,0.999999967706795,1.0,2.9655074777895702,MNASNet13,D,Untrained,PyTorch
layers.10.0.layers.5,0.9999999709040909,1.0,2.589370308301142,MNASNet13,D,Untrained,PyTorch
layers.10.1.layers.5,0.9999999905717879,1.0,2.3327548299433665,MNASNet13,D,Untrained,PyTorch
layers.10.2.layers.5,1.0000000208364679,1.0,2.332754791452455,MNASNet13,D,Untrained,PyTorch
layers.11.0.layers.5,0.9999999650431013,1.0,2.332754752961545,MNASNet13,D,Untrained,PyTorch
