layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.7911206897669643,7.0,1.3518068309962172,ResNet18,Kai_Uni,Untrained,PyTorch
layer1.1.relu,2.3145018546113336,6.0,1.306512685501291,ResNet18,Kai_Uni,Untrained,PyTorch
layer2.0.relu,2.460617487954546,11.0,1.3552741186571178,ResNet18,Kai_Uni,Untrained,PyTorch
layer2.1.relu,2.3175969913595726,9.0,1.2630273330445714,ResNet18,Kai_Uni,Untrained,PyTorch
layer3.0.relu,2.7749294893104572,21.0,1.6296567050931507,ResNet18,Kai_Uni,Untrained,PyTorch
layer3.1.relu,2.5121101929668193,13.0,1.2268920140691038,ResNet18,Kai_Uni,Untrained,PyTorch
layer4.0.relu,2.9272489247092017,51.0,1.708275751193873,ResNet18,Kai_Uni,Untrained,PyTorch
layer4.1.relu,2.401109559999734,29.0,1.1553822480114386,ResNet18,Kai_Uni,Untrained,PyTorch
layer1.0.relu,2.8126312241537517,10.0,1.410207823943362,ResNet50,Kai-Uni,Untrained,PyTorch
layer1.1.relu,2.591061358440167,10.0,1.7186973822363398,ResNet50,Kai-Uni,Untrained,PyTorch
layer1.2.relu,2.271118575346175,6.0,1.4169928753229157,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.0.relu,2.3495744922308726,8.0,1.821114757321891,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.1.relu,1.9575618759713496,3.0,1.859607521341256,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.2.relu,1.7135847508427937,2.0,1.493713554813732,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.3.relu,1.584041125394129,2.0,1.4927754127588289,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.0.relu,1.6702153689807735,2.0,1.7534387584837072,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.1.relu,1.6432493823812075,2.0,1.7325829254799363,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.2.relu,1.6058574664153467,2.0,1.6053577752799804,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.3.relu,1.5940954133832381,2.0,1.838530045630147,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.4.relu,1.538116370826382,1.0,1.873955369324878,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.5.relu,1.5365159557509716,1.0,1.7916286081788992,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.0.relu,1.5952793439048785,2.0,1.6416990840050407,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.1.relu,1.564077707373762,2.0,1.7597208181587078,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.2.relu,1.508956702901397,1.0,1.764156087061867,ResNet50,Kai-Uni,Untrained,PyTorch
features.1,3.350987841854236,7.0,1.397211002809818,AlexNet,Kai_Uni,Untrained,PyTorch
features.4,3.472561031177221,16.0,1.2523747147832276,AlexNet,Kai_Uni,Untrained,PyTorch
features.7,3.706996558484806,21.0,1.3086160171014878,AlexNet,Kai_Uni,Untrained,PyTorch
features.9,3.4508429047429963,25.0,1.236184596707055,AlexNet,Kai_Uni,Untrained,PyTorch
features.11,3.223010447425207,29.0,1.2008833384226316,AlexNet,Kai_Uni,Untrained,PyTorch
layers.8.0.layers.5,5.137980200695005,9.0,1.4987112870035977,MNASNet13,Kai_Uni,Untrained,PyTorch
