layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,27.149310020772205,224.0,1.029562886214425,ResNet18,Kai_Uni,Untrained,PyTorch
layer1.1.relu,27.21039067719906,233.0,1.0177629336727914,ResNet18,Kai_Uni,Untrained,PyTorch
layer2.0.relu,22.877552852724218,200.0,1.0473649293790308,ResNet18,Kai_Uni,Untrained,PyTorch
layer2.1.relu,18.423270215308634,191.0,1.0496328620799238,ResNet18,Kai_Uni,Untrained,PyTorch
layer3.0.relu,14.641349667168718,165.0,1.0783154642109536,ResNet18,Kai_Uni,Untrained,PyTorch
layer3.1.relu,12.054348024298424,157.0,1.0886233272072765,ResNet18,Kai_Uni,Untrained,PyTorch
layer4.0.relu,12.178291887328648,185.0,1.0626632691104072,ResNet18,Kai_Uni,Untrained,PyTorch
layer4.1.relu,10.054856777070729,178.0,1.06764351285374,ResNet18,Kai_Uni,Untrained,PyTorch
layer1.0.relu,25.34625425011444,210.0,1.0387837415199346,ResNet50,Kai-Uni,Untrained,PyTorch
layer1.1.relu,25.924756745225782,214.0,1.0391869871080872,ResNet50,Kai-Uni,Untrained,PyTorch
layer1.2.relu,18.310334842260843,135.0,1.1100219132057012,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.0.relu,15.416403979853666,112.0,1.1322992868460569,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.1.relu,11.336979332524692,68.0,1.1979782224635707,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.2.relu,9.98487298599136,46.0,1.2562208129935424,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.3.relu,8.228762446039438,36.0,1.278448266615559,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.0.relu,8.101806120401278,40.0,1.2580064500859363,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.1.relu,7.31497113782357,35.0,1.2652330376802914,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.2.relu,6.516315518554207,31.0,1.273083543868063,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.3.relu,5.86284860435346,26.0,1.2848244170165253,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.4.relu,5.244215510452837,18.0,1.312422944570353,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.5.relu,4.720235368090164,16.0,1.3174960337659254,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.0.relu,4.721553399500711,15.0,1.3160148684966853,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.1.relu,4.185799080293554,12.0,1.3341677623746324,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.2.relu,3.286872084633139,8.0,1.3423145508692158,ResNet50,Kai-Uni,Untrained,PyTorch
features.1,22.122348579846964,225.0,1.0314342100362732,AlexNet,Kai_Uni,Untrained,PyTorch
features.4,25.980853102967437,202.0,1.0402502011175745,AlexNet,Kai_Uni,Untrained,PyTorch
features.7,20.59715039212983,108.0,1.1384001127476846,AlexNet,Kai_Uni,Untrained,PyTorch
features.9,24.711578537412926,168.0,1.072920497538379,AlexNet,Kai_Uni,Untrained,PyTorch
features.11,24.096933561470316,191.0,1.0550636923639578,AlexNet,Kai_Uni,Untrained,PyTorch
layers.8.0.layers.5,21.591987456079508,178.0,1.0766429149777264,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.8.1.layers.5,24.81475092513824,222.0,1.038013750344724,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.8.2.layers.5,20.72585179822197,143.0,1.1079747256816723,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.9.0.layers.5,21.191683680026173,214.0,1.0405628783096401,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.9.1.layers.5,11.613004442155955,99.0,1.1528477379256814,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.9.2.layers.5,23.890929460947063,304.0,0.9736714151548553,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.10.0.layers.5,19.758380600637597,235.0,1.0236105788344283,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.10.1.layers.5,18.663295710664684,286.0,0.9893353289597931,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.10.2.layers.5,21.806423875581817,294.0,0.9830801837220856,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.11.0.layers.5,21.579007549102574,286.0,0.9943345448587045,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.11.1.layers.5,15.310990410135233,266.0,1.0146265280371873,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.12.0.layers.5,18.75279103988962,271.0,1.0059319445300756,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.12.1.layers.5,10.778172817823606,244.0,1.018190531588011,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.12.2.layers.5,11.024922250951562,243.0,1.0227017942263,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.12.3.layers.5,11.684389689090185,238.0,1.0339450430929678,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.13.0.layers.5,12.140592279659899,232.0,1.0350070123968238,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.16,10.018385659780847,221.0,1.0444396518855767,MNASNet13,Kai_Uni,Untrained,PyTorch
trunk_output.block1.block1-0.activation,17.017612977906836,197.0,1.056861880671165,RegNet_400mf,Kai_Uni,Untrained,PyTorch
trunk_output.block2.block2-0.activation,16.929734191322524,192.0,1.0562939004884278,RegNet_400mf,Kai_Uni,Untrained,PyTorch
trunk_output.block2.block2-1.activation,13.236531075609966,157.0,1.0862278502586302,RegNet_400mf,Kai_Uni,Untrained,PyTorch
trunk_output.block3.block3-0.activation,13.350344163788074,150.0,1.0951698612890552,RegNet_400mf,Kai_Uni,Untrained,PyTorch
trunk_output.block3.block3-1.activation,12.24306100452638,140.0,1.1060703211528902,RegNet_400mf,Kai_Uni,Untrained,PyTorch
