layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.4555089372117216,4.0,1.4397969035738962,ResNet18,N_test,Untrained,PyTorch
layer1.1.relu,2.475519278524047,5.0,1.419760457139589,ResNet18,N_test,Untrained,PyTorch
layer2.0.relu,2.4677475934577062,7.0,1.3403790531104232,ResNet18,N_test,Untrained,PyTorch
layer2.1.relu,2.0115035426759014,4.0,1.3199907060200904,ResNet18,N_test,Untrained,PyTorch
layer3.0.relu,2.292224023374365,8.0,1.4234262357353082,ResNet18,N_test,Untrained,PyTorch
layer3.1.relu,2.0697158094859285,5.0,1.272641286926014,ResNet18,N_test,Untrained,PyTorch
layer4.0.relu,2.368428658162209,19.0,1.3698971251087069,ResNet18,N_test,Untrained,PyTorch
layer4.1.relu,2.0496915711888457,11.0,1.256793663383146,ResNet18,N_test,Untrained,PyTorch
layer1.0.relu,2.9294490084385676,8.0,1.540782417164524,ResNet50,N_test,Untrained,PyTorch
layer1.1.relu,2.836272966207791,7.0,1.4212670579141928,ResNet50,N_test,Untrained,PyTorch
layer1.2.relu,2.7913070571321725,7.0,1.4278575125868624,ResNet50,N_test,Untrained,PyTorch
layer2.0.relu,2.969533527506464,14.0,1.874956527184585,ResNet50,N_test,Untrained,PyTorch
layer2.1.relu,2.8925924334647237,14.0,1.314996346156881,ResNet50,N_test,Untrained,PyTorch
layer2.2.relu,2.6816501876268175,13.0,1.273385938586105,ResNet50,N_test,Untrained,PyTorch
layer2.3.relu,2.5811124866719974,11.0,1.340820951731114,ResNet50,N_test,Untrained,PyTorch
layer3.0.relu,3.034644840695769,34.0,1.7176221538828618,ResNet50,N_test,Untrained,PyTorch
layer3.1.relu,2.6506389523097806,19.0,1.3126219983599658,ResNet50,N_test,Untrained,PyTorch
layer3.2.relu,2.201065734416096,8.0,1.8006608182155206,ResNet50,N_test,Untrained,PyTorch
layer3.3.relu,1.9706472945677707,4.0,1.375791263315157,ResNet50,N_test,Untrained,PyTorch
layer3.4.relu,1.899791961790659,4.0,1.351652913000135,ResNet50,N_test,Untrained,PyTorch
layer3.5.relu,1.7780401109119988,3.0,1.8391349956170542,ResNet50,N_test,Untrained,PyTorch
layer4.0.relu,1.757937849826663,3.0,1.5607239678458398,ResNet50,N_test,Untrained,PyTorch
layer4.1.relu,1.7249032663944004,3.0,1.7041900269874857,ResNet50,N_test,Untrained,PyTorch
layer4.2.relu,1.6204029467283667,2.0,1.7291858346496847,ResNet50,N_test,Untrained,PyTorch
features.1,3.5403106202968924,6.0,1.4542379745336642,AlexNet,N_test,Untrained,PyTorch
features.4,3.6968486802108047,15.0,1.348005738998704,AlexNet,N_test,Untrained,PyTorch
features.7,4.100889655647571,25.0,1.3607163950253247,AlexNet,N_test,Untrained,PyTorch
features.9,3.707579256427599,22.0,1.3562424476925672,AlexNet,N_test,Untrained,PyTorch
features.11,3.0642641155667083,16.0,1.2821160295311114,AlexNet,N_test,Untrained,PyTorch
layers.8.0.layers.5,4.5459857609838865,7.0,1.58351967087585,MNASNet13,N_test,Untrained,PyTorch
layers.8.1.layers.5,4.577259915824258,11.0,1.5267792115086747,MNASNet13,N_test,Untrained,PyTorch
layers.8.2.layers.5,4.015089412552925,6.0,1.6687844017852758,MNASNet13,N_test,Untrained,PyTorch
layers.9.0.layers.5,3.990840234260997,6.0,1.6302056772321225,MNASNet13,N_test,Untrained,PyTorch
layers.9.1.layers.5,3.2262615573173776,7.0,1.5580153393825544,MNASNet13,N_test,Untrained,PyTorch
layers.9.2.layers.5,2.867460136645446,8.0,1.520423129291172,MNASNet13,N_test,Untrained,PyTorch
layers.10.0.layers.5,4.403265828090861,17.0,1.4805759938579772,MNASNet13,N_test,Untrained,PyTorch
layers.10.1.layers.5,4.391401856668353,30.0,1.30015418786494,MNASNet13,N_test,Untrained,PyTorch
layers.10.2.layers.5,4.071206852689497,22.0,1.3483321237497354,MNASNet13,N_test,Untrained,PyTorch
layers.11.0.layers.5,4.223761483033844,26.0,1.3564953107358309,MNASNet13,N_test,Untrained,PyTorch
layers.11.1.layers.5,3.915363500582458,24.0,1.6981307160132368,MNASNet13,N_test,Untrained,PyTorch
layers.12.0.layers.5,4.584272230724985,39.0,1.3564856394797875,MNASNet13,N_test,Untrained,PyTorch
layers.12.1.layers.5,3.9422143630859616,41.0,1.411144617444642,MNASNet13,N_test,Untrained,PyTorch
