layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,13.594186714610585,114.0,1.1340442655279852,ResNet18,N,Untrained,PyTorch
layer1.1.relu,15.210236736226108,106.0,1.1431847768568921,ResNet18,N,Untrained,PyTorch
layer2.0.relu,15.959953211376348,111.0,1.1393841557208813,ResNet18,N,Untrained,PyTorch
layer2.1.relu,14.50822452694474,113.0,1.135002237607269,ResNet18,N,Untrained,PyTorch
layer3.0.relu,16.257869514699983,144.0,1.1098134650105003,ResNet18,N,Untrained,PyTorch
layer3.1.relu,13.781030725987918,151.0,1.1147107505618101,ResNet18,N,Untrained,PyTorch
layer4.0.relu,10.988941468705413,159.0,1.1053632596022789,ResNet18,N,Untrained,PyTorch
layer4.1.relu,9.267327118342823,167.0,1.095074633183587,ResNet18,N,Untrained,PyTorch
layer1.0.relu,23.709749391743756,187.0,1.0559925787839304,ResNet50,N,Untrained,PyTorch
layer1.1.relu,23.251762460349386,182.0,1.061559198665493,ResNet50,N,Untrained,PyTorch
layer1.2.relu,23.188876332624982,180.0,1.0645843753068396,ResNet50,N,Untrained,PyTorch
layer2.0.relu,20.781784909097475,181.0,1.0649131474725753,ResNet50,N,Untrained,PyTorch
layer2.1.relu,20.679114992968337,176.0,1.0707943782431975,ResNet50,N,Untrained,PyTorch
layer2.2.relu,18.017822780518504,155.0,1.0900137875198592,ResNet50,N,Untrained,PyTorch
layer2.3.relu,17.01686080484693,141.0,1.1046776088959143,ResNet50,N,Untrained,PyTorch
layer3.0.relu,18.024856854394617,156.0,1.0930504453166474,ResNet50,N,Untrained,PyTorch
layer3.1.relu,13.166806907447912,127.0,1.1243083811954686,ResNet50,N,Untrained,PyTorch
layer3.2.relu,8.897674600292515,82.0,1.1719954485115538,ResNet50,N,Untrained,PyTorch
layer3.3.relu,7.03006922040169,57.0,1.2065284547694117,ResNet50,N,Untrained,PyTorch
layer3.4.relu,6.81092198661,65.0,1.1922790947749373,ResNet50,N,Untrained,PyTorch
layer3.5.relu,5.659571050900135,44.0,1.2196526039912583,ResNet50,N,Untrained,PyTorch
layer4.0.relu,4.792463777619022,25.0,1.2574759117849814,ResNet50,N,Untrained,PyTorch
layer4.1.relu,4.154280340707891,21.0,1.2609714074557494,ResNet50,N,Untrained,PyTorch
layer4.2.relu,3.561889150572588,17.0,1.2601207087346917,ResNet50,N,Untrained,PyTorch
features.1,17.700277796014976,160.0,1.0843298919751423,AlexNet,N,Untrained,PyTorch
features.4,26.639392418721975,184.0,1.057340549507704,AlexNet,N,Untrained,PyTorch
features.7,24.237128073755468,120.0,1.1287325990185157,AlexNet,N,Untrained,PyTorch
features.9,24.283902157112347,141.0,1.110805206395365,AlexNet,N,Untrained,PyTorch
features.11,17.94076740587945,135.0,1.1215151143275253,AlexNet,N,Untrained,PyTorch
layers.8.0.layers.5,14.392280780058137,115.0,1.1333295980461136,MNASNet13,N,Untrained,PyTorch
layers.8.1.layers.5,16.247013408895633,156.0,1.088658664284347,MNASNet13,N,Untrained,PyTorch
layers.8.2.layers.5,13.112744526928168,99.0,1.1517548167163683,MNASNet13,N,Untrained,PyTorch
layers.9.0.layers.5,13.434476490077031,94.0,1.1636218796461395,MNASNet13,N,Untrained,PyTorch
layers.9.1.layers.5,18.101196838417035,145.0,1.0950381730310643,MNASNet13,N,Untrained,PyTorch
layers.9.2.layers.5,15.576949821295832,152.0,1.0883967705942696,MNASNet13,N,Untrained,PyTorch
layers.10.0.layers.5,22.6220709608108,189.0,1.067154596144503,MNASNet13,N,Untrained,PyTorch
layers.10.1.layers.5,28.126477048377446,270.0,1.0041774371060717,MNASNet13,N,Untrained,PyTorch
layers.10.2.layers.5,26.568545823189083,246.0,1.0223247852857307,MNASNet13,N,Untrained,PyTorch
layers.11.0.layers.5,22.17200185794461,221.0,1.0491432424972165,MNASNet13,N,Untrained,PyTorch
layers.11.1.layers.5,18.988351329030017,221.0,1.0604919964793764,MNASNet13,N,Untrained,PyTorch
layers.12.0.layers.5,18.360444384338617,221.0,1.063401216455521,MNASNet13,N,Untrained,PyTorch
layers.12.1.layers.5,14.384969290780006,222.0,1.065207788783793,MNASNet13,N,Untrained,PyTorch
layers.12.2.layers.5,14.929961680896675,233.0,1.0564416129806935,MNASNet13,N,Untrained,PyTorch
layers.12.3.layers.5,14.517877596160952,238.0,1.0507297337610748,MNASNet13,N,Untrained,PyTorch
layers.13.0.layers.5,16.25575355674316,227.0,1.0597685391990768,MNASNet13,N,Untrained,PyTorch
layers.16,13.242514782468408,230.0,1.0544516896399112,MNASNet13,N,Untrained,PyTorch
trunk_output.block1.block1-0.activation,17.121350567070753,170.0,1.074671302060972,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block2.block2-0.activation,20.305153566681625,162.0,1.0909652266409688,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block2.block2-1.activation,20.08165518298742,159.0,1.0935271007392844,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-0.activation,19.620265668564638,112.0,1.164125399026479,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-1.activation,19.333964853612567,111.0,1.1660772539435333,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-2.activation,18.87871295024934,109.0,1.1700837777120259,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-3.activation,18.557746509574727,108.0,1.171911972998944,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-4.activation,18.062504360425116,106.0,1.174232185183972,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-5.activation,18.05231980312602,106.0,1.1744004503289691,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-6.activation,18.09008588555313,106.0,1.1734955532000875,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-0.activation,15.057555772146001,47.0,1.2999777085677426,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-1.activation,14.24471011205265,46.0,1.3058240461277837,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-2.activation,13.407468001913303,44.0,1.308142164773819,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-3.activation,13.14805865233471,43.0,1.3103072487829293,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-4.activation,12.974113844655347,43.0,1.3110818327565312,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-5.activation,12.809888618693332,43.0,1.3061428374689366,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-6.activation,12.757581662019419,43.0,1.3023898167826686,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-7.activation,12.164550702816486,43.0,1.2999353378365202,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-8.activation,11.713065518036045,42.0,1.2990170913711392,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-9.activation,10.784516587962306,41.0,1.3020222040134648,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-10.activation,10.539471336138464,40.0,1.3041332626007653,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-11.activation,9.850623546950393,40.0,1.303369320147544,RegNet_400mf,N,Untrained,PyTorch
layer1.0.relu,19.80549376424005,164.0,1.0781749594935168,ResNeXt50,N,Untrained,PyTorch
layer1.1.relu,19.849367917853623,164.0,1.0780920478672442,ResNeXt50,N,Untrained,PyTorch
layer1.2.relu,19.82745533261446,164.0,1.0780947729384558,ResNeXt50,N,Untrained,PyTorch
layer2.0.relu,20.28226055528603,171.0,1.0739462077448823,ResNeXt50,N,Untrained,PyTorch
layer2.1.relu,20.33726479557827,169.0,1.075622308554899,ResNeXt50,N,Untrained,PyTorch
layer2.2.relu,20.813227389520566,172.0,1.0736424121091084,ResNeXt50,N,Untrained,PyTorch
layer2.3.relu,20.985328239871574,173.0,1.0728003449516608,ResNeXt50,N,Untrained,PyTorch
layer3.0.relu,20.38953967024302,153.0,1.0923097481903836,ResNeXt50,N,Untrained,PyTorch
layer3.1.relu,20.3132099719054,152.0,1.0927868484279208,ResNeXt50,N,Untrained,PyTorch
layer3.2.relu,18.977544251711308,149.0,1.0965513032878453,ResNeXt50,N,Untrained,PyTorch
layer3.3.relu,17.419468284617004,143.0,1.1039635165823036,ResNeXt50,N,Untrained,PyTorch
layer3.4.relu,15.982222733332122,138.0,1.108707343323642,ResNeXt50,N,Untrained,PyTorch
layer3.5.relu,14.947533608818295,132.0,1.1132161918128212,ResNeXt50,N,Untrained,PyTorch
layer4.0.relu,13.495169836494409,120.0,1.1280025014934532,ResNeXt50,N,Untrained,PyTorch
layer4.1.relu,9.892978333756576,111.0,1.1430376908128836,ResNeXt50,N,Untrained,PyTorch
layer4.2.relu,8.040642178363838,114.0,1.1391791237176156,ResNeXt50,N,Untrained,PyTorch
