layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.64026727036464,5.0,1.4566128093671742,ResNet18,O,Untrained,PyTorch
layer1.1.relu,2.6235488355111087,6.0,1.4192782461112798,ResNet18,O,Untrained,PyTorch
layer2.0.relu,2.867567368409383,11.0,1.3471800207424625,ResNet18,O,Untrained,PyTorch
layer2.1.relu,2.5990384208579638,9.0,1.3304984268530713,ResNet18,O,Untrained,PyTorch
layer3.0.relu,2.6478212763820728,17.0,1.324542370798629,ResNet18,O,Untrained,PyTorch
layer3.1.relu,2.474409103033312,13.0,1.2383311081120418,ResNet18,O,Untrained,PyTorch
layer4.0.relu,2.6923945681162995,36.0,1.7568971785456995,ResNet18,O,Untrained,PyTorch
layer4.1.relu,2.4119740722971783,22.0,1.1949987704350682,ResNet18,O,Untrained,PyTorch
layer1.0.relu,3.3166457416951545,9.0,1.477880894457999,ResNet50,O,Untrained,PyTorch
layer1.1.relu,3.2337740828331873,9.0,1.3908760650564893,ResNet50,O,Untrained,PyTorch
layer1.2.relu,3.221085233086245,9.0,1.389529335891707,ResNet50,O,Untrained,PyTorch
layer2.0.relu,3.65125300922705,20.0,1.8318277118690323,ResNet50,O,Untrained,PyTorch
layer2.1.relu,3.556134046189638,19.0,1.3410214414120576,ResNet50,O,Untrained,PyTorch
layer2.2.relu,3.5346292501449517,19.0,1.3600811709301346,ResNet50,O,Untrained,PyTorch
layer2.3.relu,3.518552264511118,19.0,1.3095819553595391,ResNet50,O,Untrained,PyTorch
layer3.0.relu,4.27759954907665,47.0,1.7540028666769414,ResNet50,O,Untrained,PyTorch
layer3.1.relu,4.165988470376877,45.0,1.2742562630358347,ResNet50,O,Untrained,PyTorch
layer3.2.relu,4.062078077290727,43.0,1.2594506593353754,ResNet50,O,Untrained,PyTorch
layer3.3.relu,3.9868019718898084,42.0,1.3267806507709423,ResNet50,O,Untrained,PyTorch
layer3.4.relu,3.920762916291678,41.0,1.2641698345494687,ResNet50,O,Untrained,PyTorch
layer3.5.relu,3.8486592049944743,39.0,1.31758945082303,ResNet50,O,Untrained,PyTorch
layer4.0.relu,4.51341701298652,80.0,1.5386237854408225,ResNet50,O,Untrained,PyTorch
layer4.1.relu,4.301166451449893,73.0,1.605055115755667,ResNet50,O,Untrained,PyTorch
layer4.2.relu,4.166308940769523,69.0,1.2993357400693717,ResNet50,O,Untrained,PyTorch
features.1,3.426220828563142,7.0,1.4142942908543181,AlexNet,O,Untrained,PyTorch
features.4,3.572641314258903,14.0,1.2786544342833075,AlexNet,O,Untrained,PyTorch
features.7,3.978617999563994,24.0,1.358123149625799,AlexNet,O,Untrained,PyTorch
features.9,3.4429115978199536,21.0,1.3803613888053063,AlexNet,O,Untrained,PyTorch
features.11,3.0858517750253034,23.0,1.2357639210048652,AlexNet,O,Untrained,PyTorch
layers.8.0.layers.5,3.997994375050692,7.0,1.7160113296341453,MNASNet13,O,Untrained,PyTorch
layers.8.1.layers.5,4.142605550111949,10.0,1.5973041937344374,MNASNet13,O,Untrained,PyTorch
layers.8.2.layers.5,4.206176566309589,9.0,1.6935220293183024,MNASNet13,O,Untrained,PyTorch
layers.9.0.layers.5,4.560788275881399,13.0,1.558610497358818,MNASNet13,O,Untrained,PyTorch
layers.9.1.layers.5,4.729649618741369,22.0,1.2946366105714908,MNASNet13,O,Untrained,PyTorch
layers.9.2.layers.5,4.830159565356666,20.0,1.33281030444094,MNASNet13,O,Untrained,PyTorch
layers.10.0.layers.5,4.868437176640195,39.0,1.291815788382148,MNASNet13,O,Untrained,PyTorch
layers.10.1.layers.5,4.201989207207083,52.0,1.3728247282263166,MNASNet13,O,Untrained,PyTorch
layers.10.2.layers.5,4.204568804802042,59.0,1.2861417662673085,MNASNet13,O,Untrained,PyTorch
layers.11.0.layers.5,5.08199827208661,78.0,1.3410552840289052,MNASNet13,O,Untrained,PyTorch
layers.11.1.layers.5,4.370381394579811,81.0,1.6489683539930233,MNASNet13,O,Untrained,PyTorch
layers.12.0.layers.5,5.160841301935253,115.0,1.2997147649084784,MNASNet13,O,Untrained,PyTorch
layers.12.1.layers.5,3.9851270039335245,148.0,1.63257914439413,MNASNet13,O,Untrained,PyTorch
layers.12.2.layers.5,3.971230064551425,148.0,1.413426702165123,MNASNet13,O,Untrained,PyTorch
layers.12.3.layers.5,4.195470485041751,168.0,1.2653242138350569,MNASNet13,O,Untrained,PyTorch
layers.13.0.layers.5,4.36318930383449,162.0,1.610601717611246,MNASNet13,O,Untrained,PyTorch
layers.16,3.0644157335173334,161.0,1.205116620856397,MNASNet13,O,Untrained,PyTorch
trunk_output.block1.block1-0.activation,3.376068649367697,5.0,1.5223718161755129,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block2.block2-0.activation,3.0003570459832547,9.0,1.3457958472539904,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block2.block2-1.activation,2.8932018405645263,8.0,1.4148303663215298,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-0.activation,2.6853056877924604,11.0,1.437739238355314,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-1.activation,2.5826310849822924,9.0,1.3152265394722071,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-2.activation,2.41476774320957,7.0,1.3241363913260078,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-3.activation,2.3007761065079326,6.0,1.323620296521368,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-4.activation,2.2309933283147068,6.0,1.3934062905926388,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-5.activation,2.1032979148509163,5.0,1.3241549352445368,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-6.activation,2.045993563748776,5.0,1.3809375982431198,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-0.activation,2.0944172420903566,6.0,1.8577826563024278,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-1.activation,2.009790682156399,5.0,1.409184602921035,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-2.activation,1.9596844107984874,4.0,1.4377568753606396,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-3.activation,1.9097796895754773,4.0,1.3293700484150681,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-4.activation,1.8792961993512438,4.0,1.4748918990697886,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-5.activation,1.8486037625658047,4.0,1.3786263993864898,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-6.activation,1.8145272474998166,3.0,1.3454259362058552,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-7.activation,1.803644685235698,3.0,1.5049510512425868,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-8.activation,1.7706854528061846,3.0,1.3512767566215098,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-9.activation,1.7326941472017023,3.0,1.3659349376409602,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-10.activation,1.710080851244915,2.0,1.4751851810953986,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-11.activation,1.703760637846747,2.0,1.4066325650384326,RegNet_400mf,O,Untrained,PyTorch
layer1.0.relu,2.7452976676354766,7.0,1.456308818497961,ResNeXt50,O,Untrained,PyTorch
layer1.1.relu,2.688381023748795,7.0,1.416553844946984,ResNeXt50,O,Untrained,PyTorch
layer1.2.relu,2.691005828261711,7.0,1.4013921564805192,ResNeXt50,O,Untrained,PyTorch
layer2.0.relu,2.875160113095789,13.0,1.8848053210149103,ResNeXt50,O,Untrained,PyTorch
layer2.1.relu,2.832505035507262,13.0,1.3273186412731368,ResNeXt50,O,Untrained,PyTorch
layer2.2.relu,2.814629098594847,13.0,1.341150609450105,ResNeXt50,O,Untrained,PyTorch
layer2.3.relu,2.7923544214761415,13.0,1.3498536978727909,ResNeXt50,O,Untrained,PyTorch
layer3.0.relu,2.946141456732502,24.0,1.805230917225024,ResNeXt50,O,Untrained,PyTorch
layer3.1.relu,2.8817785942773995,23.0,1.2812843330200714,ResNeXt50,O,Untrained,PyTorch
layer3.2.relu,2.836838685108496,22.0,1.3828571187015088,ResNeXt50,O,Untrained,PyTorch
layer3.3.relu,2.799437939870312,21.0,1.2522645808419868,ResNeXt50,O,Untrained,PyTorch
layer3.4.relu,2.7762710831110677,21.0,1.2643484165856536,ResNeXt50,O,Untrained,PyTorch
layer3.5.relu,2.7575115570793427,21.0,1.2670196416443602,ResNeXt50,O,Untrained,PyTorch
layer4.0.relu,3.009960493211766,35.0,1.5375614002711657,ResNeXt50,O,Untrained,PyTorch
layer4.1.relu,2.9165389137353355,32.0,1.3338361856492194,ResNeXt50,O,Untrained,PyTorch
layer4.2.relu,2.8513762607438866,31.0,1.3303168367532565,ResNeXt50,O,Untrained,PyTorch
