layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,16.05960846346083,137.0,1.1064734932349385,ResNet18,O,Untrained,PyTorch
layer1.1.relu,19.249576025906347,151.0,1.0880445610996672,ResNet18,O,Untrained,PyTorch
layer2.0.relu,18.50659039551452,152.0,1.0898322237165519,ResNet18,O,Untrained,PyTorch
layer2.1.relu,16.916201652848144,145.0,1.0985143202231953,ResNet18,O,Untrained,PyTorch
layer3.0.relu,15.452514618358439,167.0,1.0849786963422579,ResNet18,O,Untrained,PyTorch
layer3.1.relu,14.770234647719379,162.0,1.0949650774925541,ResNet18,O,Untrained,PyTorch
layer4.0.relu,12.961236983467092,173.0,1.0916607570277215,ResNet18,O,Untrained,PyTorch
layer4.1.relu,11.000581882867477,161.0,1.1037161102662383,ResNet18,O,Untrained,PyTorch
layer1.0.relu,20.060837580499346,173.0,1.0722271325770543,ResNet50,O,Untrained,PyTorch
layer1.1.relu,20.665139073511636,172.0,1.0755265561866996,ResNet50,O,Untrained,PyTorch
layer1.2.relu,20.86558773816874,172.0,1.0747702496561815,ResNet50,O,Untrained,PyTorch
layer2.0.relu,23.865633041274183,188.0,1.0609205232497567,ResNet50,O,Untrained,PyTorch
layer2.1.relu,23.61695636681106,182.0,1.068313558599135,ResNet50,O,Untrained,PyTorch
layer2.2.relu,23.715943260673043,182.0,1.068729196200692,ResNet50,O,Untrained,PyTorch
layer2.3.relu,23.82070358653482,182.0,1.068501356315042,ResNet50,O,Untrained,PyTorch
layer3.0.relu,20.951907508077994,159.0,1.0878143891279826,ResNet50,O,Untrained,PyTorch
layer3.1.relu,20.01864134850071,154.0,1.0923266457155745,ResNet50,O,Untrained,PyTorch
layer3.2.relu,19.598999756645767,151.0,1.0953936201096677,ResNet50,O,Untrained,PyTorch
layer3.3.relu,18.49218574812821,148.0,1.0976721759946686,ResNet50,O,Untrained,PyTorch
layer3.4.relu,17.74196544439041,143.0,1.101839487334433,ResNet50,O,Untrained,PyTorch
layer3.5.relu,16.90044582093233,139.0,1.1060607611483946,ResNet50,O,Untrained,PyTorch
layer4.0.relu,15.694628635517121,92.0,1.149299798700818,ResNet50,O,Untrained,PyTorch
layer4.1.relu,14.987755163235688,88.0,1.1548896205064576,ResNet50,O,Untrained,PyTorch
layer4.2.relu,14.340395272055448,85.0,1.1590825081176357,ResNet50,O,Untrained,PyTorch
features.1,20.869809172396867,194.0,1.0543273747834414,AlexNet,O,Untrained,PyTorch
features.4,22.86142456159929,168.0,1.0720192406407716,AlexNet,O,Untrained,PyTorch
features.7,21.583728181884776,123.0,1.1218719515746316,AlexNet,O,Untrained,PyTorch
features.9,23.426753889266156,158.0,1.09182269088173,AlexNet,O,Untrained,PyTorch
features.11,20.37117895222181,173.0,1.0759428788159373,AlexNet,O,Untrained,PyTorch
layers.8.0.layers.5,23.717301975741673,265.0,1.0114557161106634,MNASNet13,O,Untrained,PyTorch
layers.8.1.layers.5,32.25087550230527,332.0,0.9550422284357919,MNASNet13,O,Untrained,PyTorch
layers.8.2.layers.5,20.23341777025427,216.0,1.0473597391197829,MNASNet13,O,Untrained,PyTorch
layers.9.0.layers.5,29.881000981687286,292.0,0.9856049080662866,MNASNet13,O,Untrained,PyTorch
layers.9.1.layers.5,23.572270676067905,321.0,0.9638401273474201,MNASNet13,O,Untrained,PyTorch
layers.9.2.layers.5,34.031560849247626,343.0,0.94190920967435,MNASNet13,O,Untrained,PyTorch
layers.10.0.layers.5,26.949177645288124,298.0,0.9804766174134609,MNASNet13,O,Untrained,PyTorch
layers.10.1.layers.5,25.463056238275,315.0,0.9739129850996149,MNASNet13,O,Untrained,PyTorch
layers.10.2.layers.5,24.969592179528245,328.0,0.956519576780301,MNASNet13,O,Untrained,PyTorch
layers.11.0.layers.5,33.519672836057524,351.0,0.9292444466893285,MNASNet13,O,Untrained,PyTorch
layers.11.1.layers.5,25.780244406230334,359.0,0.929208748303809,MNASNet13,O,Untrained,PyTorch
layers.12.0.layers.5,23.777963990051976,343.0,0.9370648363691021,MNASNet13,O,Untrained,PyTorch
layers.12.1.layers.5,18.070665330232327,335.0,0.9441138668824405,MNASNet13,O,Untrained,PyTorch
layers.12.2.layers.5,16.950335287579925,333.0,0.9410208002856277,MNASNet13,O,Untrained,PyTorch
layers.12.3.layers.5,23.416604540635966,354.0,0.9266703510704347,MNASNet13,O,Untrained,PyTorch
layers.13.0.layers.5,18.493904178176695,332.0,0.9483266704406276,MNASNet13,O,Untrained,PyTorch
layers.16,16.45403341539172,334.0,0.9474598527379701,MNASNet13,O,Untrained,PyTorch
trunk_output.block1.block1-0.activation,19.62734722468475,173.0,1.0789991500577814,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block2.block2-0.activation,16.854104643355328,175.0,1.0675351324550517,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block2.block2-1.activation,17.591729371294182,172.0,1.0708989016947779,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-0.activation,15.695232209343262,143.0,1.0980676907915572,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-1.activation,15.330548577469077,141.0,1.1011615601346791,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-2.activation,13.709905743858041,130.0,1.1144236787041257,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-3.activation,13.134418451049335,123.0,1.1219281194770183,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-4.activation,12.568077780355479,118.0,1.1300098464556463,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-5.activation,11.3261719100919,105.0,1.1458811181233999,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block3.block3-6.activation,10.482365369114321,94.0,1.1592494495875774,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-0.activation,8.761110637540364,63.0,1.2072065927197784,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-1.activation,7.9784467077986,56.0,1.2205153875135901,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-2.activation,7.985781289516457,55.0,1.2220836909312134,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-3.activation,7.396192521081952,50.0,1.2305188699262353,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-4.activation,7.116365586182556,46.0,1.2397402861296114,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-5.activation,6.899413607290616,44.0,1.2459066767257163,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-6.activation,6.750968476024954,42.0,1.2499021281768932,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-7.activation,6.588883018090671,42.0,1.24937938417737,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-8.activation,6.436162535515875,41.0,1.250718839705092,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-9.activation,6.055490469496273,37.0,1.2596570048298248,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-10.activation,5.9272176122072,35.0,1.263872263336167,RegNet_400mf,O,Untrained,PyTorch
trunk_output.block4.block4-11.activation,5.827021992035131,34.0,1.2655377241594938,RegNet_400mf,O,Untrained,PyTorch
layer1.0.relu,20.33534564489405,180.0,1.0638747590943007,ResNeXt50,O,Untrained,PyTorch
layer1.1.relu,19.937904013772073,176.0,1.0675484361076537,ResNeXt50,O,Untrained,PyTorch
layer1.2.relu,20.077823637791845,176.0,1.067974627283221,ResNeXt50,O,Untrained,PyTorch
layer2.0.relu,20.034785213724504,188.0,1.0561232125762965,ResNeXt50,O,Untrained,PyTorch
layer2.1.relu,19.52501870422445,185.0,1.0590772612242987,ResNeXt50,O,Untrained,PyTorch
layer2.2.relu,19.523018195195128,185.0,1.0585761232499769,ResNeXt50,O,Untrained,PyTorch
layer2.3.relu,19.141620668136753,183.0,1.0616879481702608,ResNeXt50,O,Untrained,PyTorch
layer3.0.relu,17.01019185490646,149.0,1.0854844668194945,ResNeXt50,O,Untrained,PyTorch
layer3.1.relu,16.450505196852912,145.0,1.0911287415484776,ResNeXt50,O,Untrained,PyTorch
layer3.2.relu,16.107359564924714,141.0,1.0958261506304456,ResNeXt50,O,Untrained,PyTorch
layer3.3.relu,15.776085155778084,138.0,1.0989769806039096,ResNeXt50,O,Untrained,PyTorch
layer3.4.relu,15.739322837286013,138.0,1.099448259973719,ResNeXt50,O,Untrained,PyTorch
layer3.5.relu,15.473432735101584,136.0,1.100880203137865,ResNeXt50,O,Untrained,PyTorch
layer4.0.relu,14.22777781884853,79.0,1.163884850467018,ResNeXt50,O,Untrained,PyTorch
layer4.1.relu,13.792534466569666,76.0,1.169938891927128,ResNeXt50,O,Untrained,PyTorch
layer4.2.relu,13.467368305907371,73.0,1.1755311938557753,ResNeXt50,O,Untrained,PyTorch
