layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.7947093964570886,7.0,1.355972698104212,ResNet18,U_test,Untrained,PyTorch
layer1.1.relu,2.33717211870965,6.0,1.3095145540014885,ResNet18,U_test,Untrained,PyTorch
layer2.0.relu,2.711920816911455,14.0,1.3305065370281584,ResNet18,U_test,Untrained,PyTorch
layer2.1.relu,2.4221860834136995,11.0,1.240597212136861,ResNet18,U_test,Untrained,PyTorch
layer3.0.relu,2.6176711915455586,24.0,1.27192388048338,ResNet18,U_test,Untrained,PyTorch
layer3.1.relu,2.3132267869709597,17.0,1.2410968554862527,ResNet18,U_test,Untrained,PyTorch
layer4.0.relu,2.378957131771371,42.0,1.1772201538999734,ResNet18,U_test,Untrained,PyTorch
layer4.1.relu,2.0695625679225658,27.0,1.260872134092951,ResNet18,U_test,Untrained,PyTorch
layer1.0.relu,2.915010979617,9.0,1.4328843042568389,ResNet50,U_test,Untrained,PyTorch
layer1.1.relu,2.903215730241802,9.0,1.394090942427727,ResNet50,U_test,Untrained,PyTorch
layer1.2.relu,2.8715842303159445,9.0,1.3595240938936304,ResNet50,U_test,Untrained,PyTorch
layer2.0.relu,3.0039780244187417,19.0,1.865530421596211,ResNet50,U_test,Untrained,PyTorch
layer2.1.relu,2.97220704933542,23.0,1.3660212168409032,ResNet50,U_test,Untrained,PyTorch
layer2.2.relu,2.6238839108227285,18.0,1.3025998204420817,ResNet50,U_test,Untrained,PyTorch
layer2.3.relu,2.49710732957894,17.0,1.3464597631023487,ResNet50,U_test,Untrained,PyTorch
layer3.0.relu,2.8925474166140854,58.0,1.6576319553308165,ResNet50,U_test,Untrained,PyTorch
layer3.1.relu,2.2438689046549825,14.0,1.7445418505601231,ResNet50,U_test,Untrained,PyTorch
layer3.2.relu,2.0570396986910837,6.0,1.3222559617838858,ResNet50,U_test,Untrained,PyTorch
layer3.3.relu,1.818121391707245,4.0,1.7509018584002818,ResNet50,U_test,Untrained,PyTorch
layer3.4.relu,1.7553922186528546,3.0,1.7304943826430719,ResNet50,U_test,Untrained,PyTorch
layer3.5.relu,1.598037601720594,2.0,1.807624340264942,ResNet50,U_test,Untrained,PyTorch
layer4.0.relu,1.6872583507993564,3.0,1.5281906151604083,ResNet50,U_test,Untrained,PyTorch
layer4.1.relu,1.6488221063486694,2.0,1.751981931509027,ResNet50,U_test,Untrained,PyTorch
layer4.2.relu,1.5683658354908416,2.0,1.6770420527414782,ResNet50,U_test,Untrained,PyTorch
features.1,3.4065126057847257,7.0,1.4189978033915864,AlexNet,U_test,Untrained,PyTorch
features.4,3.484687412259241,15.0,1.2617388660800566,AlexNet,U_test,Untrained,PyTorch
features.7,3.7423013409011077,21.0,1.3288081852517124,AlexNet,U_test,Untrained,PyTorch
features.9,3.6389754470889226,20.0,1.3394738606950627,AlexNet,U_test,Untrained,PyTorch
features.11,3.5778963875431695,21.0,1.3088225693358193,AlexNet,U_test,Untrained,PyTorch
layers.8.0.layers.5,4.37194908372127,7.0,1.6297424760360506,MNASNet13,U_test,Untrained,PyTorch
layers.8.1.layers.5,4.047384502619896,9.0,2.2753568323356186,MNASNet13,U_test,Untrained,PyTorch
layers.8.2.layers.5,3.9171817642952735,9.0,1.5988742428104321,MNASNet13,U_test,Untrained,PyTorch
layers.9.0.layers.5,3.9258508470368723,10.0,1.5333665737589905,MNASNet13,U_test,Untrained,PyTorch
layers.9.1.layers.5,2.7933468264619874,6.0,1.4806921157382815,MNASNet13,U_test,Untrained,PyTorch
layers.9.2.layers.5,3.2935351104378046,7.0,1.5596092659249874,MNASNet13,U_test,Untrained,PyTorch
layers.10.0.layers.5,3.617941645477431,7.0,1.5058350129585587,MNASNet13,U_test,Untrained,PyTorch
layers.10.1.layers.5,3.0448260189521577,6.0,1.5144800145041548,MNASNet13,U_test,Untrained,PyTorch
layers.10.2.layers.5,3.6291402966307786,9.0,1.4845176421456758,MNASNet13,U_test,Untrained,PyTorch
layers.11.0.layers.5,2.9005311021475975,5.0,1.8902358675688067,MNASNet13,U_test,Untrained,PyTorch
layers.11.1.layers.5,2.708427689088105,5.0,1.9383911427116542,MNASNet13,U_test,Untrained,PyTorch
layers.12.0.layers.5,2.5814206088193052,5.0,1.771538716402293,MNASNet13,U_test,Untrained,PyTorch
layers.12.1.layers.5,2.218119463963603,4.0,1.8411097616282184,MNASNet13,U_test,Untrained,PyTorch
layers.12.2.layers.5,2.0647384387797674,3.0,1.6884887392012027,MNASNet13,U_test,Untrained,PyTorch
layers.12.3.layers.5,2.132108870878352,4.0,1.7505403639608952,MNASNet13,U_test,Untrained,PyTorch
layers.13.0.layers.5,2.269479947784018,5.0,1.7888220535582282,MNASNet13,U_test,Untrained,PyTorch
layers.16,1.8312495081277378,2.0,1.3988905711136759,MNASNet13,U_test,Untrained,PyTorch
trunk_output.block1.block1-0.activation,2.561608615450181,3.0,1.8815506478978083,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block2.block2-0.activation,2.630315230403234,4.0,1.626962256128306,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block2.block2-1.activation,2.605908895768275,4.0,1.6503702615088436,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block3.block3-0.activation,2.1433096160482723,4.0,1.575612373467504,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block3.block3-1.activation,2.0940250372294873,3.0,1.510570211967865,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block3.block3-2.activation,2.048003407601016,3.0,1.4943522337711541,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block3.block3-3.activation,2.028600823213063,3.0,1.4841917113807064,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block3.block3-4.activation,1.9811239608132183,3.0,1.4742808429718584,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block3.block3-5.activation,1.9178960138856296,3.0,1.4734234630928036,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block3.block3-6.activation,1.8937321809841796,3.0,1.4628102986640348,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-0.activation,2.1196726719600614,5.0,1.943309567446328,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-1.activation,2.0982135203167105,4.0,1.5149998248414838,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-2.activation,2.0760713402342366,4.0,1.4059317463803311,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-3.activation,1.9668148732508286,4.0,1.3411011432036195,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-4.activation,1.8916078343185996,3.0,1.3161533358787063,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-5.activation,1.837109568564984,3.0,1.5860890221522315,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-6.activation,1.8218582821134506,3.0,1.3281607284862365,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-7.activation,1.7798434407623134,3.0,1.3698380261701049,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-8.activation,1.7344357578114846,2.0,1.3271034922924658,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-9.activation,1.7092190722802822,2.0,1.330667733203304,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-10.activation,1.6814598802011493,2.0,1.3215356020412525,RegNet_400mf,U_test,Untrained,PyTorch
trunk_output.block4.block4-11.activation,1.6403622113320355,2.0,1.391268657527189,RegNet_400mf,U_test,Untrained,PyTorch
layer1.0.relu,2.8087002268776073,7.0,1.488566874358702,ResNeXt50,U_test,Untrained,PyTorch
layer1.1.relu,2.78519016008971,7.0,1.4332357626865129,ResNeXt50,U_test,Untrained,PyTorch
layer1.2.relu,2.782941668982776,7.0,1.436394613393979,ResNeXt50,U_test,Untrained,PyTorch
layer2.0.relu,3.103004680758755,13.0,1.8784177773622486,ResNeXt50,U_test,Untrained,PyTorch
layer2.1.relu,3.0361316331247483,14.0,1.349792213029433,ResNeXt50,U_test,Untrained,PyTorch
