layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,7.195830321711453,6.0,1.9609245349295035,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,9.282108814722797,9.0,1.5690621565255887,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,12.530834354613713,14.0,1.5134539199652723,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,14.801262146175276,21.0,1.2754968577106163,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,21.36151745849596,31.0,1.2526907452181326,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,33.50998390546888,50.0,1.0539872759707352,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,56.750610391170135,117.0,0.9437969394707569,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,113.02438329694616,135.0,0.8118940559494542,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,8.04567237365831,7.0,2.7477523036710063,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,9.359147148063789,9.0,2.5332122025914137,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,9.948289191472812,9.0,1.8754622983400009,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,8.31043813936291,8.0,2.7932420364935915,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,13.139259741728672,16.0,2.3155025171738286,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,15.338214535598238,21.0,1.555790489886329,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,17.675274900206954,25.0,1.4596230184408405,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,18.089574586393375,30.0,2.0374063151815545,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,27.15559942584307,49.0,1.9254679738622722,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,30.499953892963184,63.0,1.612613219149116,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,33.83368785472127,75.0,1.7156377827370943,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,38.03352557761654,92.0,1.1619881093674913,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,52.12386698876925,124.0,1.069208712981898,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,57.24720771762697,105.0,1.2000125982878393,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,70.48051000393788,115.0,1.1757861477876008,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,117.46101721718125,142.0,1.1239679753350464,ResNet50,Object Classification,Supervised,PyTorch
features.1,6.578639708382389,5.0,2.2149480815266003,AlexNet,Object Classification,Supervised,PyTorch
features.4,19.571593385922753,23.0,1.331503940429255,AlexNet,Object Classification,Supervised,PyTorch
features.7,28.124505420614568,62.0,1.1090576630338738,AlexNet,Object Classification,Supervised,PyTorch
features.9,27.870320488390202,51.0,1.0841524506537874,AlexNet,Object Classification,Supervised,PyTorch
features.11,52.24614931891695,68.0,0.9002078870039217,AlexNet,Object Classification,Supervised,PyTorch
features.1.0.block.4,2.059335563006038,2.0,1.9895260131060761,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.3.0.block.4,3.473891806166077,5.0,1.5856465034405454,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.7.0.block.4,5.543904274804271,5.0,0.693195879448417,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
