layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,5.896697846597421,15.0,1.2751644198844068,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,7.0759027310900064,22.0,1.1397395974222357,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,16.726296957728792,41.0,1.0130800288996997,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,20.812759456242045,47.0,0.9340028266460645,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,28.664484381427105,71.0,1.0095022714928779,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,29.971854423884366,82.0,0.9664085751212075,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,70.31869193246087,184.0,0.8618975266169084,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,126.93299334729588,156.0,0.7413425474179447,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,6.94428951612854,23.0,1.9549077195606364,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,7.855697529567204,33.0,1.8565191933617442,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,8.80528981266654,49.0,1.1697642341375014,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,17.21206971892976,86.0,1.8406250641216002,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,17.40511214066332,115.0,1.6877887419459858,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,19.893633249155116,147.0,1.0043336366624416,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,23.37231153711613,163.0,0.9517614716879541,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,40.70562151762453,234.0,1.5191483778915673,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,43.27348839181795,270.0,1.5363910216358452,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,48.23909169239002,303.0,1.461354532990923,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,47.041718981596205,307.0,1.442905225361092,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,51.165100760886766,325.0,0.9627855390889047,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,56.46914503539959,343.0,0.9250480933381967,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,94.94947485600164,451.0,0.9552623082314893,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,103.86893305876413,373.0,0.95416544409914,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,122.61221244066742,210.0,0.9745858831548738,ResNet50,Object Classification,Supervised,PyTorch
features.1,5.896749690820191,14.0,1.3271831175117985,AlexNet,Object Classification,Supervised,PyTorch
features.4,11.668145410078537,47.0,1.0902867424128093,AlexNet,Object Classification,Supervised,PyTorch
features.7,23.01262967568659,119.0,0.979329854786758,AlexNet,Object Classification,Supervised,PyTorch
features.9,23.31345377684324,93.0,0.9572789755067243,AlexNet,Object Classification,Supervised,PyTorch
features.11,36.62800116829519,74.0,0.9480513683998466,AlexNet,Object Classification,Supervised,PyTorch
features.1.0.block.4,7.411091411491684,24.0,1.0451799270951077,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.3.0.block.4,4.865265460592075,9.0,1.2434178640662508,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.7.0.block.4,5.52035217234731,5.0,0.7285753023894868,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.1.1.block.4,2.214734617301719,3.0,1.7623709105311909,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.3.1.block.4,6.540701721601692,16.0,0.8811977573437779,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.7.1.block.4,4.647117284455004,4.0,0.9928600376932232,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.1.2.block.4,16.64642355861601,36.0,0.7429266070903324,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.3.2.block.4,17.956381431798732,20.0,0.569187419761244,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.7.2.block.4,5.103815808997772,4.0,0.8639911602646183,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.0.block.4,12.095756848337906,10.0,0.43559642507689894,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.1.block.4,10.715721611949542,10.0,0.5796171365888617,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.2.block.4,9.249030183406637,9.0,0.7272256421555492,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.3.block.4,12.046078066713195,10.0,0.4472477372358397,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.4.block.4,11.697375714733695,10.0,0.48781489706974696,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.5.block.4,11.204526894524873,9.0,0.5461037033520778,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.6.block.4,6.045756243691478,8.0,1.012867347268382,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.7.block.4,7.829410891098957,8.0,0.8752439682333772,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.8.block.4,10.358729486730178,10.0,0.6132628183897694,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
blocks.0.layers.0.layers.window_attention.mlp_layer.2,13.916759427157587,34.0,0.8569176796932576,MaxViT,Object Classification,Supervised,PyTorch
blocks.0.layers.0.layers.grid_attention.mlp_layer.2,16.194381460029586,44.0,0.5369061232768362,MaxViT,Object Classification,Supervised,PyTorch
blocks.1.layers.0.layers.window_attention.mlp_layer.2,13.89806362540146,12.0,0.4170786901605677,MaxViT,Object Classification,Supervised,PyTorch
blocks.1.layers.0.layers.grid_attention.mlp_layer.2,7.344961114297433,11.0,0.7986546722636635,MaxViT,Object Classification,Supervised,PyTorch
blocks.1.layers.1.layers.window_attention.mlp_layer.2,14.125467104836023,12.0,0.3991309175858471,MaxViT,Object Classification,Supervised,PyTorch
blocks.1.layers.1.layers.grid_attention.mlp_layer.2,14.100232460365174,13.0,0.33044463959439485,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.0.layers.window_attention.mlp_layer.2,3.7477278188935785,3.0,0.44325753465480044,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.0.layers.grid_attention.mlp_layer.2,2.493683412339525,3.0,1.3051949265153384,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.1.layers.window_attention.mlp_layer.2,3.3672966204388954,3.0,0.6690184373230267,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.1.layers.grid_attention.mlp_layer.2,3.5149973203108953,3.0,0.6442016809937168,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.2.layers.window_attention.mlp_layer.2,3.0069987927384996,3.0,0.9721297262730899,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.2.layers.grid_attention.mlp_layer.2,3.401662913539618,3.0,0.7070029504631282,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.3.layers.window_attention.mlp_layer.2,3.4721678620228715,3.0,0.654247052715222,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.3.layers.grid_attention.mlp_layer.2,2.7815011727856387,3.0,1.275440161901612,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.4.layers.window_attention.mlp_layer.2,2.9131798234375403,3.0,1.6952563317494185,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.4.layers.grid_attention.mlp_layer.2,2.7784304831761406,3.0,1.8083064012208796,MaxViT,Object Classification,Supervised,PyTorch
blocks.3.layers.0.layers.window_attention.mlp_layer.2,0.999999996440277,1.0,-0.0,MaxViT,Object Classification,Supervised,PyTorch
blocks.3.layers.0.layers.grid_attention.mlp_layer.2,0.9999999988740192,1.0,-0.0,MaxViT,Object Classification,Supervised,PyTorch
blocks.3.layers.1.layers.window_attention.mlp_layer.2,1.0000000207382904,1.0,-0.0,MaxViT,Object Classification,Supervised,PyTorch
blocks.3.layers.1.layers.grid_attention.mlp_layer.2,1.000000007880963,1.0,-0.0,MaxViT,Object Classification,Supervised,PyTorch
layers.8.0.layers.5,5.614846477266346,11.0,2.758298039333925,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.8.1.layers.5,10.32679920867695,23.0,1.9648033204993953,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.8.2.layers.5,10.240851322117477,23.0,1.7216611928667267,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.9.0.layers.5,12.001316864584332,25.0,1.4826424865111902,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.9.1.layers.5,21.172025102857813,43.0,1.1996965233314347,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.9.2.layers.5,25.44080478291283,46.0,1.7736807820293694,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.10.0.layers.5,25.612320855874525,65.0,1.837016988499562,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.10.1.layers.5,45.29445210025909,117.0,1.5139441285481534,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.10.2.layers.5,47.18296613571823,125.0,1.5755787413649527,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.11.0.layers.5,38.481922131018855,127.0,1.5521499735934103,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.11.1.layers.5,37.22855948182937,146.0,1.5188361956711096,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.12.0.layers.5,64.40658955946179,172.0,1.2897461763686464,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.12.1.layers.5,77.62191024311515,334.0,1.4228642471380692,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.12.2.layers.5,131.96025500279094,445.0,1.315330219546712,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.12.3.layers.5,115.28841327533814,380.0,1.343205617702724,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.13.0.layers.5,58.73869603085376,331.0,1.632632488091371,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.16,165.61727269518101,363.0,0.744580087724991,MNASNet1_4,Object Classification,Supervised,PyTorch
trunk_output.block1.block1-0.activation,4.584124045839168,10.0,1.2848035607812638,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block2.block2-0.activation,8.669255914933276,20.0,1.1579619950203355,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block2.block2-1.activation,8.869288094448038,23.0,1.0848808544584112,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-0.activation,19.62902891405884,43.0,1.0732242183768508,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-1.activation,21.52453235979292,52.0,0.9711400681551667,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-2.activation,22.540959331578804,58.0,0.932188374265463,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-3.activation,24.231852434145697,63.0,0.899521967456876,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-4.activation,29.134861825788956,68.0,0.8560474674705161,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-5.activation,29.88464498100296,69.0,0.8519256457712866,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-6.activation,32.471785894873456,70.0,0.841328498727767,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-0.activation,46.20063160706308,115.0,0.9717517917905776,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-1.activation,48.25176222229269,126.0,0.9308945202738595,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-2.activation,50.866093367919916,135.0,0.8931129137373525,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-3.activation,54.567693067946344,141.0,0.8758196339026444,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-4.activation,56.50272481858288,147.0,0.8649968964004517,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-5.activation,58.87589271401434,151.0,0.8577492030232335,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-6.activation,61.72443034390877,154.0,0.8502737228231693,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-7.activation,64.35493067067762,156.0,0.8416653505287605,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-8.activation,69.08720539892778,156.0,0.8316700830636513,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-9.activation,75.06514221926984,158.0,0.818272849435582,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-10.activation,82.00962009608669,157.0,0.804709030703119,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block4.block4-11.activation,106.4059034002858,151.0,0.7422353729991408,RegNet_400mf,Object Classification,Supervised,PyTorch
layer1.0.relu,6.923247528160174,26.0,2.3749954850806287,ResNeXt50,Object Classification,Supervised,PyTorch
layer1.1.relu,8.302918703042039,52.0,1.7942754765512525,ResNeXt50,Object Classification,Supervised,PyTorch
layer1.2.relu,9.92170492352477,70.0,1.0720188779803004,ResNeXt50,Object Classification,Supervised,PyTorch
layer2.0.relu,20.667473090260767,116.0,1.67652590828722,ResNeXt50,Object Classification,Supervised,PyTorch
layer2.1.relu,24.815237321669596,150.0,1.1167501081564193,ResNeXt50,Object Classification,Supervised,PyTorch
layer2.2.relu,28.01065752228483,169.0,1.2490475714463032,ResNeXt50,Object Classification,Supervised,PyTorch
layer2.3.relu,31.630662587875733,176.0,0.9361128241522367,ResNeXt50,Object Classification,Supervised,PyTorch
layer3.0.relu,16.38535168884595,188.0,1.550766145271455,ResNeXt50,Object Classification,Supervised,PyTorch
layer3.1.relu,32.59678082984806,264.0,1.0105291716735993,ResNeXt50,Object Classification,Supervised,PyTorch
layer3.2.relu,32.033860351996054,286.0,0.9972037683713983,ResNeXt50,Object Classification,Supervised,PyTorch
layer3.3.relu,27.181783631704032,296.0,0.9861116884412385,ResNeXt50,Object Classification,Supervised,PyTorch
layer3.4.relu,18.53161039309777,280.0,0.9888122979637061,ResNeXt50,Object Classification,Supervised,PyTorch
layer3.5.relu,30.445974308691014,333.0,0.9500798829570616,ResNeXt50,Object Classification,Supervised,PyTorch
layer4.0.relu,46.82980438521899,675.0,0.8926954409009439,ResNeXt50,Object Classification,Supervised,PyTorch
layer4.1.relu,63.74338576834529,602.0,0.9021549115306524,ResNeXt50,Object Classification,Supervised,PyTorch
layer4.2.relu,119.42228896175169,237.0,0.9251362946045907,ResNeXt50,Object Classification,Supervised,PyTorch
features.1.0.mlp.1,7.147573177608099,22.0,1.0894404484322926,Swin_t,Object Classification,Supervised,PyTorch
features.1.1.mlp.1,7.1262356651340495,25.0,1.0405414706854195,Swin_t,Object Classification,Supervised,PyTorch
features.3.0.mlp.1,6.198336662531622,12.0,1.0800433056659378,Swin_t,Object Classification,Supervised,PyTorch
features.3.1.mlp.1,16.66596004267794,19.0,0.6221844223237023,Swin_t,Object Classification,Supervised,PyTorch
features.7.0.mlp.1,3.6021784543412907,4.0,1.109580818929898,Swin_t,Object Classification,Supervised,PyTorch
features.7.1.mlp.1,4.9894901041618605,5.0,0.887809906713871,Swin_t,Object Classification,Supervised,PyTorch
features.5.0.mlp.1,10.566235772248453,10.0,0.5625203721862226,Swin_t,Object Classification,Supervised,PyTorch
features.5.1.mlp.1,9.990118291368633,10.0,0.6261760960448487,Swin_t,Object Classification,Supervised,PyTorch
features.5.2.mlp.1,10.06013346845219,9.0,0.6732833401117525,Swin_t,Object Classification,Supervised,PyTorch
features.5.3.mlp.1,10.165712013393557,10.0,0.6305917437337651,Swin_t,Object Classification,Supervised,PyTorch
features.5.4.mlp.1,6.004910439809932,6.0,1.2035572270658093,Swin_t,Object Classification,Supervised,PyTorch
features.5.5.mlp.1,4.805467095627959,5.0,1.53740394482534,Swin_t,Object Classification,Supervised,PyTorch
features.1,2.800476489817488,6.0,1.743019587313576,VGG16,Object Classification,Supervised,PyTorch
features.3,3.841476930718857,8.0,1.4932269874335864,VGG16,Object Classification,Supervised,PyTorch
features.6,3.9783876257541815,19.0,1.2461227273850028,VGG16,Object Classification,Supervised,PyTorch
features.8,5.024960656705219,23.0,1.1997195303288395,VGG16,Object Classification,Supervised,PyTorch
features.11,5.841015875919458,54.0,1.083509137684893,VGG16,Object Classification,Supervised,PyTorch
features.13,6.340292578769237,67.0,1.0070295992336393,VGG16,Object Classification,Supervised,PyTorch
features.15,10.413095819721057,72.0,1.016054070397586,VGG16,Object Classification,Supervised,PyTorch
features.18,14.614606792151603,144.0,1.010729608491301,VGG16,Object Classification,Supervised,PyTorch
features.20,17.18352518337292,160.0,0.9922009333452152,VGG16,Object Classification,Supervised,PyTorch
features.22,25.02319413459834,162.0,0.976406505133743,VGG16,Object Classification,Supervised,PyTorch
features.25,22.225700916194228,136.0,1.0277546756088893,VGG16,Object Classification,Supervised,PyTorch
features.27,29.77513792195675,147.0,0.9872791976544384,VGG16,Object Classification,Supervised,PyTorch
features.29,52.489947691660646,150.0,0.9188035719826974,VGG16,Object Classification,Supervised,PyTorch
