layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,245.73090426055685,569.0,0.652580129835965,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,630.4806591837004,640.0,0.44644982433158864,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,504.28258507233903,616.0,0.5074444287894045,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,616.0093056378445,631.0,0.44952256091332593,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,330.8602904754563,544.0,0.604332648158234,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,332.68196639933814,564.0,0.5817342832843163,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,441.3262723178627,558.0,0.5405104914247598,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,259.6584401777014,371.0,0.6666336514427923,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,157.78903588507882,531.0,0.7282067573608125,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,256.0207105091602,582.0,0.6489049452956912,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,334.50903947219365,615.0,0.5997406673792305,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,174.01794552358135,562.0,0.7074379158445583,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,416.82207539727017,609.0,0.5467978188305253,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,563.3024048854279,630.0,0.48036121078034855,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,636.849052225132,643.0,0.4449827568042145,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,372.33658155032754,595.0,0.5758930112523326,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,456.20392389348757,604.0,0.5376862986097591,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,513.6216861664515,613.0,0.509066569132578,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,484.75014991151926,617.0,0.5196066512014097,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,487.63036860466383,624.0,0.5150354333515377,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,502.6424088101635,637.0,0.491280303377785,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,446.0029765867722,588.0,0.5454680404456254,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,354.46574718461756,536.0,0.5923940565989255,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,319.6941322516203,447.0,0.6092484378975386,ResNet50,Object Classification,Supervised,PyTorch
features.1,290.6550682621491,580.0,0.6292207555779133,AlexNet,Object Classification,Supervised,PyTorch
features.4,457.33517705847805,577.0,0.537175831045814,AlexNet,Object Classification,Supervised,PyTorch
features.7,494.8230156628967,588.0,0.5107676473831924,AlexNet,Object Classification,Supervised,PyTorch
features.9,467.42798113304616,575.0,0.5267613721900707,AlexNet,Object Classification,Supervised,PyTorch
features.11,427.83174114539554,534.0,0.5438085244779713,AlexNet,Object Classification,Supervised,PyTorch
features.1.0.block.4,631.8903485920112,676.0,0.40321435955788787,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.3.0.block.4,559.935578815876,642.0,0.48681607858813447,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.7.0.block.4,594.4036006508672,646.0,0.4277752498692526,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.1.1.block.4,71.63764940848586,486.0,0.8425191887347758,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.3.1.block.4,860.7297459513072,687.0,0.27860129082125246,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.7.1.block.4,430.2567927373843,621.0,0.4830117209055907,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.1.2.block.4,886.0615349079571,697.0,0.24877988893211833,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.3.2.block.4,755.0267308341843,682.0,0.361268141999085,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.7.2.block.4,656.5176116658722,632.0,0.412955384301167,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.0.block.4,844.0621866555023,678.0,0.28878489136676283,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.1.block.4,734.6609904202345,663.0,0.39062599575701523,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.2.block.4,695.863465583527,654.0,0.41132461847605833,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.3.block.4,832.2685663905922,678.0,0.31051740946560136,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.4.block.4,812.5473688289815,675.0,0.33132008123963225,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.5.block.4,795.648914324757,670.0,0.3429064036312673,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.6.block.4,733.4862376602023,663.0,0.3945321357636756,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.7.block.4,597.9502229544408,646.0,0.46420017262250296,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
features.5.8.block.4,781.9802753661727,672.0,0.35850561125868147,ConvNeXt_Tiny,Object Classification,Supervised,PyTorch
blocks.0.layers.0.layers.window_attention.mlp_layer.2,224.31778497482438,599.0,0.6486943334494218,MaxViT,Object Classification,Supervised,PyTorch
blocks.0.layers.0.layers.grid_attention.mlp_layer.2,470.9877148483901,661.0,0.48181350624180724,MaxViT,Object Classification,Supervised,PyTorch
blocks.1.layers.0.layers.window_attention.mlp_layer.2,577.5589874161163,667.0,0.45459787302295146,MaxViT,Object Classification,Supervised,PyTorch
blocks.1.layers.0.layers.grid_attention.mlp_layer.2,624.7669592310704,662.0,0.45593055192342397,MaxViT,Object Classification,Supervised,PyTorch
blocks.1.layers.1.layers.window_attention.mlp_layer.2,828.3795786455623,688.0,0.31352645855825245,MaxViT,Object Classification,Supervised,PyTorch
blocks.1.layers.1.layers.grid_attention.mlp_layer.2,849.7670243327137,684.0,0.29443869931898103,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.0.layers.window_attention.mlp_layer.2,592.1626605811567,651.0,0.45927302050243995,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.0.layers.grid_attention.mlp_layer.2,678.8643038716754,656.0,0.42780076071993517,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.1.layers.window_attention.mlp_layer.2,698.4943893674433,652.0,0.40464080642102346,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.1.layers.grid_attention.mlp_layer.2,737.0085271910182,661.0,0.3857318695891172,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.2.layers.window_attention.mlp_layer.2,760.6435032712959,661.0,0.3615659267569013,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.2.layers.grid_attention.mlp_layer.2,750.5225800309752,665.0,0.3814595686582784,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.3.layers.window_attention.mlp_layer.2,793.2365238074126,669.0,0.34181236438317925,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.3.layers.grid_attention.mlp_layer.2,802.6442769694999,668.0,0.3271215163224248,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.4.layers.window_attention.mlp_layer.2,856.235592220454,679.0,0.2653438439332306,MaxViT,Object Classification,Supervised,PyTorch
blocks.2.layers.4.layers.grid_attention.mlp_layer.2,841.7503644701336,672.0,0.257712039980262,MaxViT,Object Classification,Supervised,PyTorch
blocks.3.layers.0.layers.window_attention.mlp_layer.2,818.2672733960185,658.0,0.27040312553817464,MaxViT,Object Classification,Supervised,PyTorch
blocks.3.layers.0.layers.grid_attention.mlp_layer.2,793.4924742577304,651.0,0.29949500695582176,MaxViT,Object Classification,Supervised,PyTorch
blocks.3.layers.1.layers.window_attention.mlp_layer.2,256.6078309309107,499.0,0.6343383647794534,MaxViT,Object Classification,Supervised,PyTorch
blocks.3.layers.1.layers.grid_attention.mlp_layer.2,501.5004809549966,541.0,0.5011526125449185,MaxViT,Object Classification,Supervised,PyTorch
layers.8.0.layers.5,93.78855791904095,576.0,0.6752240085027946,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.8.1.layers.5,106.2323812008696,606.0,0.6260501009440137,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.8.2.layers.5,767.5148903428461,672.0,0.357448377063438,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.9.0.layers.5,237.10058703467053,558.0,0.6370114554118937,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.9.1.layers.5,532.0087162574085,618.0,0.5007444529703293,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.9.2.layers.5,549.399242022314,628.0,0.4928606905364721,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.10.0.layers.5,243.45796517755497,527.0,0.650187204267677,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.10.1.layers.5,438.90371850091987,578.0,0.546258159025699,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.10.2.layers.5,413.58904738072897,567.0,0.5578269122765895,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.11.0.layers.5,478.50615626090433,599.0,0.5272729576715431,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.11.1.layers.5,486.7444332666621,608.0,0.5224839868106198,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.12.0.layers.5,302.234612860535,525.0,0.6256453757390039,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.12.1.layers.5,375.7916597488202,562.0,0.5827024460925743,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.12.2.layers.5,418.79867750788145,563.0,0.5494293014629025,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.12.3.layers.5,290.1094923582833,501.0,0.6399274595387673,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.13.0.layers.5,179.20539501905327,520.0,0.6700295009520008,MNASNet1_4,Object Classification,Supervised,PyTorch
layers.16,574.3407734371883,573.0,0.45024646923920403,MNASNet1_4,Object Classification,Supervised,PyTorch
trunk_output.block1.block1-0.activation,256.90807024575315,607.0,0.626286063283276,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block2.block2-0.activation,212.8404478266984,553.0,0.6666340572618911,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block2.block2-1.activation,356.6267813945475,596.0,0.5827967388266582,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-0.activation,183.64658505234522,480.0,0.7254912173883026,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-1.activation,298.7182425008582,525.0,0.6324430052808139,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-2.activation,368.29086731381045,544.0,0.5881508206632137,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-3.activation,406.63155653443204,554.0,0.564757688081941,RegNet_400mf,Object Classification,Supervised,PyTorch
trunk_output.block3.block3-4.activation,429.993257571407,562.0,0.5497389813722618,RegNet_400mf,Object Classification,Supervised,PyTorch
