layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.8596346605064453,3.0,2.772030622703824,ResNet18,None,Untrained,PyTorch
layer1.1.relu,2.670510524699692,2.0,2.854566487953719,ResNet18,None,Untrained,PyTorch
layer2.0.relu,2.1221560214009565,2.0,3.110169329394835,ResNet18,None,Untrained,PyTorch
layer2.1.relu,1.8133819046600257,2.0,2.852744323449777,ResNet18,None,Untrained,PyTorch
layer3.0.relu,1.6706320794375376,2.0,2.6213583278780384,ResNet18,None,Untrained,PyTorch
layer3.1.relu,1.410257994652354,1.0,2.282902162852578,ResNet18,None,Untrained,PyTorch
layer4.0.relu,1.4264380450063183,1.0,2.1368849789116724,ResNet18,None,Untrained,PyTorch
layer4.1.relu,1.2912629299503275,1.0,1.782006939135454,ResNet18,None,Untrained,PyTorch
layer1.0.relu,1.9670420360181504,2.0,3.0226244941483573,ResNet50,None,Untrained,PyTorch
layer1.1.relu,1.7505191389759438,2.0,2.833944672515738,ResNet50,None,Untrained,PyTorch
layer1.2.relu,1.7042538511544074,2.0,2.8235169092556682,ResNet50,None,Untrained,PyTorch
layer2.0.relu,1.566814419091115,2.0,2.8820020111294635,ResNet50,None,Untrained,PyTorch
layer2.1.relu,1.3620467492116106,1.0,2.649613180058786,ResNet50,None,Untrained,PyTorch
layer2.2.relu,1.3190286844281707,1.0,2.639922748596759,ResNet50,None,Untrained,PyTorch
layer2.3.relu,1.2179050885222165,1.0,2.783723629475446,ResNet50,None,Untrained,PyTorch
layer3.0.relu,1.1906230078444517,1.0,2.520438209108915,ResNet50,None,Untrained,PyTorch
layer3.1.relu,1.121405345758181,1.0,2.388649764235441,ResNet50,None,Untrained,PyTorch
layer3.2.relu,1.1088623731046563,1.0,2.628220163085655,ResNet50,None,Untrained,PyTorch
layer3.3.relu,1.0729433556611798,1.0,2.529703252198593,ResNet50,None,Untrained,PyTorch
layer3.4.relu,1.0488073815189094,1.0,2.347442108479313,ResNet50,None,Untrained,PyTorch
layer3.5.relu,1.0434196551696022,1.0,2.339365213419685,ResNet50,None,Untrained,PyTorch
layer4.0.relu,1.0498764288791822,1.0,2.231965704149246,ResNet50,None,Untrained,PyTorch
layer4.1.relu,1.0515239204644504,1.0,2.202636902314486,ResNet50,None,Untrained,PyTorch
layer4.2.relu,1.0481810792215749,1.0,2.2472414177739624,ResNet50,None,Untrained,PyTorch
features.1,2.061257381244813,2.0,3.1708967376020025,AlexNet,None,Untrained,PyTorch
features.4,2.6772389368689944,3.0,2.4151570859942266,AlexNet,None,Untrained,PyTorch
features.7,2.8811547959402297,2.0,2.3915074235231697,AlexNet,None,Untrained,PyTorch
features.9,2.8180681518787187,2.0,2.205333830813434,AlexNet,None,Untrained,PyTorch
features.11,2.4361095377942394,2.0,2.2330708203209015,AlexNet,None,Untrained,PyTorch
features.1.0.block.4,2.605272514899646,3.0,1.7493604805884737,ConvNeXt_Tiny,None,Untrained,PyTorch
features.3.0.block.4,2.367361882460605,3.0,2.402317936218041,ConvNeXt_Tiny,None,Untrained,PyTorch
features.7.0.block.4,3.6292162173483575,4.0,1.1750352408070113,ConvNeXt_Tiny,None,Untrained,PyTorch
features.1.1.block.4,2.5311234871436294,3.0,2.1081253111666642,ConvNeXt_Tiny,None,Untrained,PyTorch
features.3.1.block.4,3.1308013433658264,3.0,2.21770538592316,ConvNeXt_Tiny,None,Untrained,PyTorch
features.7.1.block.4,2.499582816091335,3.0,1.6507292100255821,ConvNeXt_Tiny,None,Untrained,PyTorch
