layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.886002731573501,8.0,1.339805002515553,ResNet18,None,Untrained,PyTorch
layer1.1.relu,2.8753433958638515,9.0,1.3035054646215574,ResNet18,None,Untrained,PyTorch
layer2.0.relu,3.8992144629150305,22.0,1.337142064946113,ResNet18,None,Untrained,PyTorch
layer2.1.relu,3.2219216625173015,19.0,1.227062715022997,ResNet18,None,Untrained,PyTorch
layer3.0.relu,4.321887517739493,54.0,1.2499422856683688,ResNet18,None,Untrained,PyTorch
layer3.1.relu,3.2473695254703494,36.0,1.2148956505303619,ResNet18,None,Untrained,PyTorch
layer4.0.relu,3.8576133154250263,100.0,1.3589683350044968,ResNet18,None,Untrained,PyTorch
layer4.1.relu,2.8074005709452217,63.0,1.106491351528178,ResNet18,None,Untrained,PyTorch
layer1.0.relu,3.4148534320778854,11.0,1.3636881341213654,ResNet50,None,Untrained,PyTorch
layer1.1.relu,3.1915223738712903,13.0,1.2851025598771386,ResNet50,None,Untrained,PyTorch
layer1.2.relu,2.841933659927418,14.0,1.294361798277238,ResNet50,None,Untrained,PyTorch
layer2.0.relu,2.8736180132194753,35.0,1.757974109147179,ResNet50,None,Untrained,PyTorch
layer2.1.relu,2.5412411594046063,26.0,1.2537285548723704,ResNet50,None,Untrained,PyTorch
layer2.2.relu,2.2485079645140194,14.0,1.225110134904615,ResNet50,None,Untrained,PyTorch
layer2.3.relu,2.125780806862915,12.0,1.3094509760592878,ResNet50,None,Untrained,PyTorch
layer3.0.relu,2.350588669310251,43.0,1.5787639103339977,ResNet50,None,Untrained,PyTorch
layer3.1.relu,2.0712643034286313,14.0,1.6640707630697984,ResNet50,None,Untrained,PyTorch
layer3.2.relu,1.8618315626907709,5.0,1.73778816221757,ResNet50,None,Untrained,PyTorch
layer3.3.relu,1.6812269594248868,3.0,1.674599991122757,ResNet50,None,Untrained,PyTorch
layer3.4.relu,1.5946385085237347,2.0,1.729874575687252,ResNet50,None,Untrained,PyTorch
layer3.5.relu,1.5291649191923338,1.0,1.7822218806986458,ResNet50,None,Untrained,PyTorch
layer4.0.relu,1.6070493966001236,2.0,1.5185884962496707,ResNet50,None,Untrained,PyTorch
layer4.1.relu,1.5454491025685904,1.0,1.7048322962509,ResNet50,None,Untrained,PyTorch
layer4.2.relu,1.4828334915846368,1.0,1.7452505519032728,ResNet50,None,Untrained,PyTorch
features.1,3.265707001384002,8.0,1.379511326802149,AlexNet,None,Untrained,PyTorch
features.4,3.2424025822108704,14.0,1.2529348752291418,AlexNet,None,Untrained,PyTorch
features.7,3.292498777948399,18.0,1.4402409420788491,AlexNet,None,Untrained,PyTorch
features.9,3.2164868794605788,19.0,1.2678414929466253,AlexNet,None,Untrained,PyTorch
features.11,2.9562164192609535,20.0,1.280822011608371,AlexNet,None,Untrained,PyTorch
features.1.0.block.4,16.066685806755114,33.0,0.8062783486410267,ConvNeXt_Tiny,None,Untrained,PyTorch
