layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,3.5862378980149066,5.0,1.605869456805036,ResNet18,None,Untrained,PyTorch
layer1.1.relu,3.755331613138359,5.0,1.6745344742331072,ResNet18,None,Untrained,PyTorch
layer2.0.relu,4.773831503469394,9.0,2.189162478094316,ResNet18,None,Untrained,PyTorch
layer2.1.relu,4.691497592442645,12.0,1.6147180396165706,ResNet18,None,Untrained,PyTorch
layer3.0.relu,5.978652259358417,16.0,1.9725077010436742,ResNet18,None,Untrained,PyTorch
layer3.1.relu,6.974630552738757,22.0,1.9245951564411643,ResNet18,None,Untrained,PyTorch
layer4.0.relu,6.327774480422998,25.0,1.832852708721704,ResNet18,None,Untrained,PyTorch
layer4.1.relu,7.375022298991992,29.0,1.4206096279496836,ResNet18,None,Untrained,PyTorch
layer1.0.relu,3.5196890303977946,6.0,2.233113899106179,ResNet50,None,Untrained,PyTorch
layer1.1.relu,3.430862218691847,6.0,2.131818711570825,ResNet50,None,Untrained,PyTorch
layer1.2.relu,3.120758294585677,5.0,2.3446590916167915,ResNet50,None,Untrained,PyTorch
layer2.0.relu,2.964107609874709,6.0,2.1363062139727442,ResNet50,None,Untrained,PyTorch
layer2.1.relu,2.818057346042743,8.0,2.0804705570963917,ResNet50,None,Untrained,PyTorch
layer2.2.relu,2.5082455428014097,6.0,2.010811823172095,ResNet50,None,Untrained,PyTorch
layer2.3.relu,2.2650834039461007,5.0,2.123779947923842,ResNet50,None,Untrained,PyTorch
layer3.0.relu,2.3488489969815514,4.0,2.061862837473307,ResNet50,None,Untrained,PyTorch
layer3.1.relu,2.9562503854604025,5.0,2.074954781667729,ResNet50,None,Untrained,PyTorch
layer3.2.relu,3.048275283340448,5.0,2.0778101318933953,ResNet50,None,Untrained,PyTorch
layer3.3.relu,3.1191583496703537,6.0,2.115497202003213,ResNet50,None,Untrained,PyTorch
layer3.4.relu,3.044058745267195,5.0,2.1482116027906817,ResNet50,None,Untrained,PyTorch
layer3.5.relu,2.927805950977578,4.0,2.157418281873261,ResNet50,None,Untrained,PyTorch
layer4.0.relu,2.7968308932414785,4.0,2.01919590245823,ResNet50,None,Untrained,PyTorch
layer4.1.relu,3.4719101545752573,5.0,2.0432413899005697,ResNet50,None,Untrained,PyTorch
layer4.2.relu,3.5717353837774932,5.0,2.100575057791882,ResNet50,None,Untrained,PyTorch
features.1,3.2269670073839465,6.0,1.5559439399456183,AlexNet,None,Untrained,PyTorch
features.4,6.948486471962365,21.0,1.3625478429473754,AlexNet,None,Untrained,PyTorch
features.7,7.775158465971104,19.0,1.887978986856596,AlexNet,None,Untrained,PyTorch
features.9,9.23964747353068,25.0,1.5058263009302015,AlexNet,None,Untrained,PyTorch
features.11,8.107628250995466,27.0,1.8837683168212658,AlexNet,None,Untrained,PyTorch
features.1.0.block.4,5.932555349552212,11.0,1.2989561527623688,ConvNeXt_Tiny,None,Untrained,PyTorch
features.3.0.block.4,6.251134756698776,11.0,1.1588561437827378,ConvNeXt_Tiny,None,Untrained,PyTorch
features.7.0.block.4,5.512567119069149,5.0,0.7087139541727555,ConvNeXt_Tiny,None,Untrained,PyTorch
features.1.1.block.4,6.042240619658678,15.0,1.228131976343198,ConvNeXt_Tiny,None,Untrained,PyTorch
features.3.1.block.4,5.949706639858634,10.0,1.1866251108471972,ConvNeXt_Tiny,None,Untrained,PyTorch
features.7.1.block.4,5.180323684912617,5.0,0.8007602234425594,ConvNeXt_Tiny,None,Untrained,PyTorch
features.1.2.block.4,6.536962051752928,14.0,1.2227574813977538,ConvNeXt_Tiny,None,Untrained,PyTorch
features.3.2.block.4,6.405001628814985,10.0,1.1596260930424602,ConvNeXt_Tiny,None,Untrained,PyTorch
features.7.2.block.4,5.20241941916,5.0,0.8031376544394904,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.0.block.4,6.093350994089649,8.0,1.013318121442314,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.1.block.4,5.828096823295569,7.0,1.0617817390002673,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.2.block.4,5.57843443711307,7.0,1.0717986697236173,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.3.block.4,6.142963699178523,8.0,1.0239470893658902,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.4.block.4,6.169644439468426,8.0,1.0097436855211763,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.5.block.4,5.943079597477576,8.0,1.0243098734442213,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.6.block.4,5.450284108302273,7.0,1.091339158543489,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.7.block.4,6.260240514949676,8.0,1.0060833380425072,ConvNeXt_Tiny,None,Untrained,PyTorch
features.5.8.block.4,6.288791234591069,8.0,1.002250228644733,ConvNeXt_Tiny,None,Untrained,PyTorch
blocks.0.layers.0.layers.window_attention.mlp_layer.2,5.723730559512113,16.0,1.2185597195785816,MaxViT,None,Untrained,PyTorch
blocks.0.layers.0.layers.grid_attention.mlp_layer.2,1.4481929847203643,1.0,2.188481896792147,MaxViT,None,Untrained,PyTorch
blocks.1.layers.0.layers.window_attention.mlp_layer.2,2.4371093742295864,4.0,1.5700802436013908,MaxViT,None,Untrained,PyTorch
blocks.1.layers.0.layers.grid_attention.mlp_layer.2,1.1250420741674085,1.0,3.253281950952344,MaxViT,None,Untrained,PyTorch
blocks.1.layers.1.layers.window_attention.mlp_layer.2,1.6573615146547909,2.0,1.7832483064992164,MaxViT,None,Untrained,PyTorch
blocks.1.layers.1.layers.grid_attention.mlp_layer.2,1.1048669158378728,1.0,3.2089601498321514,MaxViT,None,Untrained,PyTorch
blocks.2.layers.0.layers.window_attention.mlp_layer.2,1.3065253360131435,1.0,2.8733321027417893,MaxViT,None,Untrained,PyTorch
blocks.2.layers.0.layers.grid_attention.mlp_layer.2,1.0281610666509173,1.0,5.640277639530647,MaxViT,None,Untrained,PyTorch
blocks.2.layers.1.layers.window_attention.mlp_layer.2,1.2421273518097904,1.0,3.0859525336411338,MaxViT,None,Untrained,PyTorch
blocks.2.layers.1.layers.grid_attention.mlp_layer.2,1.020579116995949,1.0,5.695581115000221,MaxViT,None,Untrained,PyTorch
blocks.2.layers.2.layers.window_attention.mlp_layer.2,1.1606418850263704,1.0,3.4439643233751998,MaxViT,None,Untrained,PyTorch
blocks.2.layers.2.layers.grid_attention.mlp_layer.2,1.0163328984767612,1.0,5.931041341220298,MaxViT,None,Untrained,PyTorch
blocks.2.layers.3.layers.window_attention.mlp_layer.2,1.1545365647761916,1.0,3.480959596514916,MaxViT,None,Untrained,PyTorch
blocks.2.layers.3.layers.grid_attention.mlp_layer.2,1.021931280520045,1.0,5.780141802435212,MaxViT,None,Untrained,PyTorch
blocks.2.layers.4.layers.window_attention.mlp_layer.2,1.1617822720849216,1.0,3.4197385990678266,MaxViT,None,Untrained,PyTorch
blocks.2.layers.4.layers.grid_attention.mlp_layer.2,1.016219634613809,1.0,6.015901532081077,MaxViT,None,Untrained,PyTorch
blocks.3.layers.0.layers.window_attention.mlp_layer.2,0.9999999744374003,1.0,-0.0,MaxViT,None,Untrained,PyTorch
blocks.3.layers.0.layers.grid_attention.mlp_layer.2,1.0000000239956077,1.0,-0.0,MaxViT,None,Untrained,PyTorch
blocks.3.layers.1.layers.window_attention.mlp_layer.2,1.000000033103031,1.0,-0.0,MaxViT,None,Untrained,PyTorch
blocks.3.layers.1.layers.grid_attention.mlp_layer.2,0.9999999767957869,1.0,-0.0,MaxViT,None,Untrained,PyTorch
layers.8.0.layers.5,2.670190882016261,3.0,2.393376484814293,MNASNet1_4,None,Untrained,PyTorch
layers.8.1.layers.5,3.078313080563159,5.0,2.3400692600100848,MNASNet1_4,None,Untrained,PyTorch
layers.8.2.layers.5,3.663615624492959,8.0,2.4713031829918455,MNASNet1_4,None,Untrained,PyTorch
layers.9.0.layers.5,2.834310765902356,5.0,2.6101647873071805,MNASNet1_4,None,Untrained,PyTorch
layers.9.1.layers.5,5.5657871662422504,13.0,2.2502669040985306,MNASNet1_4,None,Untrained,PyTorch
layers.9.2.layers.5,4.047150683058035,9.0,2.3568314188796524,MNASNet1_4,None,Untrained,PyTorch
layers.10.0.layers.5,3.759854076683635,8.0,2.28043309116472,MNASNet1_4,None,Untrained,PyTorch
layers.10.1.layers.5,5.298651425422497,14.0,1.9689619994681544,MNASNet1_4,None,Untrained,PyTorch
layers.10.2.layers.5,9.25322824183837,26.0,1.9901276548719438,MNASNet1_4,None,Untrained,PyTorch
layers.11.0.layers.5,4.922039461837054,13.0,2.0303758869630992,MNASNet1_4,None,Untrained,PyTorch
layers.11.1.layers.5,4.984984803992061,14.0,1.9908548391057568,MNASNet1_4,None,Untrained,PyTorch
layers.12.0.layers.5,4.722607588688536,11.0,1.9550155009020245,MNASNet1_4,None,Untrained,PyTorch
layers.12.1.layers.5,7.054342241184345,14.0,1.8667607660689938,MNASNet1_4,None,Untrained,PyTorch
layers.12.2.layers.5,7.580422596940142,15.0,1.8707307712515777,MNASNet1_4,None,Untrained,PyTorch
layers.12.3.layers.5,6.634639406235457,12.0,1.9467815197938145,MNASNet1_4,None,Untrained,PyTorch
layers.13.0.layers.5,4.411160956330344,8.0,1.9306631337032598,MNASNet1_4,None,Untrained,PyTorch
layers.16,4.836417810493009,10.0,1.9974309122773495,MNASNet1_4,None,Untrained,PyTorch
trunk_output.block1.block1-0.activation,3.122673645062694,3.0,2.1555436569636988,RegNet_400mf,None,Untrained,PyTorch
trunk_output.block2.block2-0.activation,2.6160415742560854,3.0,2.4008876603796674,RegNet_400mf,None,Untrained,PyTorch
trunk_output.block2.block2-1.activation,2.6428417279439,4.0,1.9860312944554557,RegNet_400mf,None,Untrained,PyTorch
trunk_output.block3.block3-0.activation,2.5122909169157928,4.0,2.4197185573105284,RegNet_400mf,None,Untrained,PyTorch
trunk_output.block3.block3-1.activation,2.7798277311982993,5.0,2.2219876050410763,RegNet_400mf,None,Untrained,PyTorch
trunk_output.block3.block3-2.activation,3.022059037587796,6.0,1.6568910629624187,RegNet_400mf,None,Untrained,PyTorch
trunk_output.block3.block3-3.activation,3.1080821236838965,7.0,1.7114440179696435,RegNet_400mf,None,Untrained,PyTorch
trunk_output.block3.block3-4.activation,3.1579308647546798,7.0,1.7528896953679869,RegNet_400mf,None,Untrained,PyTorch
