layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.05913775229872216,0.003681804704825264,ResNet18,D,Untrained,PyTorch
layer1.1.relu,0.05912986119514255,0.003681172717041347,ResNet18,D,Untrained,PyTorch
layer2.0.relu,0.05445931877015256,0.007087773404423781,ResNet18,D,Untrained,PyTorch
layer2.1.relu,0.05441403528071318,0.007096477579713146,ResNet18,D,Untrained,PyTorch
layer3.0.relu,0.05550757743409003,0.0046165482223196625,ResNet18,D,Untrained,PyTorch
layer3.1.relu,0.055507615714624786,0.004616541472688579,ResNet18,D,Untrained,PyTorch
layer4.0.relu,0.041682344031908264,0.004150361996271844,ResNet18,D,Untrained,PyTorch
layer4.1.relu,0.04168234403803156,0.004150350330035351,ResNet18,D,Untrained,PyTorch
layer1.0.relu,0.05912986119514232,0.00368117271704135,ResNet50,D,Untrained,PyTorch
layer1.1.relu,0.059114656678666576,0.0036753604231420448,ResNet50,D,Untrained,PyTorch
layer1.2.relu,0.0591409653412433,0.003668247996447861,ResNet50,D,Untrained,PyTorch
layer2.0.relu,0.05443719992992701,0.0071000557601880385,ResNet50,D,Untrained,PyTorch
layer2.1.relu,0.05443443392124945,0.007106992458904524,ResNet50,D,Untrained,PyTorch
layer2.2.relu,0.05441993592143308,0.007096625370847381,ResNet50,D,Untrained,PyTorch
layer2.3.relu,0.05442810448600312,0.007101384234480058,ResNet50,D,Untrained,PyTorch
layer3.0.relu,0.055507551243486046,0.00461655984333333,ResNet50,D,Untrained,PyTorch
layer3.1.relu,0.055507569350727745,0.004616547787306309,ResNet50,D,Untrained,PyTorch
layer3.2.relu,0.05550755475168242,0.004616550077616578,ResNet50,D,Untrained,PyTorch
layer3.3.relu,0.05550754520860866,0.004616558873002506,ResNet50,D,Untrained,PyTorch
layer3.4.relu,0.05550754961294305,0.004616556467355564,ResNet50,D,Untrained,PyTorch
layer3.5.relu,0.05550757957938725,0.004616565626579202,ResNet50,D,Untrained,PyTorch
layer4.0.relu,0.04168236226874414,0.004150325667783133,ResNet50,D,Untrained,PyTorch
layer4.1.relu,0.04168235249782116,0.004150361515398067,ResNet50,D,Untrained,PyTorch
layer4.2.relu,0.04168237816203713,0.004150351413889368,ResNet50,D,Untrained,PyTorch
features.1,0.05221664682150211,0.0038709019599454174,AlexNet,D,Untrained,PyTorch
features.4,0.051363974971751825,0.004646093262354094,AlexNet,D,Untrained,PyTorch
features.7,0.04340028864599546,0.005085239355567799,AlexNet,D,Untrained,PyTorch
features.9,0.04314267404609775,0.005037069050633698,AlexNet,D,Untrained,PyTorch
features.11,0.04341813137622088,0.005142471836333182,AlexNet,D,Untrained,PyTorch
layers.8.0.layers.5,0.03892919999121583,0.00360504682155699,MNASNet13,D,Untrained,PyTorch
layers.8.1.layers.5,0.03905419063145853,0.003605374410811063,MNASNet13,D,Untrained,PyTorch
layers.8.2.layers.5,0.03897886724630799,0.0035923055908537193,MNASNet13,D,Untrained,PyTorch
layers.9.0.layers.5,0.04014552129858449,0.0036624008453215945,MNASNet13,D,Untrained,PyTorch
layers.9.1.layers.5,0.040145580981104316,0.0036624141831537336,MNASNet13,D,Untrained,PyTorch
layers.9.2.layers.5,0.04014561313437982,0.0036624123505313516,MNASNet13,D,Untrained,PyTorch
layers.10.0.layers.5,0.040167050729161574,0.004566607311557574,MNASNet13,D,Untrained,PyTorch
layers.10.1.layers.5,0.040167040192791985,0.004566604430665842,MNASNet13,D,Untrained,PyTorch
layers.10.2.layers.5,0.040167058043133176,0.004566599491989805,MNASNet13,D,Untrained,PyTorch
layers.11.0.layers.5,0.04016704619110292,0.00456660843532783,MNASNet13,D,Untrained,PyTorch
layers.11.1.layers.5,0.040167050184924315,0.004566600376676559,MNASNet13,D,Untrained,PyTorch
layers.12.0.layers.5,0.02315727018940715,0.004325267373309977,MNASNet13,D,Untrained,PyTorch
layers.12.1.layers.5,0.023157271772965733,0.004325266810523785,MNASNet13,D,Untrained,PyTorch
layers.12.2.layers.5,0.023157268534317356,0.004325268053109972,MNASNet13,D,Untrained,PyTorch
layers.12.3.layers.5,0.023157271725078095,0.004325267027773476,MNASNet13,D,Untrained,PyTorch
layers.13.0.layers.5,0.023157266569228552,0.0043252652210681,MNASNet13,D,Untrained,PyTorch
layers.16,0.023157269059633088,0.004325266847387375,MNASNet13,D,Untrained,PyTorch
trunk_output.block1.block1-0.activation,0.05728607010089703,0.004521285406374148,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block2.block2-0.activation,0.05459952571724886,0.004161262590987872,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block2.block2-1.activation,0.05460071500884545,0.004164275386350121,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block3.block3-0.activation,0.05534000771050567,0.0047220752605238794,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block3.block3-1.activation,0.055339984244881416,0.004722071119530169,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block3.block3-2.activation,0.05533999509727069,0.004722073167045557,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block3.block3-3.activation,0.05533999667326352,0.004722072479118925,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block3.block3-4.activation,0.0553399880099947,0.004722075219255949,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block3.block3-5.activation,0.05534006140475861,0.004722075894925485,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block3.block3-6.activation,0.05534000112341551,0.004722076887493026,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-0.activation,0.03842144886437721,0.004245244214457257,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-1.activation,0.03842145150192628,0.004245239901799975,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-2.activation,0.038421444163456546,0.004245244321694247,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-3.activation,0.03842144209663287,0.004245246031256891,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-4.activation,0.03842144703754467,0.0042452473366308046,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-5.activation,0.038421446679266176,0.004245245453114165,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-6.activation,0.038421450486161114,0.004245250452683812,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-7.activation,0.03842144932564147,0.004245249790327481,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-8.activation,0.03842145288665795,0.004245243701801394,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-9.activation,0.038421446996508665,0.00424524732037765,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-10.activation,0.03842144369419399,0.004245244864366098,RegNet_400mf,D,Untrained,PyTorch
trunk_output.block4.block4-11.activation,0.03842143643268594,0.0042452504254922455,RegNet_400mf,D,Untrained,PyTorch
layer1.0.relu,0.05912986119514232,0.00368117271704135,ResNeXt50,D,Untrained,PyTorch
layer1.1.relu,0.059114656678666576,0.0036753604231420448,ResNeXt50,D,Untrained,PyTorch
layer1.2.relu,0.0591409653412433,0.003668247996447861,ResNeXt50,D,Untrained,PyTorch
layer2.0.relu,0.05443719992992701,0.0071000557601880385,ResNeXt50,D,Untrained,PyTorch
layer2.1.relu,0.05443443392124945,0.007106992458904524,ResNeXt50,D,Untrained,PyTorch
layer2.2.relu,0.05441993592143308,0.007096625370847381,ResNeXt50,D,Untrained,PyTorch
layer2.3.relu,0.05442810448600312,0.007101384234480058,ResNeXt50,D,Untrained,PyTorch
layer3.0.relu,0.055507551243486046,0.00461655984333333,ResNeXt50,D,Untrained,PyTorch
layer3.1.relu,0.055507569350727745,0.004616547787306309,ResNeXt50,D,Untrained,PyTorch
layer3.2.relu,0.05550755475168242,0.004616550077616578,ResNeXt50,D,Untrained,PyTorch
layer3.3.relu,0.05550754520860866,0.004616558873002506,ResNeXt50,D,Untrained,PyTorch
layer3.4.relu,0.05550754961294305,0.004616556467355564,ResNeXt50,D,Untrained,PyTorch
layer3.5.relu,0.05550757957938725,0.004616565626579202,ResNeXt50,D,Untrained,PyTorch
layer4.0.relu,0.04168236226874414,0.004150325667783133,ResNeXt50,D,Untrained,PyTorch
layer4.1.relu,0.04168235249782116,0.004150361515398067,ResNeXt50,D,Untrained,PyTorch
layer4.2.relu,0.04168237816203713,0.004150351413889368,ResNeXt50,D,Untrained,PyTorch
