layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.21766813967134024,0.0038887112500904718,ResNet18,Kai_Uni,Untrained,PyTorch
layer1.1.relu,0.21762741125917545,0.004100508323008641,ResNet18,Kai_Uni,Untrained,PyTorch
layer2.0.relu,0.2199430992639461,0.004072445206054547,ResNet18,Kai_Uni,Untrained,PyTorch
layer2.1.relu,0.22500827332428744,0.004326175107176551,ResNet18,Kai_Uni,Untrained,PyTorch
layer3.0.relu,0.22695981093919607,0.003887144802640114,ResNet18,Kai_Uni,Untrained,PyTorch
layer3.1.relu,0.23649934600981665,0.003546246703948015,ResNet18,Kai_Uni,Untrained,PyTorch
layer4.0.relu,0.23927711673397295,0.0036486895537882666,ResNet18,Kai_Uni,Untrained,PyTorch
layer4.1.relu,0.24249175166947642,0.00300107507653913,ResNet18,Kai_Uni,Untrained,PyTorch
layer1.0.relu,0.21154436708952207,0.0041614419957894146,ResNet50,Kai-Uni,Untrained,PyTorch
layer1.1.relu,0.20991098054720472,0.004570549515266769,ResNet50,Kai-Uni,Untrained,PyTorch
layer1.2.relu,0.2031171685512001,0.0043271629005314375,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.0.relu,0.20890909915922665,0.0038358792176342105,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.1.relu,0.20209079693598425,0.004406659072176142,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.2.relu,0.19642216737421772,0.004706375838595558,ResNet50,Kai-Uni,Untrained,PyTorch
layer2.3.relu,0.19552482336253452,0.005124338296577635,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.0.relu,0.2003442373804676,0.0052064493700397195,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.1.relu,0.1996092538544414,0.004115377248941161,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.2.relu,0.20146157667982653,0.0033710620614876264,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.3.relu,0.20087263333813776,0.003907068089870372,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.4.relu,0.19101166868514316,0.00396416280336695,ResNet50,Kai-Uni,Untrained,PyTorch
layer3.5.relu,0.18753179922174182,0.0037151826324177337,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.0.relu,0.1888449820622869,0.004372098353684896,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.1.relu,0.19251856333872422,0.0031485413462153354,ResNet50,Kai-Uni,Untrained,PyTorch
layer4.2.relu,0.19139356389103274,0.0037858046252610424,ResNet50,Kai-Uni,Untrained,PyTorch
features.1,0.17864319603571255,0.004007818909977502,AlexNet,Kai_Uni,Untrained,PyTorch
features.4,0.23413345519797576,0.00491930324826395,AlexNet,Kai_Uni,Untrained,PyTorch
features.7,0.28263693571753357,0.004033933134408144,AlexNet,Kai_Uni,Untrained,PyTorch
features.9,0.2828566777866494,0.003511518744272156,AlexNet,Kai_Uni,Untrained,PyTorch
features.11,0.2858788005624397,0.003862872145736726,AlexNet,Kai_Uni,Untrained,PyTorch
layers.8.0.layers.5,0.19313267570890713,0.004110679332153577,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.8.1.layers.5,0.2081612697220388,0.004470461424453616,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.8.2.layers.5,0.19581636666999125,0.004706070269579882,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.9.0.layers.5,0.21059770889954937,0.003997062325132434,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.9.1.layers.5,0.21192680630330765,0.004277251136375051,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.9.2.layers.5,0.2242930942140796,0.003819950905739367,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.10.0.layers.5,0.22386817529983308,0.005185857782100579,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.10.1.layers.5,0.24093000046367807,0.004299457884543054,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.10.2.layers.5,0.2462496906816686,0.004099424081050764,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.11.0.layers.5,0.24161770552616352,0.0033213160480086,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.11.1.layers.5,0.2445179359974407,0.004615028924155971,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.12.0.layers.5,0.24136455917418012,0.002966899784789866,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.12.1.layers.5,0.23752852649113074,0.004294016357888866,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.12.2.layers.5,0.22771002630856152,0.0025054748402964554,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.12.3.layers.5,0.2364357142783903,0.0036713340080713466,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.13.0.layers.5,0.22951653874323902,0.004322539839948891,MNASNet13,Kai_Uni,Untrained,PyTorch
layers.16,0.22411780684802401,0.0057184775291430345,MNASNet13,Kai_Uni,Untrained,PyTorch
trunk_output.block1.block1-0.activation,0.15755850828802107,0.004137637154276807,RegNet_400mf,Kai_Uni,Untrained,PyTorch
trunk_output.block2.block2-0.activation,0.14891568356050291,0.005934094338058968,RegNet_400mf,Kai_Uni,Untrained,PyTorch
