layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.2170422805100996,0.003671068464180589,ResNet18,N,Untrained,PyTorch
layer1.1.relu,0.21822871592071982,0.003921723507809122,ResNet18,N,Untrained,PyTorch
layer2.0.relu,0.22053619296391447,0.004345496022325979,ResNet18,N,Untrained,PyTorch
layer2.1.relu,0.23751014199403628,0.0033790098560796777,ResNet18,N,Untrained,PyTorch
layer3.0.relu,0.24309175892663226,0.0030044685052868967,ResNet18,N,Untrained,PyTorch
layer3.1.relu,0.25051337804991725,0.0033170096746324915,ResNet18,N,Untrained,PyTorch
layer4.0.relu,0.2425011692079015,0.0031852306302681196,ResNet18,N,Untrained,PyTorch
layer4.1.relu,0.23637189285691165,0.003564858265842636,ResNet18,N,Untrained,PyTorch
layer1.0.relu,0.2119368288012446,0.005502784441756846,ResNet50,N,Untrained,PyTorch
layer1.1.relu,0.21186065426507789,0.005533970015950283,ResNet50,N,Untrained,PyTorch
layer1.2.relu,0.21149003131397828,0.005613079242087881,ResNet50,N,Untrained,PyTorch
layer2.0.relu,0.21607202468276865,0.004450380342693632,ResNet50,N,Untrained,PyTorch
layer2.1.relu,0.2149950904207827,0.004547963644852371,ResNet50,N,Untrained,PyTorch
layer2.2.relu,0.21445927434979334,0.004289897059141253,ResNet50,N,Untrained,PyTorch
layer2.3.relu,0.21269069505117186,0.004344031995754275,ResNet50,N,Untrained,PyTorch
layer3.0.relu,0.213068706589691,0.004635030570795216,ResNet50,N,Untrained,PyTorch
layer3.1.relu,0.22090563321433754,0.003094509602541072,ResNet50,N,Untrained,PyTorch
layer3.2.relu,0.2279076435655243,0.0030175897531024396,ResNet50,N,Untrained,PyTorch
layer3.3.relu,0.2280294372716157,0.0027454551253752665,ResNet50,N,Untrained,PyTorch
layer3.4.relu,0.22824179589087773,0.002097481131694697,ResNet50,N,Untrained,PyTorch
layer3.5.relu,0.22980184089988206,0.001894355298639081,ResNet50,N,Untrained,PyTorch
layer4.0.relu,0.22216049305434735,0.0021101364603715606,ResNet50,N,Untrained,PyTorch
layer4.1.relu,0.2185370286615962,0.0023223649775509394,ResNet50,N,Untrained,PyTorch
layer4.2.relu,0.20420128227282458,0.0029210350126237083,ResNet50,N,Untrained,PyTorch
features.1,0.15365711303211177,0.0032885743798164325,AlexNet,N,Untrained,PyTorch
features.4,0.23903565808175417,0.004017602507554566,AlexNet,N,Untrained,PyTorch
features.7,0.28781928277171237,0.002383185876557487,AlexNet,N,Untrained,PyTorch
features.9,0.28230087916318264,0.0032273842272762324,AlexNet,N,Untrained,PyTorch
features.11,0.2783466473410793,0.00262910721876623,AlexNet,N,Untrained,PyTorch
layers.8.0.layers.5,0.14343614978161054,0.0036963997635175846,MNASNet13,N,Untrained,PyTorch
layers.8.1.layers.5,0.13609580554015788,0.003912368324757459,MNASNet13,N,Untrained,PyTorch
layers.8.2.layers.5,0.14289547419543244,0.003879806356139058,MNASNet13,N,Untrained,PyTorch
layers.9.0.layers.5,0.16882823711373862,0.005264248794165543,MNASNet13,N,Untrained,PyTorch
layers.9.1.layers.5,0.2007402157657198,0.004905830016391002,MNASNet13,N,Untrained,PyTorch
layers.9.2.layers.5,0.18918306614903616,0.0058857982734587784,MNASNet13,N,Untrained,PyTorch
layers.10.0.layers.5,0.1810694884962484,0.0056875985436136995,MNASNet13,N,Untrained,PyTorch
layers.10.1.layers.5,0.19441902666110442,0.004438980247246779,MNASNet13,N,Untrained,PyTorch
layers.10.2.layers.5,0.20265687683854747,0.005027444953024959,MNASNet13,N,Untrained,PyTorch
layers.11.0.layers.5,0.18834136846674673,0.00555647615958347,MNASNet13,N,Untrained,PyTorch
layers.11.1.layers.5,0.19109484560634554,0.004053025877098347,MNASNet13,N,Untrained,PyTorch
layers.12.0.layers.5,0.1865708628375961,0.004923550074257797,MNASNet13,N,Untrained,PyTorch
layers.12.1.layers.5,0.08839145183710499,0.005257902899066736,MNASNet13,N,Untrained,PyTorch
layers.12.2.layers.5,0.08749780754484264,0.004294498614515447,MNASNet13,N,Untrained,PyTorch
layers.12.3.layers.5,0.08708086871640192,0.00486610947970571,MNASNet13,N,Untrained,PyTorch
layers.13.0.layers.5,0.04416065521120232,0.0037386902602257605,MNASNet13,N,Untrained,PyTorch
layers.16,0.07906155423046722,0.006035095179501496,MNASNet13,N,Untrained,PyTorch
trunk_output.block1.block1-0.activation,0.13646158746151857,0.005234106307921927,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block2.block2-0.activation,0.13471438738681923,0.004549361828105553,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block2.block2-1.activation,0.13478035445445885,0.00469747491002662,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-0.activation,0.12496589687407618,0.004344980001298008,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-1.activation,0.12573647454908649,0.0039957449145044815,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-2.activation,0.1254784823341171,0.004313521820066832,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-3.activation,0.12495203413221145,0.004528835735292056,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-4.activation,0.12600758731837403,0.0045734651727213,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-5.activation,0.12664897298259967,0.005066137000856168,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block3.block3-6.activation,0.12647303161022228,0.004890859423006223,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-0.activation,0.11860513514073708,0.004531032120686919,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-1.activation,0.1212481958272387,0.004279112731755675,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-2.activation,0.12366276855348808,0.00447655001346749,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-3.activation,0.12607000566038237,0.004314657924391552,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-4.activation,0.12645426987195035,0.004492632964742973,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-5.activation,0.12904212580618243,0.00402681739762108,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-6.activation,0.13168840502592952,0.003840235274582284,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-7.activation,0.13101935216348617,0.004087534780220707,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-8.activation,0.1291714501703332,0.004777028369218773,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-9.activation,0.13005587974777078,0.0048106432765296385,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-10.activation,0.13214197685248338,0.004652354637508554,RegNet_400mf,N,Untrained,PyTorch
trunk_output.block4.block4-11.activation,0.13305423159157334,0.0046214487489447086,RegNet_400mf,N,Untrained,PyTorch
layer1.0.relu,0.20482387489418308,0.0039094534728417235,ResNeXt50,N,Untrained,PyTorch
layer1.1.relu,0.20411762196577457,0.0038551728488929503,ResNeXt50,N,Untrained,PyTorch
layer1.2.relu,0.20368660312864714,0.00388330308533739,ResNeXt50,N,Untrained,PyTorch
layer2.0.relu,0.20085345185575948,0.00393466910237836,ResNeXt50,N,Untrained,PyTorch
layer2.1.relu,0.20263013886424922,0.003796179871148931,ResNeXt50,N,Untrained,PyTorch
