layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.2132795061481625,0.0044789096608123255,ResNet18,O,Untrained,PyTorch
layer1.1.relu,0.21322569622459966,0.0045453913494157465,ResNet18,O,Untrained,PyTorch
layer2.0.relu,0.2166976618306391,0.0038789083816773875,ResNet18,O,Untrained,PyTorch
layer2.1.relu,0.2193585639238619,0.004304658110139514,ResNet18,O,Untrained,PyTorch
layer3.0.relu,0.21927353027509977,0.004059625908919514,ResNet18,O,Untrained,PyTorch
layer3.1.relu,0.21857258925452164,0.004141393929886212,ResNet18,O,Untrained,PyTorch
layer4.0.relu,0.22365619273848725,0.003750869787717276,ResNet18,O,Untrained,PyTorch
layer4.1.relu,0.22225942851332559,0.003987070059271641,ResNet18,O,Untrained,PyTorch
layer1.0.relu,0.21112654054870297,0.0032768358829441437,ResNet50,O,Untrained,PyTorch
layer1.1.relu,0.2101942243535186,0.003615764719516438,ResNet50,O,Untrained,PyTorch
layer1.2.relu,0.20919495716001577,0.0038106052404268654,ResNet50,O,Untrained,PyTorch
layer2.0.relu,0.2108103219049476,0.0040862073473789074,ResNet50,O,Untrained,PyTorch
layer2.1.relu,0.2108747009365477,0.004308925130903997,ResNet50,O,Untrained,PyTorch
layer2.2.relu,0.21181863447897906,0.004510108069701336,ResNet50,O,Untrained,PyTorch
layer2.3.relu,0.21351299208387148,0.004270703414253314,ResNet50,O,Untrained,PyTorch
layer3.0.relu,0.20684917079052365,0.004305641325444297,ResNet50,O,Untrained,PyTorch
layer3.1.relu,0.20774503993604243,0.004148874301023856,ResNet50,O,Untrained,PyTorch
layer3.2.relu,0.2075665954283805,0.004176000692812443,ResNet50,O,Untrained,PyTorch
layer3.3.relu,0.20726828479846168,0.004179194969824152,ResNet50,O,Untrained,PyTorch
layer3.4.relu,0.20753054628148493,0.004113076887880451,ResNet50,O,Untrained,PyTorch
layer3.5.relu,0.20795801506114178,0.004290273395638559,ResNet50,O,Untrained,PyTorch
layer4.0.relu,0.19841265693615556,0.0036407576521575863,ResNet50,O,Untrained,PyTorch
layer4.1.relu,0.1982653282282983,0.003506916014570192,ResNet50,O,Untrained,PyTorch
layer4.2.relu,0.1968338324681138,0.0035526431057422854,ResNet50,O,Untrained,PyTorch
features.1,0.16407889466275066,0.00458177869505686,AlexNet,O,Untrained,PyTorch
features.4,0.24192130701875664,0.004376714473098139,AlexNet,O,Untrained,PyTorch
features.7,0.28311823972221006,0.003505977806530449,AlexNet,O,Untrained,PyTorch
features.9,0.28143461879243836,0.004080736272340605,AlexNet,O,Untrained,PyTorch
features.11,0.27372952501295816,0.004161136796678024,AlexNet,O,Untrained,PyTorch
layers.8.0.layers.5,0.17183009040155017,0.004650417455062517,MNASNet13,O,Untrained,PyTorch
layers.8.1.layers.5,0.19587319315196777,0.004114278549359512,MNASNet13,O,Untrained,PyTorch
