layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.2170422805100996,0.003671068464180589,ResNet18,U,Untrained,PyTorch
layer1.1.relu,0.21822871592071982,0.003921723507809122,ResNet18,U,Untrained,PyTorch
layer2.0.relu,0.22053619296391447,0.004345496022325979,ResNet18,U,Untrained,PyTorch
layer2.1.relu,0.23751014199403628,0.0033790098560796777,ResNet18,U,Untrained,PyTorch
layer3.0.relu,0.24309175892663226,0.0030044685052868967,ResNet18,U,Untrained,PyTorch
layer3.1.relu,0.25051337804991725,0.0033170096746324915,ResNet18,U,Untrained,PyTorch
layer4.0.relu,0.2425011692079015,0.0031852306302681196,ResNet18,U,Untrained,PyTorch
layer4.1.relu,0.23637189285691165,0.003564858265842636,ResNet18,U,Untrained,PyTorch
layer1.0.relu,0.20817943903615493,0.004589786184163989,ResNet50,U,Untrained,PyTorch
layer1.1.relu,0.20774196031470935,0.004282092200109473,ResNet50,U,Untrained,PyTorch
layer1.2.relu,0.2089395453389085,0.0046773793565206695,ResNet50,U,Untrained,PyTorch
layer2.0.relu,0.2127223022498082,0.0044219534035586025,ResNet50,U,Untrained,PyTorch
layer2.1.relu,0.21289928746296402,0.004577477107332245,ResNet50,U,Untrained,PyTorch
layer2.2.relu,0.21604074747914168,0.004493736517480384,ResNet50,U,Untrained,PyTorch
layer2.3.relu,0.2157711942485344,0.004163629362732426,ResNet50,U,Untrained,PyTorch
layer3.0.relu,0.22560324581456892,0.003731100426664372,ResNet50,U,Untrained,PyTorch
layer3.1.relu,0.22076675602521306,0.0027719138525725243,ResNet50,U,Untrained,PyTorch
layer3.2.relu,0.22167994930458496,0.002194219843569027,ResNet50,U,Untrained,PyTorch
layer3.3.relu,0.2195829816027437,0.003524680197424513,ResNet50,U,Untrained,PyTorch
layer3.4.relu,0.21331526683170268,0.0038278414332654108,ResNet50,U,Untrained,PyTorch
layer3.5.relu,0.21374713898784148,0.003295762115886787,ResNet50,U,Untrained,PyTorch
layer4.0.relu,0.21160778431137697,0.0030959308625215917,ResNet50,U,Untrained,PyTorch
layer4.1.relu,0.20291703276054132,0.003226308891549622,ResNet50,U,Untrained,PyTorch
layer4.2.relu,0.19198245325867516,0.0027301578926506673,ResNet50,U,Untrained,PyTorch
features.1,0.16953592024786715,0.003705314188245998,AlexNet,U,Untrained,PyTorch
features.4,0.2340938376379876,0.004796861564634649,AlexNet,U,Untrained,PyTorch
features.7,0.28798682354236776,0.0031647137224991052,AlexNet,U,Untrained,PyTorch
features.9,0.28331669047352526,0.0038081841376051344,AlexNet,U,Untrained,PyTorch
features.11,0.28007778614814044,0.004189226894176341,AlexNet,U,Untrained,PyTorch
layers.8.0.layers.5,0.18778195459287672,0.004071876727056672,MNASNet13,U,Untrained,PyTorch
layers.8.1.layers.5,0.1947756445136544,0.0035988195018510287,MNASNet13,U,Untrained,PyTorch
layers.8.2.layers.5,0.19429365295777737,0.003365807257838906,MNASNet13,U,Untrained,PyTorch
layers.9.0.layers.5,0.19898110652919265,0.0035226671027285914,MNASNet13,U,Untrained,PyTorch
layers.9.1.layers.5,0.20420648868084684,0.003674398759394123,MNASNet13,U,Untrained,PyTorch
layers.9.2.layers.5,0.2058668098281354,0.004331001225771319,MNASNet13,U,Untrained,PyTorch
layers.10.0.layers.5,0.20363311271034015,0.004710088960158356,MNASNet13,U,Untrained,PyTorch
layers.10.1.layers.5,0.21449728142052754,0.005500983616367965,MNASNet13,U,Untrained,PyTorch
layers.10.2.layers.5,0.22091894243633672,0.004655201138272503,MNASNet13,U,Untrained,PyTorch
layers.11.0.layers.5,0.21140886093098887,0.004409114311850976,MNASNet13,U,Untrained,PyTorch
layers.11.1.layers.5,0.2186144186838993,0.005057208378242775,MNASNet13,U,Untrained,PyTorch
layers.12.0.layers.5,0.2207717888121812,0.0045221696983061286,MNASNet13,U,Untrained,PyTorch
layers.12.1.layers.5,0.21198124967917917,0.004632028837282682,MNASNet13,U,Untrained,PyTorch
layers.12.2.layers.5,0.21264323336901195,0.004180659004931931,MNASNet13,U,Untrained,PyTorch
layers.12.3.layers.5,0.21610994833834166,0.0038393626330383386,MNASNet13,U,Untrained,PyTorch
layers.13.0.layers.5,0.20968903729131377,0.0044865777576593695,MNASNet13,U,Untrained,PyTorch
layers.16,0.2073574764028762,0.004354806454642861,MNASNet13,U,Untrained,PyTorch
trunk_output.block1.block1-0.activation,0.13039871392008306,0.004358822002911739,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block2.block2-0.activation,0.13035178390643656,0.00566215225672657,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block2.block2-1.activation,0.13151977432011105,0.005578553132931126,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block3.block3-0.activation,0.13297221480181753,0.005501827016648361,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block3.block3-1.activation,0.135470843252035,0.005470789177153878,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block3.block3-2.activation,0.13358391888839757,0.005717340707361015,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block3.block3-3.activation,0.13426494386511095,0.005107354887177403,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block3.block3-4.activation,0.1338943154125755,0.005369406434804662,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block3.block3-5.activation,0.13371541440905957,0.004909368320392698,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block3.block3-6.activation,0.13331467888342136,0.004931560346135996,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-0.activation,0.1251731446427854,0.004559850656103507,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-1.activation,0.12157723715967285,0.004696266348042039,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-2.activation,0.12219125252830719,0.00435842393771418,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-3.activation,0.12241271385942214,0.003940122936225855,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-4.activation,0.12544051759002547,0.00413631576048052,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-5.activation,0.12622846895460893,0.005281155882095764,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-6.activation,0.12880334144402017,0.005303926545594877,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-7.activation,0.12922721402625711,0.0057156676979852016,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-8.activation,0.12574608513753488,0.00497382646215169,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-9.activation,0.12513131254281684,0.006446619894721922,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-10.activation,0.12805509818547695,0.006176025212147653,RegNet_400mf,U,Untrained,PyTorch
trunk_output.block4.block4-11.activation,0.1273230608970977,0.005352726263320316,RegNet_400mf,U,Untrained,PyTorch
layer1.0.relu,0.21357539733435835,0.0043282914662831195,ResNeXt50,U,Untrained,PyTorch
layer1.1.relu,0.2136977700072634,0.0045045858234398686,ResNeXt50,U,Untrained,PyTorch
layer1.2.relu,0.21428952504720003,0.004520625670161897,ResNeXt50,U,Untrained,PyTorch
layer2.0.relu,0.21602901825506632,0.004120763772563089,ResNeXt50,U,Untrained,PyTorch
layer2.1.relu,0.21482430539051922,0.0042206588314130065,ResNeXt50,U,Untrained,PyTorch
layer2.2.relu,0.2155632031043192,0.0041909657928120144,ResNeXt50,U,Untrained,PyTorch
layer2.3.relu,0.2148157115445478,0.0038898743312399584,ResNeXt50,U,Untrained,PyTorch
layer3.0.relu,0.21312279857860567,0.003995655796640389,ResNeXt50,U,Untrained,PyTorch
layer3.1.relu,0.21745845373784217,0.0033931258496853207,ResNeXt50,U,Untrained,PyTorch
layer3.2.relu,0.2188509809354201,0.00323011174864764,ResNeXt50,U,Untrained,PyTorch
