layer,score,score_error,architecture,task,kind,source
layer1.0.relu,0.2978935026762039,0.0025742777156254034,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,0.3091342180301843,0.0043459397302152425,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,0.3683567705509993,0.0031758604054174084,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,0.39971749498636777,0.0036770213239848185,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,0.49509289941270146,0.0029932488570304496,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,0.5039380507743978,0.0034797142533295267,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5159715686602885,0.0032302123340799444,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,0.45604293861798056,0.003973185110501166,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,0.306410707031802,0.0036855399649619483,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,0.3268976967173022,0.004019839039367912,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,0.33660994302093167,0.0037650762794739895,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,0.3900777238546409,0.00372951899401608,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,0.3903804748076999,0.0038899202459543947,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,0.3907979267136898,0.003708180721155848,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,0.3969379810114365,0.0035499160949580533,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,0.48007901809917536,0.0050857611212343674,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,0.49565516120447056,0.0038572399981543787,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,0.4865164775996113,0.004285716499171722,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,0.48653969011371756,0.004050713238361443,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,0.48942552790205,0.004120671794968256,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,0.5022347308401905,0.0036085844699571875,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,0.5218980835258257,0.003777046848591085,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,0.49342494934487713,0.004147622785280746,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,0.4465417610449731,0.005145310337444459,ResNet50,Object Classification,Supervised,PyTorch
features.1,0.24730968503915998,0.003094522655733456,AlexNet,Object Classification,Supervised,PyTorch
