layer,effective dimensionality,80% variance,alpha,architecture,task,stdev,kind
c2,73.75551841136094,281.0,0.9206832883420044,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.2
c2,73.7551229627714,281.0,0.9211161710458362,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.2
c2,73.7551229627714,281.0,0.9211161710458362,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.2
c2,73.75511779822158,281.0,0.921423133715027,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.2
c2,74.63483261673507,281.0,0.9243690544502032,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.2
c2,73.75516790330043,281.0,0.9208964813830004,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.2
c2,85.86775269670662,259.0,0.9365726469700723,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.6
c2,86.69190592558633,259.0,0.9393462650214482,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.6
c2,85.86912151156687,259.0,0.9371697830001261,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.6
c2,85.86769927622937,259.0,0.9371820677480535,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.6
c2,86.6906000370367,259.0,0.9391297821804949,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.6
c2,85.86838831864071,259.0,0.9373785680920522,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.6
c2,83.07458957170158,197.0,0.9960619719113095,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.0
c2,83.07478624030603,197.0,0.9956439218128965,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.0
c2,84.10019997165143,198.0,0.9981435500656437,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.0
c2,83.07815632779153,197.0,0.9967829590884801,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.0
c2,83.07815632779153,197.0,0.9967829590884801,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.0
c2,84.10105495297354,198.0,0.9981934726249801,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.0
c2,74.6925008138293,143.0,1.0889544405644347,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.4
c2,74.69149124860141,143.0,1.0876000829200008,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.4
c2,74.69149124860141,143.0,1.0876000829200008,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.4
c2,74.69388629940819,143.0,1.0881194465732953,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.4
c2,75.23470485929437,144.0,1.093824821122,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.4
c2,74.6938486772122,143.0,1.0876759124078104,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.4
c2,69.57675953606186,125.0,1.201131050594683,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-2
c2,69.57617625299369,125.0,1.2019488923672927,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-2
c2,69.57617625299369,125.0,1.2019488923672927,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-2
c2,68.33109121329792,125.0,1.2184772556608767,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-2
c2,69.57689442519197,125.0,1.203016918467923,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-2
c2,69.5769360563745,125.0,1.2024774048039033,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-2
c2,65.25927602589924,119.0,1.3178482819385584,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-3
c2,65.25813102942644,119.0,1.318261496031811,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-3
c2,65.25813102942644,119.0,1.318261496031811,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-3
c2,65.25897120225973,119.0,1.3184139182087453,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-3
c2,65.25897120225973,119.0,1.3184139182087453,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-3
c2,61.53034923597315,113.0,1.3654114194309261,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-3
