n,variance,layer,architecture,task,kind,source
1,38898.6,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
2,9900.033,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
3,8830.706,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
4,7894.385,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
5,6943.722,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
6,6009.376,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
7,4878.2974,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
8,3897.3533,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
9,3727.306,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
10,3559.5583,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
11,3208.8745,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
12,2797.667,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
13,2746.9912,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
14,2625.4553,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
15,2434.0815,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
16,2350.09,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
17,2279.5002,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
18,2142.5142,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
19,2030.5509,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
20,1955.1349,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
21,1941.4105,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
22,1883.7124,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
23,1850.7891,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
24,1812.8627,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
25,1785.5637,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
26,1731.7706,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
27,1679.9298,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
28,1665.3319,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
29,1636.3639,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
30,1600.0817,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
31,1572.3484,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
