n,variance,layer,architecture,task,kind,source
1,26066.246,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
2,6388.9155,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
3,5981.459,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
4,4961.5645,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
5,4124.546,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
6,3875.244,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
7,3006.4458,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
8,2318.1663,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
9,2286.3772,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
10,2061.0283,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
11,1823.2968,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
12,1677.1836,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
13,1630.7521,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
14,1546.4802,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
15,1405.9069,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
16,1345.873,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
17,1324.3995,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
18,1235.6494,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
19,1204.1099,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
20,1132.5614,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
21,1119.9076,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
22,1093.0521,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
23,1065.7191,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
24,1034.7451,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
25,1029.0623,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
26,990.4979,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
27,972.60864,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
28,959.30505,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
29,933.78235,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
30,908.6481,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
31,902.54645,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
32,901.6329,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
33,876.4005,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
34,871.2058,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
35,866.6305,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
36,832.5545,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
37,817.87726,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
38,813.75323,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
39,791.18665,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
40,782.0412,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
41,775.4315,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
42,765.9225,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
43,759.77814,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
44,748.34094,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
45,745.1792,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
46,733.5969,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
47,719.0089,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
48,715.3189,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
49,705.67224,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
50,683.6205,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
51,682.3546,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
52,674.0857,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
53,666.3892,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
54,664.8599,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
55,653.8652,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
56,643.3306,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
57,642.0655,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
58,635.89276,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
59,626.40063,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
60,621.5028,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
61,615.17834,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
62,607.6433,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
63,602.4903,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
64,599.9995,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
65,596.1853,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
66,586.14124,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
67,582.1068,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
68,577.12427,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
69,574.9902,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
70,572.162,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
71,563.7529,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
72,562.3946,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
73,559.2246,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
74,554.1139,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
75,542.3028,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
76,540.84845,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
77,535.1873,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
78,528.93677,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
79,522.27057,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
80,521.26404,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
81,517.6692,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
82,511.25284,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
83,508.25354,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
84,505.26282,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
85,501.39713,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
86,496.33185,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
87,491.22162,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
88,488.6325,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
89,481.82294,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
90,479.9122,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
91,474.07132,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
92,472.32758,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
93,469.90848,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
94,466.86734,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
95,464.2455,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
96,458.44955,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
97,456.2246,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
98,451.79913,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
99,447.5076,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
100,444.02747,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
101,440.94165,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
102,438.14316,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
103,435.57846,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
104,434.4904,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
105,432.71393,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
106,429.4497,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
107,426.4234,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
108,423.56702,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
109,419.79572,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
110,419.3466,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
111,415.9858,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
112,413.58093,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
113,409.6559,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
114,408.61093,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
115,406.07074,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
116,401.7096,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
117,397.45026,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
118,396.21774,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
119,393.93817,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
120,390.84427,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
121,390.44324,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
122,388.44427,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
123,387.62656,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
124,383.92822,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
125,377.83862,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
126,376.27716,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
127,375.84818,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
128,374.10507,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
129,370.86856,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
130,368.91846,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
131,366.29004,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
132,361.31046,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
133,358.21713,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
134,356.78085,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
135,355.84418,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
136,354.64713,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
137,353.43048,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
138,350.8564,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
139,348.58804,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
140,346.02664,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
141,343.21213,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
142,342.3327,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
143,341.18808,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
144,335.90115,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
145,334.42914,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
146,333.3324,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
