layer,score,score_error,architecture,task,stdev,kind
c2,0.18433082376966567,0.004873952116799409,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.2
c2,0.18432920693590413,0.004874165342302606,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.2
c2,0.18432920693590413,0.004874165342302606,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.2
c2,0.18433068026464902,0.004874731720691396,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.2
c2,0.18433068026464902,0.004874731720691396,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.2
c2,0.18433122545484448,0.004873471559845648,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.2
c2,0.16059807657105196,0.00546116919414151,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.6
c2,0.16059524181070284,0.005461206676561492,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.6
c2,0.16059524181070284,0.005461206676561492,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.6
c2,0.16059725224868643,0.005461592478401593,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.6
c2,0.16059725224868643,0.005461592478401593,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.6
c2,0.16059724307259746,0.005461230574984523,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.6
c2,0.12928851020420734,0.006141569791786752,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.0
c2,0.12933225838781634,0.006108275601438735,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.0
c2,0.12933225838781634,0.006108275601438735,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.0
c2,0.12945690254372433,0.006005040557190515,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.0
c2,0.12945690254372433,0.006005040557190515,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.0
c2,0.12926611977718483,0.006159398191169533,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.0
c2,0.0995347681606204,0.00629244136554669,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.4
c2,0.09949542777454802,0.006288553090884624,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.4
c2,0.09949542777454802,0.006288553090884624,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.4
c2,0.09954258152663109,0.006292695381428226,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.4
c2,0.09954258152663109,0.006292695381428226,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.4
c2,0.09955348897523728,0.006289942471257783,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.4
c2,0.05662141604637351,0.007017500073027384,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-2
c2,0.05662135991020611,0.007017498184108716,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-2
c2,0.05662135991020611,0.007017498184108716,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-2
c2,0.05662588994797394,0.007018071308997231,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-2
c2,0.05662588994797394,0.007018071308997231,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-2
c2,0.05662786401440787,0.0070177136305541255,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-2
c2,0.04157720806454671,0.006802445568612035,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-3
c2,0.04157729814836489,0.0068024175734165936,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-3
c2,0.04157729814836489,0.0068024175734165936,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-3
c2,0.04157712604244641,0.006802389013157886,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-3
c2,0.04157712604244641,0.006802389013157886,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-3
c2,0.04157733239987319,0.006802510332169144,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-3
