layer,score,score_error,architecture,task,kind,source
c2,0.18264764291258506,0.004671285420961255,AtlasNet_seed=0,SVD_scaled=True,a_-0.2,pcs_1000
c2,0.18264681621403137,0.004670902391740053,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,pcs_1000
c2,0.1825209979877256,0.004953871078798675,AtlasNet_seed=0,SVD_scaled=True,a_-0.6,pcs_1000
c2,0.18252230999728913,0.004954007832652121,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,pcs_1000
c2,0.18205769028510527,0.004776399476129238,AtlasNet_seed=0,SVD_scaled=True,a_-1.0,pcs_1000
c2,0.1820593131864596,0.004775812108316657,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,pcs_1000
c2,0.17540103379680733,0.005441390361824863,AtlasNet_seed=0,SVD_scaled=True,a_-1.4,pcs_1000
c2,0.17540460285319434,0.005442002076476413,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,pcs_1000
c2,0.16054612212010436,0.004398194562425284,AtlasNet_seed=0,SVD_scaled=True,a_-2,pcs_1000
c2,0.16054840827014405,0.004399708370449268,AtlasNet_seed=0,SVD_scaled=False,a_-2,pcs_1000
c2,0.14598595254933014,0.004064431535905481,AtlasNet_seed=0,SVD_scaled=True,a_-3,pcs_1000
c2,0.14598466521722187,0.004064727290068434,AtlasNet_seed=0,SVD_scaled=False,a_-3,pcs_1000
