layer,score,score_error,architecture,task,stdev,kind
c2,0.012056818772520567,0.000184823117085218,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.2
c2,0.012056884830333516,0.00018482198084269818,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.2
c2,0.012056884830333516,0.00018482198084269818,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.2
c2,0.012056879765556286,0.00018482081841728857,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.2
c2,0.012056879765556286,0.00018482081841728857,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.2
c2,0.01205684280515541,0.00018482222789223385,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.2
c2,0.009939806735174287,0.00013364561191013817,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.6
c2,0.009939814004184089,0.00013364362677231314,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.6
c2,0.009939814004184089,0.00013364362677231314,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.6
c2,0.009939863238791556,0.00013364551892457353,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.6
c2,0.009939863238791556,0.00013364551892457353,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.6
c2,0.009939871946165052,0.00013364200944811583,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.6
c2,0.0063744733303756585,9.91955394044022e-05,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.0
c2,0.006374446074959899,9.919421407212517e-05,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.0
c2,0.006374446074959899,9.919421407212517e-05,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.0
c2,0.006374439281172013,9.919616658792286e-05,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.0
c2,0.006374439281172013,9.919616658792286e-05,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.0
c2,0.006374425163585307,9.919519375899473e-05,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.0
c2,0.004006504094343417,0.00010998062051917172,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.4
c2,0.004006485696394228,0.00010998052958506513,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.4
c2,0.004006485696394228,0.00010998052958506513,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.4
c2,0.004006564512431082,0.00010996268806932214,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.4
c2,0.004006564512431082,0.00010996268806932214,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.4
c2,0.004006455762897078,0.0001099605853061305,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.4
c2,0.0029583401089310494,0.00011012298475871578,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-2
c2,0.0029583618095241054,0.00011012153340725856,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-2
c2,0.0029583618095241054,0.00011012153340725856,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-2
c2,0.0029583473238458994,0.00011012229268687747,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-2
c2,0.0029583473238458994,0.00011012229268687747,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-2
c2,0.002958341276779487,0.0001101220267513173,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-2
c2,0.0027132092799523953,0.00010108981808274953,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-3
c2,0.0027132135478832283,0.00010108929940273048,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-3
c2,0.0027132135478832283,0.00010108929940273048,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-3
c2,0.002713225080197197,0.00010108962857863735,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-3
c2,0.002713225080197197,0.00010108962857863735,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-3
c2,0.0027132083480863947,0.00010108908756068136,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-3
