layer,score,score_error,architecture,task,stdev,kind
c2,0.007320922748224061,0.00014778587532005526,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.2
c2,0.00732029931454988,0.00014783207755793626,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.2
c2,0.00732029931454988,0.00014783207755793626,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.2
c2,0.007321043808538914,0.00014778407291685648,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.2
c2,0.007321043808538914,0.00014778407291685648,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.2
c2,0.007321023945678805,0.00014778462575813054,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.2
c2,0.007356323987032556,0.00013535928846450943,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.6
c2,0.007356437640549535,0.0001353578256374447,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.6
c2,0.007356437640549535,0.0001353578256374447,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.6
c2,0.007356259502568007,0.00013535868357154705,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.6
c2,0.007356259502568007,0.00013535868357154705,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.6
c2,0.007356330835481221,0.00013535836220051155,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.6
c2,0.005473507747066765,0.00015137335673627767,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.0
c2,0.0054735249873572945,0.00015137230436089541,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.0
c2,0.0054735249873572945,0.00015137230436089541,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.0
c2,0.005473538994503984,0.00015137136981699953,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.0
c2,0.005473538994503984,0.00015137136981699953,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.0
c2,0.005473512367702839,0.00015137204898084487,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.0
c2,0.0035319334515131083,0.00016651751680157346,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.4
c2,0.003531943104016472,0.0001665181704292918,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.4
c2,0.003531943104016472,0.0001665181704292918,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.4
c2,0.0035319419786993137,0.00016651729675891847,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.4
c2,0.0035319419786993137,0.00016651729675891847,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.4
c2,0.0035319639549903537,0.00016651680515189501,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.4
c2,0.002797850001450951,0.00016929977963418542,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-2
c2,0.0027978570809960007,0.00016929971326544536,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-2
c2,0.0027978570809960007,0.00016929971326544536,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-2
c2,0.0027978435212913885,0.0001692996853611248,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-2
c2,0.0027978435212913885,0.0001692996853611248,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-2
c2,0.0027978486969782923,0.00016929968362487178,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-2
c2,0.0026605716253948713,0.00016938823201906856,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-3
c2,0.0026605737502848354,0.0001693882285213583,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-3
c2,0.0026605737502848354,0.0001693882285213583,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-3
c2,0.0026605716471393595,0.00016938816518489284,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-3
c2,0.0026605716471393595,0.00016938816518489284,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-3
c2,0.0026605702167973298,0.00016938809703816372,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-3
