layer,score,score_error,architecture,task,kind,source
c2,0.012204614786602619,0.00020262440187743998,AtlasNet_seed=0,SVD_scaled=True,a_-0.2,pcs_1000
c2,0.012204734166703635,0.00020261123441855976,AtlasNet_seed=0,SVD_scaled=False,a_-0.2,pcs_1000
c2,0.012169056944148788,0.00019749908332382875,AtlasNet_seed=0,SVD_scaled=True,a_-0.6,pcs_1000
c2,0.012169062421202352,0.0001974983923522656,AtlasNet_seed=0,SVD_scaled=False,a_-0.6,pcs_1000
c2,0.011759263369107239,0.000187286147824252,AtlasNet_seed=0,SVD_scaled=True,a_-1.0,pcs_1000
c2,0.011758626325111213,0.0001873198219084046,AtlasNet_seed=0,SVD_scaled=False,a_-1.0,pcs_1000
c2,0.01062224740528054,0.00018278964115182387,AtlasNet_seed=0,SVD_scaled=True,a_-1.4,pcs_1000
c2,0.010622233243420027,0.00018278843703957757,AtlasNet_seed=0,SVD_scaled=False,a_-1.4,pcs_1000
c2,0.008730844026493824,0.0001835386204258836,AtlasNet_seed=0,SVD_scaled=True,a_-2,pcs_1000
c2,0.00873092139294784,0.00018353589841888946,AtlasNet_seed=0,SVD_scaled=False,a_-2,pcs_1000
c2,0.0065983106639660605,0.0001913055449344159,AtlasNet_seed=0,SVD_scaled=True,a_-3,pcs_1000
c2,0.006598327452453142,0.00019130681026153463,AtlasNet_seed=0,SVD_scaled=False,a_-3,pcs_1000
