init,effective dimensionality,calculated_alpha
Eig|a_-0.2|v_0.1|stdev_0.1,634.5379626271795,1.438473814654704
Eig|a_-0.2|v_0.1|stdev_1.0,634.5379626271797,1.43965851714447
Eig|a_-0.2|v_1|stdev_0.1,634.5379626271798,1.4300714620962538
Eig|a_-0.2|v_1|stdev_1.0,634.5379626271798,1.43483472461971
Eig|a_-0.2|v_10|stdev_0.1,634.5379626271796,1.434343087836954
Eig|a_-0.2|v_10|stdev_1.0,634.5379626271799,1.4377966797237538
Eig|a_-0.6|v_0.1|stdev_0.1,264.7334821364999,1.7891385795971253
Eig|a_-0.6|v_0.1|stdev_1.0,264.7334821365001,1.7898122848892404
Eig|a_-0.6|v_1|stdev_0.1,264.7334821365,1.7869999523970275
Eig|a_-0.6|v_1|stdev_1.0,264.7334821365002,1.7871405995726146
Eig|a_-0.6|v_10|stdev_0.1,264.7334821365001,1.7871871342215373
Eig|a_-0.6|v_10|stdev_1.0,264.7334821365,1.7870115275492704
Eig|a_-1.0|v_0.1|stdev_0.1,31.76094836539605,2.0884480560310146
Eig|a_-1.0|v_0.1|stdev_1.0,31.760948365396054,2.0884480560310146
Eig|a_-1.0|v_1|stdev_0.1,31.760948365396054,2.0884480560310146
Eig|a_-1.0|v_1|stdev_1.0,31.760948365396043,2.0884480560310146
Eig|a_-1.0|v_10|stdev_0.1,31.76094836539602,2.088448056031015
Eig|a_-1.0|v_10|stdev_1.0,31.760948365396036,2.0884480560310146
Eig|a_-1.4|v_0.1|stdev_0.1,7.993023667503257,2.5235186392300006
Eig|a_-1.4|v_0.1|stdev_1.0,7.993023667503258,2.5253944232883296
Eig|a_-1.4|v_1|stdev_0.1,7.993023667503259,2.525423572062477
Eig|a_-1.4|v_1|stdev_1.0,7.993023667503259,2.524871541197293
Eig|a_-1.4|v_10|stdev_0.1,7.9930236675032615,2.522334700376154
Eig|a_-1.4|v_10|stdev_1.0,7.99302366750326,2.524595667319841
Eig|a_-2|v_0.1|stdev_0.1,3.305981682650788,2.9934286794350045
Eig|a_-2|v_0.1|stdev_1.0,3.3059816826507875,2.9958879743693423
Eig|a_-2|v_1|stdev_0.1,3.305981682650788,2.994654302391602
Eig|a_-2|v_1|stdev_1.0,3.3059816826507875,2.9942622077283634
Eig|a_-2|v_10|stdev_0.1,3.3059816826507857,2.9941430660854436
Eig|a_-2|v_10|stdev_1.0,3.305981682650787,2.993059761556092
Eig|a_-3|v_0.1|stdev_0.1,1.9105240956331024,3.9866599318196467
Eig|a_-3|v_0.1|stdev_1.0,1.9105240956331024,3.985613990714079
Eig|a_-3|v_1|stdev_0.1,1.9105240956331029,3.9859816161695614
Eig|a_-3|v_1|stdev_1.0,1.9105240956331029,3.9861901796183217
Eig|a_-3|v_10|stdev_0.1,1.9105240956331024,3.9861293340133552
Eig|a_-3|v_10|stdev_1.0,1.9105240956331027,3.9856656138132935
SVD|a_-0.2|scaled_True,942.7374667814836,0.6935190492918192
SVD|a_-0.2|scaled_False,942.7374814834778,0.6916418354309357
SVD|a_-0.6|scaled_True,337.17297498819437,1.033901059901693
SVD|a_-0.6|scaled_False,337.1728053564419,1.0356265974889398
SVD|a_-1.0|scaled_True,41.951451623461786,1.4454430092226564
SVD|a_-1.0|scaled_False,41.951472876042146,1.450816212642967
SVD|a_-1.4|scaled_True,10.429892161191047,1.7991646059900213
SVD|a_-1.4|scaled_False,10.429892161191047,1.798332304194464
SVD|a_-2|scaled_True,4.103380557340574,2.2841882249395593
SVD|a_-2|scaled_False,4.103380958256757,2.2826705905082543
SVD|a_-3|scaled_True,2.238919381288892,3.1185496349639297
SVD|a_-3|scaled_False,2.2389196621863325,3.1185459215686038
None,660.1595833766651,0.7141733440585352
