n,variance,init
1,8.083770723117983,Eig|a_-0.2|v_0.1|stdev_0.1
2,7.019103057359462,Eig|a_-0.2|v_0.1|stdev_0.1
3,6.7216089364082725,Eig|a_-0.2|v_0.1|stdev_0.1
4,6.417149582367017,Eig|a_-0.2|v_0.1|stdev_0.1
5,6.259404023674459,Eig|a_-0.2|v_0.1|stdev_0.1
6,6.252399805588099,Eig|a_-0.2|v_0.1|stdev_0.1
7,6.1377808748165394,Eig|a_-0.2|v_0.1|stdev_0.1
8,6.113671134338543,Eig|a_-0.2|v_0.1|stdev_0.1
9,6.076769008883787,Eig|a_-0.2|v_0.1|stdev_0.1
10,5.949967640787559,Eig|a_-0.2|v_0.1|stdev_0.1
11,5.893187832385807,Eig|a_-0.2|v_0.1|stdev_0.1
12,5.853196584434867,Eig|a_-0.2|v_0.1|stdev_0.1
13,5.839648402699062,Eig|a_-0.2|v_0.1|stdev_0.1
14,5.775104820265866,Eig|a_-0.2|v_0.1|stdev_0.1
15,5.731698373132536,Eig|a_-0.2|v_0.1|stdev_0.1
16,5.712285601655461,Eig|a_-0.2|v_0.1|stdev_0.1
17,5.648239748217822,Eig|a_-0.2|v_0.1|stdev_0.1
18,5.5981109693679985,Eig|a_-0.2|v_0.1|stdev_0.1
19,5.561471617105957,Eig|a_-0.2|v_0.1|stdev_0.1
20,5.538763440982536,Eig|a_-0.2|v_0.1|stdev_0.1
21,5.518836023489338,Eig|a_-0.2|v_0.1|stdev_0.1
22,5.497786255319298,Eig|a_-0.2|v_0.1|stdev_0.1
23,5.454729013447381,Eig|a_-0.2|v_0.1|stdev_0.1
24,5.441889555973039,Eig|a_-0.2|v_0.1|stdev_0.1
25,5.389137460640191,Eig|a_-0.2|v_0.1|stdev_0.1
26,5.370037438255889,Eig|a_-0.2|v_0.1|stdev_0.1
27,5.353381629331796,Eig|a_-0.2|v_0.1|stdev_0.1
28,5.319438339103155,Eig|a_-0.2|v_0.1|stdev_0.1
29,5.308603683763622,Eig|a_-0.2|v_0.1|stdev_0.1
30,5.304191501546694,Eig|a_-0.2|v_0.1|stdev_0.1
31,5.298289614281365,Eig|a_-0.2|v_0.1|stdev_0.1
32,5.2817985574794974,Eig|a_-0.2|v_0.1|stdev_0.1
33,5.2488967289836035,Eig|a_-0.2|v_0.1|stdev_0.1
34,5.229366080670357,Eig|a_-0.2|v_0.1|stdev_0.1
