n,variance,init
1,0.00022359387534304088,Eig|a_-0.2|v_0.1|stdev_0.1
2,0.0001931866435267924,Eig|a_-0.2|v_0.1|stdev_0.1
3,0.00018484818075570206,Eig|a_-0.2|v_0.1|stdev_0.1
4,0.00017676862392724057,Eig|a_-0.2|v_0.1|stdev_0.1
5,0.00017190955262812854,Eig|a_-0.2|v_0.1|stdev_0.1
6,0.00017181299897228223,Eig|a_-0.2|v_0.1|stdev_0.1
7,0.0001691342401210674,Eig|a_-0.2|v_0.1|stdev_0.1
8,0.00016803037098626577,Eig|a_-0.2|v_0.1|stdev_0.1
9,0.00016669180809259954,Eig|a_-0.2|v_0.1|stdev_0.1
10,0.00016377947852163756,Eig|a_-0.2|v_0.1|stdev_0.1
11,0.00016246263991489198,Eig|a_-0.2|v_0.1|stdev_0.1
12,0.00016072844650182419,Eig|a_-0.2|v_0.1|stdev_0.1
13,0.0001603527308398418,Eig|a_-0.2|v_0.1|stdev_0.1
14,0.00015913647036204414,Eig|a_-0.2|v_0.1|stdev_0.1
15,0.00015761867616342247,Eig|a_-0.2|v_0.1|stdev_0.1
16,0.00015699817602422063,Eig|a_-0.2|v_0.1|stdev_0.1
17,0.00015473547934233262,Eig|a_-0.2|v_0.1|stdev_0.1
18,0.0001539882241912402,Eig|a_-0.2|v_0.1|stdev_0.1
19,0.00015310642781187191,Eig|a_-0.2|v_0.1|stdev_0.1
20,0.00015238203185536948,Eig|a_-0.2|v_0.1|stdev_0.1
21,0.00015162285725584866,Eig|a_-0.2|v_0.1|stdev_0.1
22,0.00015144052559339755,Eig|a_-0.2|v_0.1|stdev_0.1
23,0.0001502083293658787,Eig|a_-0.2|v_0.1|stdev_0.1
24,0.00014984068722529923,Eig|a_-0.2|v_0.1|stdev_0.1
25,0.00014862305844593336,Eig|a_-0.2|v_0.1|stdev_0.1
26,0.0001479255035785248,Eig|a_-0.2|v_0.1|stdev_0.1
27,0.00014704665081120868,Eig|a_-0.2|v_0.1|stdev_0.1
28,0.00014647770507077406,Eig|a_-0.2|v_0.1|stdev_0.1
29,0.00014611107120769337,Eig|a_-0.2|v_0.1|stdev_0.1
30,0.00014565307862848448,Eig|a_-0.2|v_0.1|stdev_0.1
31,0.00014538573344229997,Eig|a_-0.2|v_0.1|stdev_0.1
32,0.0001447814875194414,Eig|a_-0.2|v_0.1|stdev_0.1
33,0.00014414404979813287,Eig|a_-0.2|v_0.1|stdev_0.1
34,0.00014355115666916238,Eig|a_-0.2|v_0.1|stdev_0.1
35,0.00014309250731931104,Eig|a_-0.2|v_0.1|stdev_0.1
36,0.00014232356598206907,Eig|a_-0.2|v_0.1|stdev_0.1
37,0.0001411598552175738,Eig|a_-0.2|v_0.1|stdev_0.1
38,0.00014045302526260596,Eig|a_-0.2|v_0.1|stdev_0.1
39,0.00014005687633719368,Eig|a_-0.2|v_0.1|stdev_0.1
40,0.00013949247364341104,Eig|a_-0.2|v_0.1|stdev_0.1
41,0.00013930968638778974,Eig|a_-0.2|v_0.1|stdev_0.1
42,0.00013891340420535135,Eig|a_-0.2|v_0.1|stdev_0.1
43,0.00013820823975176314,Eig|a_-0.2|v_0.1|stdev_0.1
44,0.00013760813825676503,Eig|a_-0.2|v_0.1|stdev_0.1
45,0.00013671249611629137,Eig|a_-0.2|v_0.1|stdev_0.1
46,0.00013636927789426422,Eig|a_-0.2|v_0.1|stdev_0.1
47,0.0001361615605259252,Eig|a_-0.2|v_0.1|stdev_0.1
48,0.00013564806034222418,Eig|a_-0.2|v_0.1|stdev_0.1
49,0.0001346664088372711,Eig|a_-0.2|v_0.1|stdev_0.1
50,0.00013435442404768729,Eig|a_-0.2|v_0.1|stdev_0.1
51,0.0001334064505793813,Eig|a_-0.2|v_0.1|stdev_0.1
